year,pas_ADV osé_VERB,pas_ADV causé_VERB
1800,2.2040592284611193e-06,1.4463157071986643e-07
1801,1.9787628389167367e-06,2.404994461358001e-07
1802,2.2490294213639572e-06,2.2825969381301547e-07
1803,1.8313685359316878e-06,1.852822322234715e-07
1804,2.0590518943208735e-06,1.7550141251376772e-07
1805,2.3169452560978243e-06,1.506725197941705e-07
1806,2.011405058510718e-06,1.5272846098923765e-07
1807,1.7423365079594078e-06,2.6476683956389024e-07
1808,1.9850808712362777e-06,2.1527702642742952e-07
1809,1.6400562117269146e-06,1.784634093837667e-07
1810,1.9352848994458327e-06,3.1123684607337054e-07
1811,1.5243026609823573e-06,2.6575014544505393e-07
1812,1.9097210497420747e-06,2.6138641828765685e-07
1813,2.5795402507355902e-06,2.6169249167651287e-07
1814,2.583421974122757e-06,9.125363931161701e-08
1815,2.4355929326702608e-06,1.6722786710943183e-07
1816,2.13914836422191e-06,3.0592372013416025e-07
1817,2.6171042009082157e-06,1.6191484064620454e-07
1818,2.2316444301395677e-06,1.513989502655022e-07
1819,2.3766010599501897e-06,1.645816922746235e-07
1820,2.73047726295772e-06,2.1359666391163046e-07
1821,3.0659366530016996e-06,1.6665914870372944e-07
1822,2.3359684746537823e-06,2.0753024898567674e-07
1823,2.533920905989362e-06,1.927123918221696e-07
1824,2.4025434868235607e-06,1.7094858151267545e-07
1825,2.226016022177646e-06,1.8843648774691246e-07
1826,2.475043629601714e-06,1.788020824733394e-07
1827,2.1918674519838532e-06,1.97249647726494e-07
1828,2.3627846985618817e-06,1.8344601926401083e-07
1829,2.4364967430301476e-06,1.8689523528792051e-07
1830,2.6384320790384663e-06,2.1291144491897285e-07
1831,2.751847887338954e-06,1.6058942264862708e-07
1832,3.0077121664362494e-06,2.489514372427948e-07
1833,2.4927969661803218e-06,1.2973663388038403e-07
1834,2.6575410174700664e-06,1.6428774074483954e-07
1835,2.5101887786149746e-06,1.7092578730171226e-07
1836,2.244730467282352e-06,2.049828822237032e-07
1837,2.3635955130885122e-06,1.7325147894098336e-07
1838,2.236399041066761e-06,1.5654161700240365e-07
1839,2.218395138697815e-06,1.8807068613568845e-07
1840,2.8593533443199703e-06,1.866318797283384e-07
1841,2.44045054387243e-06,1.6051370721470448e-07
1842,2.488095560693182e-06,1.7240240879345947e-07
1843,2.5647807433415437e-06,1.9965359854268172e-07
1844,2.5214451397914672e-06,2.596089530015888e-07
1845,2.596480044303462e-06,1.8358950626407022e-07
1846,2.4705996111151762e-06,1.879294870832382e-07
1847,2.5747249310370535e-06,1.7851570532911865e-07
1848,2.1585328795481473e-06,1.6734061603074224e-07
1849,2.4384096377616515e-06,1.7094006921070104e-07
1850,2.5289009499829262e-06,2.0095427544220001e-07
1851,2.6474945116206072e-06,1.7348990866139502e-07
1852,1.9570700260373997e-06,1.8489949127342697e-07
1853,2.0507613953668624e-06,1.4034040418664517e-07
1854,1.9712351786438376e-06,1.5794819319125963e-07
1855,2.1312660010153195e-06,1.7619031211779657e-07
1856,2.0424010926944902e-06,1.6049285989083728e-07
1857,2.432456085443846e-06,1.918433127912067e-07
1858,2.423348405500292e-06,2.1630047797316365e-07
1859,2.3332338514592266e-06,1.7415233344308945e-07
1860,2.5375907171110157e-06,1.9498803283113375e-07
1861,2.4593750822532456e-06,2.1457634602484177e-07
1862,2.4351945739908842e-06,2.272547021675564e-07
1863,2.3349853108811658e-06,1.813047418863789e-07
1864,2.6337440885981778e-06,2.1863959887014062e-07
1865,2.2592853383684997e-06,1.995701950363582e-07
1866,2.3067871097737225e-06,2.2965693347032357e-07
1867,2.1468838440341642e-06,2.0867089745024714e-07
1868,2.1804603420605417e-06,2.0055888683145895e-07
1869,2.368506784478086e-06,2.2903704177679174e-07
1870,2.2483204702439252e-06,2.075725689110186e-07
1871,2.429063215458882e-06,2.3260378156919614e-07
1872,2.5162978545267833e-06,2.539882473229227e-07
1873,2.2028496005077614e-06,1.616221254607808e-07
1874,2.1837197436980205e-06,2.1687830553673848e-07
1875,2.185051243941416e-06,2.1284080276018358e-07
1876,1.9969986624346348e-06,1.7956664066787198e-07
1877,2.151697572116973e-06,1.9172929910382663e-07
1878,2.092544264087337e-06,1.6547103598441026e-07
1879,2.349646592847421e-06,1.8694535697250103e-07
1880,2.111471530952258e-06,1.93177172036485e-07
1881,2.312780679858406e-06,2.0080821627743717e-07
1882,2.3486854843213223e-06,2.0232370445683046e-07
1883,2.204817292295047e-06,2.2749620143258653e-07
1884,2.2742844976164633e-06,1.907890379015953e-07
1885,2.2740202894055983e-06,1.9207993773306953e-07
1886,2.156102254957659e-06,1.845690604795891e-07
1887,2.200247536165989e-06,2.1480161649378715e-07
1888,2.187512109230738e-06,2.612333389606647e-07
1889,2.0142415451118723e-06,1.8294198866897204e-07
1890,2.105269004459842e-06,2.2153825796067395e-07
