year,quelques_DET arrières_NOUN,quelques_DET carrières_NOUN
1800,0.0,3.144164395507687e-08
1801,7.143547975374531e-09,8.334138823506976e-08
1802,0.0,4.0281122437590966e-08
1803,0.0,7.606323038089613e-08
1804,0.0,5.9324423595796816e-08
1805,0.0,0.0
1806,0.0,3.45800286183362e-08
1807,0.0,9.679647128280067e-08
1808,2.2660739951163578e-09,5.891792298484688e-08
1809,0.0,5.6475763621222086e-08
1810,0.0,3.510190182964834e-08
1811,0.0,4.512738049911036e-08
1812,0.0,4.5342538612658245e-08
1813,0.0,5.7514834228555856e-08
1814,0.0,4.090680150170556e-08
1815,0.0,2.1577788444915313e-08
1816,0.0,2.3176038865813098e-08
1817,0.0,3.42512151974006e-08
1818,0.0,9.536941902865692e-09
1819,0.0,8.073818946741085e-08
1820,0.0,5.3399165977907614e-08
1821,0.0,8.382264748973967e-08
1822,0.0,4.3110148340019805e-08
1823,9.882686891060644e-10,2.865979209509817e-08
1824,0.0,2.863178316658832e-08
1825,0.0,3.4341228083434316e-08
1826,0.0,5.549030035467695e-08
1827,0.0,1.8434546333878643e-08
1828,0.0,5.503380862137419e-08
1829,5.143905745796928e-09,2.8291481157793896e-08
1830,0.0,3.026682549034376e-08
1831,1.5591206103948707e-09,5.768746280665482e-08
1832,0.0,5.411987835657328e-08
1833,0.0,4.6334513115198206e-08
1834,0.0,1.68021550006614e-08
1835,0.0,5.596685070941021e-08
1836,0.0,3.024337402735e-08
1837,0.0,3.2702087149338865e-08
1838,0.0,3.7241754569095065e-08
1839,1.3982950353153e-09,4.824117816326634e-08
1840,0.0,2.5478755105723394e-08
1841,0.0,3.788123503767338e-08
1842,0.0,2.0124795163667386e-08
1843,0.0,2.4809025944705354e-08
1844,0.0,1.536797189505279e-08
1845,0.0,3.124927561160007e-08
1846,0.0,1.2879902477891392e-08
1847,0.0,2.2112216946368335e-08
1848,0.0,5.309846340395552e-08
1849,0.0,5.279031345395424e-08
1850,0.0,2.7155984128057753e-08
1851,0.0,4.772584816237213e-08
1852,0.0,2.7344290831621265e-08
1853,0.0,1.5527023222716707e-08
1854,5.195664454227256e-10,3.117398605922972e-08
1855,1.0613874223963649e-09,2.812676669350367e-08
1856,2.0708756931497874e-09,4.141751519526338e-08
1857,1.9526036343364694e-09,1.4156376071383647e-08
1858,4.893676019968041e-10,3.572383538985591e-08
1859,0.0,6.619825576592575e-09
1860,0.0,1.8308735638683515e-08
1861,0.0,1.0375120595984555e-08
1862,0.0,2.3945327498609004e-08
1863,0.0,9.489779628779615e-09
1864,0.0,2.3014694150447212e-08
1865,0.0,1.7415323905201063e-08
1866,0.0,4.1844271381208387e-08
1867,0.0,4.367530337390235e-08
1868,4.93987406535723e-10,1.5313609491585112e-08
1869,0.0,1.9045725108135514e-08
1870,0.0,2.4656408914580652e-08
1871,7.434824311758348e-09,1.2745412947268164e-08
1872,0.0,1.330414645117628e-08
1873,0.0,5.507124178905087e-08
1874,1.1949218281515073e-09,5.7356246641049324e-08
1875,0.0,2.9179788807454088e-08
1876,0.0,2.9625473185745932e-08
1877,0.0,3.896434208616739e-08
1878,0.0,3.32149880932775e-08
1879,6.10932526790009e-10,3.42122213892182e-08
1880,0.0,1.6044615414045893e-08
1881,0.0,1.9523020644562905e-08
1882,3.9932310791357395e-09,8.652000893505374e-09
1883,0.0,1.0742875922176154e-08
1884,0.0,5.0833065756705764e-08
1885,0.0,2.707166940618677e-08
1886,0.0,2.968593415531018e-08
1887,0.0,2.8727268341910417e-08
1888,0.0,3.1069012029760756e-08
1889,0.0,2.0048437576747347e-08
1890,6.554386478008212e-10,4.391438945816617e-08
1891,0.0,3.633305567518619e-08
1892,6.268512375839919e-10,4.011847876128627e-08
1893,0.0,4.249307439252448e-08
1894,0.0,4.6631390970830466e-08
1895,0.0,3.5509826190605054e-08
1896,0.0,3.597187703263671e-08
1897,0.0,2.5637540090883704e-08
1898,0.0,1.810673611046809e-08
1899,0.0,5.417026827103655e-08
1900,0.0,4.1009320383977865e-08
1901,0.0,1.5648469187112823e-08
1902,0.0,2.258730624760119e-08
1903,1.0800440541913758e-09,4.1581695420234155e-08
1904,5.374625189347171e-10,2.4723276759175405e-08
1905,3.096455536422127e-09,2.012695948794274e-08
1906,0.0,1.903348301190988e-08
1907,0.0,2.5714216533856415e-08
1908,0.0,3.0941749828983234e-08
1909,0.0,2.8055015810490858e-08
1910,0.0,3.473697940403753e-08
1911,1.0640748282497725e-09,3.77746552926439e-08
1912,0.0,1.7191090107004925e-08
