year,divers_DET cadeaux_NOUN
1800,0.0
1801,0.0
1802,4.475680270843441e-09
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,7.020380277111826e-09
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,1.035105001712111e-09
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,8.421112696055388e-10
1825,4.4027217427355936e-09
1826,1.7615968683770689e-09
1827,1.8434546111834038e-09
1828,1.559291185060374e-08
1829,2.571952817387313e-09
1830,8.349468672008697e-09
1831,0.0
1832,1.3529969367098715e-09
1833,8.108539617524002e-09
1834,2.42697808516823e-08
1835,9.832014313815307e-09
1836,3.36037508930076e-09
1837,1.3915781860163179e-09
1838,0.0
1839,9.088917396482543e-09
1840,9.554533164646273e-09
1841,1.4767261635739715e-08
1842,1.2745703603656011e-08
1843,4.134837805480629e-09
1844,0.0
1845,3.348136878855712e-09
1846,5.854501328173001e-09
1847,1.1325769655456952e-08
1848,4.02261068899179e-09
1849,5.02764896381791e-09
1850,6.1100964288129944e-09
1851,0.0
1852,0.0
1853,0.0
1854,6.754363734984281e-09
1855,1.0083180512765466e-08
1856,1.0354378465748937e-09
1857,4.881509030330022e-09
1858,7.34051397444091e-09
1859,5.601390462572908e-09
1860,3.204028820036342e-09
1861,2.8295783494058924e-09
1862,1.3553959066214816e-09
1863,4.495158911765884e-09
1864,9.589455896019672e-10
1865,1.4120533631256649e-09
1866,0.0
1867,4.85281148598915e-10
1868,6.421836395986702e-09
1869,3.906815315701806e-09
1870,2.2936195165357276e-09
1871,5.3105884134652115e-09
1872,8.4662747923403e-09
1873,3.591602570907071e-09
1874,8.364452575015946e-09
1875,2.0597497651930752e-08
1876,1.934724735974669e-08
1877,1.36065949618569e-08
1878,1.0266450800600069e-08
1879,0.0
1880,5.134277225593564e-09
1881,2.091752326904839e-09
1882,1.9300616216355593e-08
1883,6.319338829996468e-09
1884,1.1222884843675729e-08
1885,9.023890190640316e-09
1886,1.0325542199041138e-08
1887,8.4876022321545e-09
1888,9.510921827882157e-09
1889,9.397704836544563e-09
1890,1.9663159989136147e-09
1891,5.736798147637501e-09
1892,6.8953633913793055e-09
1893,2.771287377356657e-08
1894,9.452309157609307e-09
1895,6.6204757231957956e-09
1896,8.255840455717589e-09
1897,8.15739897852552e-09
1898,7.921697076085366e-09
1899,1.9346524382513053e-08
1900,1.2977633190303095e-08
1901,1.7883964531506535e-08
1902,1.0311596021495006e-08
1903,1.3500550899436803e-08
1904,1.2361637935498493e-08
1905,8.773290538499623e-09
1906,2.572092316910357e-09
1907,3.0857060240307987e-09
1908,8.349361646509124e-09
1909,1.1001967337165297e-08
1910,4.809735720812114e-09
1911,3.7242617878519013e-09
1912,3.125652625612929e-09
1913,2.6514948570088848e-09
1914,4.018046340092951e-09
1915,8.246533234057551e-09
1916,3.2962386153911893e-09
