year,avons_VERB ouvert_VERB,avons_VERB couvert_VERB
1800,5.0306631749208464e-08,6.288328968651058e-09
1801,1.904946067554647e-08,0.0
1802,2.0140561218795483e-08,0.0
1803,2.145373123596528e-08,0.0
1804,4.943701981119375e-08,0.0
1805,8.812921237222326e-08,2.55858996212055e-08
1806,3.1698359492793315e-08,1.152667650217154e-08
1807,6.547996633798903e-08,0.0
1808,2.945896149242344e-08,0.0
1809,7.454800510231507e-08,2.259030518203531e-09
1810,3.978215445954447e-08,0.0
1811,5.264861258069686e-08,0.0
1812,3.467370746079723e-08,2.6672082320544632e-09
1813,2.5881675469463516e-08,0.0
1814,4.72001566720337e-08,0.0
1815,7.552225866902518e-08,0.0
1816,3.244645441213834e-08,2.3176038865813098e-09
1817,5.7604317760251433e-08,3.113746815941454e-09
1818,7.987188865854478e-08,1.3113295338484932e-08
1819,9.626476327184719e-08,1.035105001712111e-09
1820,7.238553223487543e-08,1.1866481131050932e-09
1821,7.396116075142345e-08,2.9584463767662328e-09
1822,9.624591257306747e-08,1.4035862250239006e-08
1823,7.313188632451784e-08,9.882686891060644e-10
1824,9.263224143296611e-08,6.736890156844311e-09
1825,6.956300069305144e-08,2.641632912414593e-09
1826,1.4357014777033328e-07,1.7615968683770689e-09
1827,7.92685455053288e-08,1.6591091167583727e-08
1828,1.440051278223109e-07,2.7516904310687096e-09
1829,7.201467866480016e-08,3.429270423183084e-09
1830,8.662573947049168e-08,1.0436835840010872e-09
1831,1.637076678662197e-07,4.677361609140007e-09
1832,9.065079353831607e-08,0.0
1833,8.80355770505048e-08,0.0
1834,1.297499778729616e-07,5.600718555598405e-09
1835,1.1344631900556124e-07,7.563087933704082e-10
1836,6.51912728244497e-08,6.720750067579218e-10
1837,1.0993467469688767e-07,1.3915781860163179e-09
1838,8.584540012179787e-08,6.312161904276081e-09
1839,8.599514700335931e-08,6.9914751765765e-10
1840,1.05099864811109e-07,8.917564464638872e-09
1841,8.731946365969634e-08,7.0626033910059505e-09
1842,1.0397810967788246e-07,2.683306021822318e-09
1843,9.391988697871057e-08,4.7255288571079745e-09
1844,8.891469605032398e-08,7.683985892015244e-09
1845,1.2164896645572298e-07,4.464182357111213e-09
1846,1.2235908286584163e-07,2.3418005312692003e-09
1847,8.143767615820252e-08,1.240441438454809e-08
1848,1.4642303369782894e-07,4.02261068899179e-09
1849,1.4412593429824483e-07,1.256912263158938e-08
1850,1.3849552260580822e-07,6.788996032014438e-10
1851,1.0383596560359365e-07,6.449438760824933e-10
1852,9.244974563671349e-08,6.510545436100301e-09
1853,1.409375869343421e-07,8.957897534855874e-09
1854,1.0599155331192378e-07,5.7152309551611324e-09
1855,1.3851105507001193e-07,3.1841622671890946e-09
1856,1.1752219819527454e-07,8.801221973442352e-09
1857,1.3717040303617978e-07,2.9289055625270066e-09
1858,1.2087379275271815e-07,5.872411001917044e-09
1859,9.98065985413632e-08,4.073738679721828e-09
1860,1.231262416467871e-07,6.408057640072684e-09
1861,1.2308665020555054e-07,7.545541969022906e-09
1862,1.206302329137543e-07,1.3553959066214816e-09
1863,1.203703590135774e-07,6.493007020935693e-09
1864,1.0404559702692495e-07,4.794728170054441e-09
1865,1.774480296035108e-07,4.23615986733239e-09
1866,1.6689052984020236e-07,1.4596839292835284e-09
1867,9.414453927547584e-08,4.85281148598915e-10
1868,1.239908442585147e-07,0.0
1869,1.2745985600304266e-07,6.348574999037737e-09
1870,1.0550650131335715e-07,5.160643912205387e-09
1871,1.5400706843138323e-07,7.434824311758348e-09
1872,1.6872076002982794e-07,9.071008832961525e-09
1873,1.2091729217900138e-07,3.591602570907071e-09
1874,1.0037343400881582e-07,0.0
1875,1.1214193307296227e-07,8.010138330405425e-09
1876,9.189942318243993e-08,4.836811839936672e-09
1877,1.595682590505021e-07,6.80329748092845e-09
1878,1.4674985493456916e-07,7.850815109122777e-09
1879,1.2157556739111897e-07,1.221865053580018e-09
1880,1.5852080537115398e-07,1.2835692508872398e-08
1881,1.1574362446253872e-07,2.091752326904839e-09
1882,1.4242523604934831e-07,0.0
1883,1.1627583518247775e-07,2.5277355764075082e-09
1884,1.3797546216665069e-07,6.601696966868076e-10
1885,1.121540620374617e-07,6.445635691854079e-10
1886,1.3165066548026516e-07,1.2906927748801422e-09
1887,1.3645453122990148e-07,1.9586774424595887e-09
1888,1.2300792207042832e-07,6.340614699951175e-09
