year,aurons_VERB en_PRON
1800,0.0
1801,0.0
1802,1.3427040812530322e-08
1803,3.900678446910888e-09
1804,0.0
1805,4.264316544322355e-08
1806,8.645007376628655e-09
1807,0.0
1808,2.2660739951163578e-09
1809,0.0
1810,2.3401267590372754e-09
1811,0.0
1812,0.0
1813,2.8757416448144113e-09
1814,6.293354282149721e-09
1815,0.0
1816,2.3176038865813098e-09
1817,4.670620334934483e-09
1818,1.1921176934492905e-08
1819,1.035105001712111e-09
1820,0.0
1821,2.9584463767662328e-09
1822,1.5038423839541792e-08
1823,9.882686891060644e-10
1824,0.0
1825,1.7610886082763955e-09
1826,5.2847906051312066e-09
1827,9.217273055917019e-10
1828,2.7516904310687096e-09
1829,1.714635211591542e-09
1830,1.0436835395921662e-08
1831,6.236482419375022e-08
1832,1.2176972319366541e-08
1833,1.6217079235048004e-08
1834,2.8003592777992026e-09
1835,1.5126175867408165e-09
1836,1.3441500135158435e-09
1837,1.3915781860163179e-09
1838,2.5248647617104325e-09
1839,0.0
1840,3.184844332704273e-09
1841,1.2841097074556274e-09
1842,2.683306021822318e-09
1843,1.8311424432315704e-08
1844,1.975882035765153e-08
1845,3.9061593959388574e-09
1846,8.196302303531411e-09
1847,4.314578916364553e-09
1848,4.02261068899179e-09
1849,4.189707469848258e-09
1850,4.752297222410107e-09
1851,1.0319102239364497e-08
1852,9.114764054629632e-09
1853,3.5831591027601917e-09
1854,7.79349651480743e-09
1855,7.429711956774554e-09
1856,6.212626857404757e-09
1857,2.440754542920587e-09
1858,7.340513863418607e-09
1859,1.018434669930457e-09
1860,4.57718396518203e-09
1861,1.886385547766878e-09
1862,1.8071945329101169e-09
1863,4.994620717013731e-09
1864,6.712619016191468e-09
1865,4.236160089376995e-09
1866,6.3252967308358166e-09
1867,6.308654931785895e-09
1868,1.8771521559379778e-08
1869,3.9068152046795035e-09
1870,1.0321287824410774e-08
1871,0.0
1872,7.256807155187062e-09
1873,7.781805866358127e-09
1874,8.961914044203212e-09
1875,7.437985338754061e-09
1876,6.650616057868319e-09
1877,4.329371083855449e-09
1878,5.4351798062235446e-09
1879,3.0546627449723474e-09
1880,3.8507077526617195e-09
1881,9.064259565150223e-09
1882,7.320923423037584e-09
1883,1.1374809816278031e-08
1884,1.0562715146988921e-08
1885,2.4493415295978593e-08
1886,7.098810206329631e-09
1887,1.9586773869484375e-09
1888,3.804368819970705e-09
1889,4.38559560889118e-09
1890,2.6217545912032847e-09
1891,1.7210393110644873e-08
1892,4.387958441043338e-09
1893,6.774258043407144e-09
1894,6.301539290376468e-09
1895,7.824199066419624e-09
1896,6.486731818355906e-09
1897,5.826713334045053e-09
1898,1.527755810748488e-08
1899,3.3165470370022376e-09
1900,2.07642125715779e-09
1901,1.1177477665658131e-08
1902,1.3748795213430753e-08
1903,7.020286574288548e-09
1904,6.449550227216605e-09
1905,4.128607289377584e-09
1906,6.173021371846943e-09
1907,7.71426478252124e-09
