year,as_VERB ouvert_VERB
1800,3.144164484325529e-09
1801,0.0
1802,1.3427040812530322e-08
1803,0.0
1804,1.4831105232815389e-08
1805,5.685755422035754e-09
1806,0.0
1807,2.8469550272802735e-08
1808,4.5321479902327155e-09
1809,9.036122072814123e-09
1810,4.680253518074551e-09
1811,1.0028307073639553e-08
1812,2.6672082320544632e-09
1813,1.1502966579257645e-08
1814,9.440030979135372e-09
1815,1.6183340889597275e-08
1816,2.3176038865813098e-09
1817,1.2454987263765815e-08
1818,1.1921177378582115e-09
1819,1.6561680027393777e-08
1820,2.966620371580575e-08
1821,1.4792232327920374e-08
1822,3.0076847679083585e-09
1823,2.4706716672540097e-08
1824,8.421112696055388e-09
1825,7.044354433105582e-09
1826,7.927186018719112e-09
1827,1.1982455028203276e-08
1828,1.7427371545863934e-08
1829,2.0575622983187714e-08
1830,9.39315203396518e-09
1831,3.585977381703742e-08
1832,1.3529969367098715e-09
1833,9.266902800675325e-09
1834,1.0267983796552471e-08
1835,1.5882484660778573e-08
1836,1.6129799718100912e-08
1837,1.6003149028165353e-08
1838,5.049729523420865e-09
1839,1.1885507689157748e-08
1840,1.2739377552861697e-08
1841,1.2841097074556274e-08
1842,1.341653010911159e-08
1843,3.071593823733565e-08
1844,9.330554107123135e-09
1845,2.17628883802945e-08
1846,9.952652035849496e-09
1847,8.089835468183537e-09
1848,1.045878850192139e-08
1849,1.3407063903514427e-08
1850,1.2220192857625989e-08
1851,5.159551008659946e-09
1852,1.6927417689771573e-08
1853,1.3735443005202796e-08
1854,1.4028294081924741e-08
1855,1.9104973603134567e-08
1856,1.0872097000458325e-08
1857,1.513267733344037e-08
1858,1.1255455234504552e-08
1859,3.055303920973529e-08
1860,1.4189270203246451e-08
1861,1.6977470096435354e-08
1862,1.445755604123633e-08
1863,1.4484400345793347e-08
1864,1.6781548595190543e-08
1865,1.4120533187167439e-08
1866,9.731225603104576e-09
1867,1.3102591012170706e-08
1868,6.915823469455518e-09
1869,9.767038733343725e-09
1870,1.8922360567330543e-08
1871,2.973929724703339e-08
1872,2.53988243770209e-08
1873,7.183205141814142e-09
1874,6.572069999322139e-09
1875,1.2587359599081083e-08
1876,1.813804395567331e-08
1877,1.9791411176584006e-08
1878,1.9928991790152395e-08
1879,1.2829582729523281e-08
1880,1.2835692508872398e-08
1881,1.8825771164188154e-08
1882,8.652000893505374e-09
1883,2.211768546089843e-08
1884,1.7824582698722224e-08
1885,1.4824961702686323e-08
1886,7.744156427236248e-09
1887,1.1752064210668323e-08
1888,1.6485598663962264e-08
1889,7.51816386923565e-09
1890,9.176140736144589e-09
1891,1.3385862196457765e-08
1892,1.1283322720601063e-08
1893,8.005941687372342e-09
1894,1.1342770278588432e-08
1895,6.6204757231957956e-09
1896,1.2383760683576384e-08
1897,1.3401440845939305e-08
1898,5.092519295146758e-09
1899,3.3165470370022376e-09
1900,1.1939421895590385e-08
1901,1.956058603980182e-08
1902,5.4013122863239005e-09
1903,7.560307935250421e-09
1904,3.7622376325430196e-09
1905,3.6125313851442797e-09
1906,8.230695236477459e-09
1907,3.599990305858114e-09
1908,1.3260750719723546e-08
1909,9.901770070541716e-09
1910,1.0153886620400954e-08
1911,9.044636151145369e-09
1912,7.293189607793238e-09
1913,3.181793939432964e-09
1914,4.68772043404897e-09
1915,2.238344798399794e-08
1916,2.197492410260793e-09
1917,3.289927441585405e-09
1918,1.4932290071101306e-08
1919,6.4454939163738345e-09
