year,ces_DET ans_NOUN,ces_DET camps_NOUN
1800,6.288328968651058e-09,8.174827570428533e-08
1801,2.3811825844433088e-09,2.1906879510424915e-07
1802,2.2378401354217203e-08,1.544109693440987e-07
1803,7.801356893821776e-09,2.6524614149536774e-07
1804,4.943701892301533e-09,1.235925459752707e-07
1805,1.1371510844071508e-08,3.610454655245121e-07
1806,2.0171682990621775e-08,3.65971978055768e-07
1807,5.693910232196231e-09,2.1636858349438626e-07
1808,2.7192887053217873e-08,1.8128591960930862e-07
1809,1.581321384946932e-08,2.710836746189216e-07
1810,4.680253518074551e-09,1.0764582825117941e-07
1811,2.2563691359778204e-08,2.0558029012462953e-07
1812,1.0668832928217853e-08,1.3602761583797474e-07
1813,1.1502966579257645e-08,2.243078540686838e-07
1814,6.293354282149721e-09,3.1152104362774935e-07
1815,3.776112933451259e-08,7.282503755590142e-08
1816,4.6352077731626196e-09,1.761379024856069e-07
1817,1.71256075987003e-08,2.1017790707844597e-07
1818,1.1921177378582115e-09,1.4186200480992284e-07
1819,1.0351050350188018e-08,8.694881703519286e-08
1820,1.0679833017945839e-08,2.112233694617771e-07
1821,2.1695273910715684e-08,2.0807740330752722e-07
1822,5.413832582235045e-08,1.9048670196752937e-07
1823,7.510842370272997e-08,1.40334156739641e-07
1824,1.2631669044083083e-08,1.3052724412432326e-07
1825,4.402721520690989e-09,1.5497580108103648e-07
1826,1.7615968683770689e-09,2.5278914961290866e-07
1827,6.452091305675367e-09,1.0876382194879852e-07
1828,1.0089531543577834e-08,2.962653162796869e-07
1829,8.57317605795771e-10,1.9804037165727095e-07
1830,3.7572609246083744e-08,1.5133412034629146e-07
1831,1.5591206103948707e-09,1.964491964656645e-07
1832,2.3000947813045514e-08,1.4071168230600506e-07
1833,1.50587169400751e-08,1.2626155321271426e-07
1834,1.1201437333241415e-08,2.2309528802111345e-07
1835,3.2521278114927554e-08,2.0495968300338063e-07
1836,1.6801875613037254e-08,1.7541157681932873e-07
1837,1.1132625044041333e-08,1.8507990517946382e-07
1838,6.122797135965641e-08,2.7142296943338806e-07
1839,3.845311480343838e-08,1.43325243229242e-07
1840,1.5287252685958208e-08,2.8663600204481554e-07
1841,1.8619591202195807e-08,1.797753625965015e-07
1842,4.293289501688946e-08,1.650233265593215e-07
1843,5.316220019757623e-09,1.8606769813800383e-07
1844,1.152597861597826e-08,2.091141837468058e-07
1845,1.0044410192477926e-08,1.9419192653913342e-07
1846,1.3465352610708692e-08,1.8207499330458177e-07
1847,1.1325769655456952e-08,1.4669568493275165e-07
1848,7.401603796530765e-08,1.2470093402328075e-07
1849,9.217356433666168e-09,2.094853730483237e-07
1850,1.0862393651223101e-08,1.6157811089101415e-07
1851,1.6768540778144825e-08,1.741348434336487e-07
1852,2.864639925270751e-08,2.2591592596654664e-07
1853,1.7915795735845563e-08,2.4544640453427746e-07
1854,1.7665259477439577e-08,1.2365681101300652e-07
1855,2.0697054736729115e-08,1.4063382991480466e-07
1856,1.5013848608802505e-08,1.7188267875667407e-07
1857,2.0990488958094744e-08,1.4400451586737972e-07
1858,1.6638498356869036e-08,1.7568297039360914e-07
1859,1.680417249794175e-08,1.4767303113671915e-07
1860,1.1900678331677739e-08,9.749401463921004e-08
1861,1.1789909160064838e-08,1.938261160461252e-07
1862,2.2589932147099034e-08,1.8930362877256357e-07
1863,1.1487627959994029e-08,1.6282464265771068e-07
1864,1.5343129544653777e-08,2.483669110375786e-07
1865,8.943004337069738e-09,1.1484700124242408e-07
1866,3.1139921974343565e-08,2.111675989624473e-07
1867,1.4073153309368536e-08,1.4170209894359687e-07
1868,3.210918098073279e-08,8.644779647681844e-08
1869,2.8324410261681976e-08,1.1183258585845124e-07
1870,1.1468097138589428e-08,1.4048419672008094e-07
1871,7.434823867669138e-09,4.2697132585090003e-07
1872,7.861540973763681e-09,2.164947510152615e-07
1873,6.824045062359119e-08,2.0412275514303246e-07
1874,7.766991494406739e-09,2.419716764734403e-07
1875,1.77367336373635e-08,1.3216727623444058e-07
1876,4.111290130559553e-08,1.2333869925384988e-07
1877,2.72131899237138e-08,1.100897231154363e-07
1878,1.2078177291652281e-08,1.4554204286199024e-07
1879,1.8938908663557186e-08,8.675241858213667e-08
1880,1.8611754359909582e-08,6.674560282249331e-08
1881,1.812851979643426e-08,1.6594568563732537e-07
1882,1.4641846846075168e-08,1.1780031705654892e-07
1883,1.2638677882037541e-08,1.529279956002938e-07
1884,1.1222884843675729e-08,1.4259664737892308e-07
1885,1.2246707925545053e-08,1.372920390707577e-07
1886,1.6133659463957173e-08,1.1551700573875223e-07
1887,1.697520390919749e-08,1.305784937954968e-07
1888,1.7119659467823567e-08,1.065223251828229e-07
1889,7.518164202302557e-09,1.0086870183556584e-07
1890,1.9007721174801873e-08,1.3764211459488251e-07
1891,3.505821055682645e-08,1.3640830776040502e-07
1892,2.1312941633766513e-08,1.0154989737998221e-07
1893,1.3548516419881196e-08,1.1762575358176264e-07
1894,1.5123694296903523e-08,1.0649601644985296e-07
1895,1.2037228547256973e-08,9.569597203551439e-08
1896,9.435246306477296e-09,8.373781312798201e-08
1897,7.574727733938857e-09,8.33220035190152e-08
1898,1.018503881233812e-08,1.0581123888186994e-07
1899,1.1055156790007459e-08,9.50743466177073e-08
1900,1.7130475371551768e-08,9.084342877940799e-08
1901,5.588739082629246e-09,1.6319117612795253e-07
1902,1.2766738111125164e-08,1.463264602818981e-07
1903,6.48026410310365e-09,1.3878566029745798e-07
1904,6.987012746151322e-09,1.0641757786089556e-07
1905,8.257214467732865e-09,1.1714922898420355e-07
1906,5.658602919567102e-09,1.2757577394495456e-07
1907,8.228549175370858e-09,1.2497109302955778e-07
1908,9.822778146428846e-09,1.5519989737811102e-07
1909,5.500983557560346e-09,1.754813716559056e-07
1910,1.2825962070195374e-08,1.4215440735654283e-07
1911,1.276889838308648e-08,1.2822101957965515e-07
1912,6.772247596043002e-09,8.491356240369896e-08
1913,4.772690798127144e-09,1.0128710492551818e-07
1914,4.68772043404897e-09,1.2121106429674455e-07
1915,1.64930663570928e-08,3.5460092995265313e-07
1916,1.3184954461564757e-08,3.1424142221680995e-07
1917,1.644963654179321e-08,3.1473638628654044e-07
1918,3.2161855401113826e-08,3.216185433529972e-07
1919,2.0257266697409904e-08,2.75314668840565e-07
1920,5.300562211374427e-09,2.0217858853754933e-07
1921,2.7261891411001216e-08,1.484258529416138e-07
1922,2.5084979815570563e-08,1.1288241275053679e-07
1923,3.3971033541746465e-08,1.1465224147855224e-07
1924,3.222906141964188e-08,8.895221093041528e-08
1925,1.8696902470694e-08,7.368779053607e-08
1926,1.560459417238036e-08,1.0365908753584563e-07
1927,1.783875902550136e-08,1.5162945388169646e-07
1928,9.140832757381645e-09,1.1083259998656558e-07
1929,3.119313785049371e-08,8.243900495585876e-08
