year,autres_ADJ ados_NOUN,autres_ADJ cadeaux_NOUN
1800,0.0,3.144164484325529e-09
1801,0.0,2.3811825844433088e-09
1802,4.475680270843441e-09,3.1329761895904085e-08
1803,3.900678446910888e-09,1.5602713787643552e-08
1804,1.4831105232815389e-08,7.4155526164076946e-09
1805,2.842877711017877e-09,0.0
1806,0.0,3.458002950651462e-08
1807,0.0,2.8469551160981155e-09
1808,0.0,4.5321479902327155e-09
1809,1.3554183553310395e-08,0.0
1810,1.4040760554223652e-08,0.0
1811,0.0,2.757784400841956e-08
1812,0.0,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,1.622322720606917e-08
1817,0.0,6.227493631882908e-09
1818,0.0,3.5763532135746345e-09
1819,0.0,0.0
1820,0.0,1.0679833017945839e-08
1821,0.0,5.9168927535324656e-09
1822,2.0051231786055723e-09,3.0076847679083585e-09
1823,9.882686891060644e-10,8.894418535021487e-09
1824,0.0,8.421112696055388e-10
1825,0.0,1.3208164340028361e-08
1826,8.807984341885344e-10,1.0569580766173203e-08
1827,3.6869092223668076e-09,9.217273166939322e-09
1828,1.8344602503717056e-09,3.668920500743411e-09
1829,8.57317605795771e-10,1.1145129263923081e-08
1830,0.0,1.0436835395921662e-08
1831,0.0,1.7150327380477393e-08
1832,1.3529969367098715e-09,2.1647950987357945e-08
1833,0.0,3.243415847009601e-08
1834,9.334530925997342e-10,1.4001796166951408e-08
1835,2.2689263801112247e-09,1.285724948729694e-08
1836,3.36037508930076e-09,2.352262562510532e-08
1837,0.0,2.5048407792382932e-08
1838,6.312161904276081e-10,9.468243078458727e-09
1839,0.0,1.3283802502428443e-08
1840,6.369688665408546e-10,2.229391071750797e-08
1841,0.0,8.346713542550788e-09
1842,0.0,2.3478927246856074e-08
1843,5.906911071384968e-10,2.539971788451112e-08
1844,5.488561272137815e-10,1.7014540221182983e-08
1845,1.674068439427856e-09,1.2834524554250493e-08
1846,5.854501328173001e-10,1.5221703009160592e-08
