year,suis_VERB assez_ADV
1800,7.357344884439954e-07
1801,1.10963105726114e-06
1802,6.355465984597686e-07
1803,7.216254971353919e-07
1804,1.1469388709883788e-06
1805,1.0717649274738505e-06
1806,1.3025144198763883e-06
1807,6.320240117929643e-07
1808,7.976580604918126e-07
1809,6.460827535192948e-07
1810,1.3572735042544082e-06
1811,5.816418138238078e-07
1812,1.0135390766663477e-06
1813,9.23113077533344e-07
1814,6.38775475181319e-07
1815,7.79497611347324e-07
1816,6.280706656980328e-07
1817,1.1552000387382577e-06
1818,1.264836896552879e-06
1819,8.508563382747525e-07
1820,1.0561168437561719e-06
1821,1.5216276096907677e-06
1822,1.0216102737103938e-06
1823,1.0950017212962848e-06
1824,9.616910574550275e-07
1825,1.0540114772084053e-06
1826,8.42043277771154e-07
1827,7.318514576581947e-07
1828,8.814581633487251e-07
1829,8.195956411327643e-07
1830,1.159532416750153e-06
1831,1.0399334087196621e-06
1832,1.0485725852049654e-06
1833,8.35179605473968e-07
1834,7.542300863860874e-07
1835,9.037889867613558e-07
1836,7.5877267136093e-07
1837,8.11290078672755e-07
1838,7.107494184310781e-07
1839,6.760756718904304e-07
1840,6.248664590202679e-07
1841,5.746391025240882e-07
1842,6.909513103892095e-07
1843,6.674809469586762e-07
1844,5.757500503023039e-07
1845,7.019926897555706e-07
1846,7.165909892137279e-07
1847,4.638172299564758e-07
1848,5.293755975799286e-07
1849,5.052787059867114e-07
1850,4.7658753032919776e-07
1851,6.120517355157062e-07
1852,6.334760769277636e-07
1853,7.034935833871714e-07
1854,7.575278573312971e-07
1855,6.591216106244246e-07
1856,6.637156388933363e-07
1857,7.058662276904215e-07
1858,7.614559649482544e-07
1859,7.510955697398458e-07
1860,7.337225724768359e-07
1861,7.795488272677176e-07
1862,9.356749615108129e-07
1863,7.137313104976784e-07
1864,7.829791002222919e-07
1865,8.345235187334765e-07
1866,7.220569386845455e-07
1867,6.556148264280637e-07
1868,6.194601951392542e-07
1869,7.857582318138157e-07
1870,6.57695409245207e-07
1871,5.788541557194549e-07
1872,7.099576464497659e-07
1873,5.549026127482648e-07
1874,7.175505629675172e-07
1875,8.525075259058212e-07
1876,8.518834988535673e-07
1877,7.990782364686311e-07
1878,6.051166678844311e-07
1879,6.98295878009958e-07
1880,6.892767032695701e-07
1881,7.746455708002031e-07
1882,9.004735943562991e-07
1883,6.553154321409238e-07
1884,6.383841082424624e-07
1885,4.395923554056935e-07
1886,5.240212885837536e-07
1887,5.902147677261382e-07
1888,5.002744956073002e-07
1889,5.093556296742463e-07
1890,4.581516179769096e-07
1891,4.876278580923099e-07
1892,5.497485631167365e-07
1893,4.57570337175639e-07
1894,4.398474402478314e-07
1895,5.049617470831436e-07
1896,5.106826961309707e-07
1897,5.075067406323797e-07
1898,4.2267910771442985e-07
1899,5.118537842463411e-07
1900,5.050894742453238e-07
1901,4.0797795008984394e-07
1902,4.060804599248513e-07
1903,4.287774970634928e-07
1904,4.944654961036576e-07
1905,4.820149115403183e-07
1906,4.712073007340223e-07
1907,5.415413966147753e-07
1908,5.667743039339257e-07
1909,5.033400043430447e-07
1910,5.95338406128576e-07
1911,4.814938847630401e-07
1912,6.225258175618364e-07
1913,4.783296958521532e-07
1914,4.6006630327610765e-07
1915,3.710939893153409e-07
1916,4.3620224232654436e-07
1917,3.9369464843730384e-07
1918,4.4567138957063435e-07
1919,3.80284149059662e-07
1920,4.263166601958801e-07
1921,4.2710294678727223e-07
1922,4.456273074993078e-07
1923,5.626452548312955e-07
1924,5.182433255868091e-07
1925,5.840032599735423e-07
1926,5.71796874737629e-07
1927,7.325040769501356e-07
1928,5.381665459935903e-07
1929,6.272048835853639e-07
1930,5.587917257798836e-07
1931,5.166626806385466e-07
1932,4.537248230462865e-07
1933,4.542382328054373e-07
1934,4.756687417284411e-07
1935,5.182267273085017e-07
1936,4.267899385013152e-07
1937,4.797216206497978e-07
1938,4.3433468022158195e-07
1939,4.3282162209834496e-07
1940,3.575453888515767e-07
1941,4.397738848638255e-07
1942,5.461581054078124e-07
1943,5.516146757145179e-07
1944,3.887955131176568e-07
1945,5.44626004739257e-07
1946,6.528998142130149e-07
1947,6.258457005969831e-07
1948,6.110000754233624e-07
1949,5.25209941315552e-07
1950,5.891990326745145e-07
1951,6.983217986089585e-07
1952,5.725828486902174e-07
1953,5.45155671716202e-07
1954,6.488963890660671e-07
1955,5.978632202641165e-07
1956,5.677463263964455e-07
1957,5.680929007212399e-07
1958,5.898109520785511e-07
1959,5.751055027758412e-07
1960,5.086812393528817e-07
1961,5.259756790110259e-07
1962,6.51318941891077e-07
1963,5.657796577906993e-07
1964,6.558518066412944e-07
1965,5.242217753220757e-07
1966,5.217808620727737e-07
1967,5.699467919839662e-07
1968,5.560372642321454e-07
1969,4.791554601979442e-07
1970,5.274737304716837e-07
1971,5.770420443695912e-07
1972,4.955721806254587e-07
1973,5.221003789301903e-07
1974,4.241680926497793e-07
1975,3.9294982911997067e-07
1976,4.873638204117015e-07
1977,4.3194347654207377e-07
1978,4.716829664630495e-07
1979,5.500854740603245e-07
1980,5.491855290529202e-07
1981,4.674581077779294e-07
1982,4.5128541614758433e-07
1983,4.673333933169488e-07
1984,4.2912662934213586e-07
1985,4.4936217591384775e-07
1986,4.9514449074195e-07
1987,4.4303422441771545e-07
1988,4.0236875520349713e-07
1989,4.5716058139078086e-07
1990,4.353472036200401e-07
1991,5.316348961059703e-07
1992,4.2757167761919845e-07
1993,5.27886470536032e-07
1994,5.132503702043323e-07
1995,4.869360736847739e-07
1996,4.916382749797776e-07
1997,5.020254434384697e-07
1998,4.949318395119917e-07
1999,4.638754091956798e-07
2000,4.669859379191621e-07
2001,5.489658292390232e-07
2002,5.51157654626877e-07
2003,5.733685952691303e-07
2004,5.307773562890361e-07
2005,5.440529662337212e-07
2006,6.098595122239203e-07
2007,7.449704071404994e-07
2008,7.603787253174232e-07
2009,7.734008136139892e-07
2010,9.641261158321868e-07
2011,9.946151067197206e-07
2012,1.2006798897346016e-06
2013,1.2966642088940716e-06
2014,1.4333081708173268e-06
2015,1.5012865333119407e-06
2016,1.5085569202710758e-06
2017,1.5981678416210343e-06
2018,1.7582369764568284e-06
2019,1.7497225144325057e-06
