year,quelques_DET ouvertures_NOUN,quelques_DET couvertures_NOUN
1800,2.2323567350213125e-07,2.2009151834367913e-08
1801,1.3096504858367553e-07,2.3811825400343878e-08
1802,2.3273537408385891e-07,4.699464284385613e-08
1803,2.593951187179755e-07,1.3652374342143503e-08
1804,2.0516363363753953e-07,3.460591457837836e-08
1805,1.3361525930122298e-07,1.7057265822018053e-08
1806,8.356840108802999e-08,2.5935023018064385e-08
1807,1.366538526781369e-07,5.693910232196231e-09
1808,1.7222162540520003e-07,2.7192887941396293e-08
1809,1.061744367980566e-07,5.1957702140725814e-08
1810,1.4508785284306214e-07,5.8503168531842675e-08
1811,7.019814773912003e-08,2.5572182726918413e-07
1812,1.2002436733382638e-07,1.8670456736202823e-08
1813,1.581657897986588e-07,1.4378708224072057e-08
1814,2.0768069219911922e-07,2.2026739543434815e-08
1815,2.0498899289123074e-07,1.888056444521169e-08
1816,3.267821391261805e-07,3.0128852301913867e-08
1817,2.2730351967314988e-07,3.113746738225842e-08
1818,1.8120189304582368e-07,4.2916237674717195e-08
1819,2.2461777915427916e-07,3.2088255608186955e-08
1820,3.2395494464765306e-07,9.493184904840746e-09
1821,2.840108717094836e-07,2.6626018723163725e-08
1822,2.777095744477265e-07,3.0076847679083585e-09
1823,2.826448444182006e-07,5.6331316500290995e-08
1824,2.4926494646138053e-07,5.894778887238772e-09
1825,1.4440926676684285e-07,2.201360693732113e-08
1826,1.752788820752471e-07,4.668231667892542e-08
1827,2.295100980376219e-07,9.217273166939322e-09
1828,2.1463184407544134e-07,2.7516904310687096e-08
1829,1.8175132832087826e-07,2.3147574523818548e-08
1830,2.2230460827721288e-07,9.39315203396518e-09
1831,3.414474178953242e-07,2.3386808933878456e-08
1832,1.5153565002812286e-07,1.2176972319366541e-08
1833,2.559981835403846e-07,2.20088942626262e-08
1834,1.857571607644104e-07,5.600718555598405e-09
1835,1.663879345414898e-07,1.3613558280667348e-08
1836,1.6936290697655565e-07,1.8146025126952736e-08
1837,2.977977358042949e-07,1.2524203896191466e-08
1838,2.6195471392043146e-07,2.651108044204875e-08
1839,2.2162976542894341e-07,2.1673573602498664e-08
1840,2.1848031828142211e-07,1.6561190641084522e-08
1841,1.9004823359480838e-07,1.7977535904378783e-08
1842,2.7906383337494844e-07,3.3541325272778977e-09
1843,1.9197460554565282e-07,8.269675388916653e-09
