year,vous_PRON osez_VERB,vous_PRON causer_VERB
1800,6.476979024228058e-07,2.6096566330124915e-07
1801,6.833993921873116e-07,3.714644947194756e-07
1802,7.340115644183243e-07,4.1400042505301826e-07
1803,6.436119619479541e-07,2.6719646939454833e-07
1804,1.1469388283558146e-06,3.633620906384749e-07
1805,6.680762822952602e-07,2.899735136452364e-07
1806,6.483755612407549e-07,2.0171684411707247e-07
1807,5.864727725679586e-07,1.395007984683616e-07
1808,5.347934646238173e-07,2.039466551195801e-07
1809,6.709320388154083e-07,3.388545906091167e-07
1810,8.447857595683672e-07,7.301195523723436e-07
1811,8.373636433134379e-07,2.507076715119183e-07
1812,6.53466003086578e-07,3.867451994210569e-07
1813,9.087343642022461e-07,3.853493808492203e-07
1814,6.8912227391138e-07,1.1642705288750221e-07
1815,6.850948111036814e-07,1.7531952778426785e-07
1816,5.840361723130627e-07,5.191432705942134e-07
1817,1.0057402306529184e-06,2.350878816059776e-07
1818,1.0764823343833996e-06,3.4094566103703983e-07
1819,1.0206135101498148e-06,1.749327509514842e-07
1820,9.327054470986695e-07,3.55994444589669e-07
1821,1.1863370730225142e-06,3.717780998613307e-07
1822,1.0556973535358338e-06,3.920015956282441e-07
1823,9.764094386355282e-07,2.3718448005638493e-07
1824,8.65690395812635e-07,1.9200136591734918e-07
1825,8.012953287561686e-07,2.9762398412458424e-07
1826,7.654138514112674e-07,2.1843801789600548e-07
1827,6.406004757764094e-07,2.2766664642404066e-07
1828,7.493769942357176e-07,2.7700349392034695e-07
1829,6.549906217401258e-07,2.366196554248745e-07
1830,8.589516227175409e-07,1.9621251112766913e-07
1831,7.733238334139969e-07,1.9956743813054345e-07
1832,7.793262142286039e-07,3.179542886755371e-07
1833,5.965568590227122e-07,2.3978111585165607e-07
1834,6.384819286608945e-07,2.314963722938046e-07
1835,7.321069190879825e-07,3.441205080889631e-07
1836,5.383320882401676e-07,1.94229670569257e-07
1837,5.802881091199197e-07,1.9203778833798424e-07
1838,5.718818698596806e-07,2.0703890868389863e-07
1839,4.5164929218799443e-07,1.9506215664932824e-07
1840,5.165817498209435e-07,2.1720637732869363e-07
1841,4.892458065341998e-07,1.804174161179617e-07
1842,6.1783123328496e-07,2.119811739476063e-07
1843,6.733878592513065e-07,2.1501156766134955e-07
1844,7.288809484862213e-07,2.1240731484795106e-07
1845,6.082448464894696e-07,1.8916972521765274e-07
1846,5.479813154352087e-07,1.7856228851087508e-07
1847,3.9532330475822164e-07,1.4292042749275424e-07
1848,4.3363744595126263e-07,1.359642425313723e-07
1849,4.642195818860273e-07,7.709061833338637e-08
1850,4.535049313858508e-07,1.6022030990825442e-07
1851,4.759685836575045e-07,1.6897529064863193e-07
1852,4.1862807975689975e-07,2.1029062224897643e-07
1853,4.729770068934158e-07,1.8751866548427643e-07
1854,7.107669119932325e-07,2.021113516548212e-07
1855,4.654183989316607e-07,1.6504574773534841e-07
1856,4.757837004376597e-07,1.9466232004106132e-07
1857,5.418475055307681e-07,1.898906987207738e-07
1858,5.383043557571909e-07,2.2070479133162735e-07
1859,4.7408133241333417e-07,2.179450149242257e-07
1860,5.698594023328951e-07,2.1146590256648778e-07
1861,4.5320412311866676e-07,2.3626978418178624e-07
1862,3.984863923278681e-07,1.956288002702422e-07
1863,6.028507542055195e-07,2.1876439859624952e-07
1864,5.605036861311419e-07,2.622716124278668e-07
1865,5.728229410806307e-07,3.05474202377809e-07
1866,4.461766991425975e-07,2.2965693347032357e-07
1867,3.2756478418605184e-07,2.499197933047981e-07
1868,3.9222600278776554e-07,2.2377629704806168e-07
1869,5.469541406455392e-07,2.1292143514983763e-07
1870,4.982888341942271e-07,2.0413213519532292e-07
1871,4.853878010635526e-07,2.1242354364403582e-07
1872,4.825776827033224e-07,2.9208649721113034e-07
1873,4.788803522615126e-07,1.8556613667897182e-07
1874,3.7221813897758693e-07,2.0253925470115064e-07
1875,4.1709933640277086e-07,2.7634976618173823e-07
1876,4.3833608742716024e-07,2.3035316587538546e-07
1877,5.646736909170613e-07,2.003880439360728e-07
1878,3.9495639470032984e-07,1.7754921088908304e-07
1879,4.2581996240187436e-07,1.8633441811743978e-07
1880,3.3244445063473904e-07,1.559536570994169e-07
1881,4.0858895999917877e-07,2.0499172137533606e-07
1882,3.880089423091704e-07,2.249520179020692e-07
1883,4.1518055837741485e-07,1.9273983298262465e-07
1884,3.1424076496477937e-07,2.1323481291801727e-07
1885,2.4622327998713445e-07,1.9207993773306953e-07
1886,3.162197188544269e-07,1.4520293234454584e-07
1887,2.239421199590197e-07,1.8999170947608945e-07
1888,2.1875120026493278e-07,1.179354356395379e-07
1889,2.4371381357468636e-07,1.4785722157739656e-07
1890,1.9794246952642425e-07,1.5927159324746754e-07
1891,2.0716214876870254e-07,1.6126776358760253e-07
1892,1.9683128371639214e-07,1.629813226600163e-07
1893,2.2047131054137026e-07,1.1516238629383224e-07
1894,2.073206388786275e-07,1.3359263562051638e-07
1895,2.064384716504719e-07,1.474560491487864e-07
1896,2.004989845261207e-07,1.4034928597084217e-07
1897,1.6314797690597516e-07,1.3692776690277242e-07
1898,2.0143743739708952e-07,1.4428805172883585e-07
1899,2.07284188036283e-07,1.4979737272824423e-07
1900,1.8947343960462604e-07,1.6455638274237572e-07
1901,1.9225261738142763e-07,1.1512802444713088e-07
1902,2.096691247288618e-07,1.3748794458479097e-07
1903,2.127686720143629e-07,1.263651512317665e-07
1904,2.0531068045670509e-07,1.3544055832426238e-07
1905,2.2191263582271858e-07,1.3882441862733685e-07
1906,1.7901762561223222e-07,1.3529205489248852e-07
1907,1.7742809887977273e-07,1.429710465572498e-07
1908,1.8712393057285226e-07,1.3899230566494225e-07
1909,1.8208254815021974e-07,1.6447940254238347e-07
1910,2.4102119766666874e-07,1.5711802348050696e-07
1911,1.6014326220670227e-07,1.292850981826632e-07
1912,2.1462814814299236e-07,2.3077735988863424e-07
1913,1.840137500153105e-07,1.5908969430711295e-07
1914,1.6607923569722516e-07,1.011208325962798e-07
1915,1.8967026704785894e-07,1.8260180922879954e-07
1916,2.109592749377498e-07,1.6700941785074974e-07
1917,2.2261841081672173e-07,8.663475625780848e-08
1918,1.8837657833614685e-07,1.1026921242773824e-07
1919,2.1546365758240427e-07,1.574542096705045e-07
1920,1.643174272203396e-07,1.0979736231320203e-07
1921,2.044641718157436e-07,1.628140751108731e-07
1922,1.800216296032886e-07,1.4829650751835288e-07
1923,2.0488779739480378e-07,1.4013050986250164e-07
1924,1.6888028042671976e-07,1.0700048136413898e-07
1925,2.3096173862313663e-07,1.8806883872457547e-07
1926,1.8836974291502884e-07,1.393267297089551e-07
1927,2.6423663257446606e-07,1.4271007842125982e-07
1928,2.148095674670003e-07,1.6110718092932075e-07
1929,2.3506257207372983e-07,1.793605406419374e-07
1930,2.363310755981729e-07,1.0713675635543041e-07
1931,1.9275052309808416e-07,1.0150767337790967e-07
1932,1.863121248391053e-07,1.1288322809832607e-07
1933,1.835306022712757e-07,1.0553009133218438e-07
1934,1.6654396617354905e-07,9.824896096688462e-08
1935,1.4481624077689048e-07,1.4002893067299738e-07
1936,1.5155893251517227e-07,7.881064334469556e-08
1937,1.0828361141079768e-07,1.1332006266684402e-07
1938,1.1279736256142314e-07,8.038433207957496e-08
1939,1.575287171817763e-07,1.2082300315796601e-07
1940,5.325143970225099e-08,9.63597486247636e-08
1941,1.4757512900587244e-07,1.1806010036252701e-07
1942,1.8508691823626577e-07,1.0923162108156248e-07
1943,1.8871028828471026e-07,1.5967793842719402e-07
1944,1.6065931163211644e-07,1.4138018400444707e-07
1945,1.5249528573235693e-07,1.0892519952676594e-07
1946,1.6705325833754614e-07,1.3642682006320683e-07
1947,2.193440273856595e-07,1.6808428426884348e-07
1948,2.413559059277759e-07,1.1850357850562432e-07
1949,1.9241335991182495e-07,1.4529172176480643e-07
1950,2.5312160545354345e-07,1.0422654384001362e-07
1951,2.0363277997148543e-07,1.8230997511636815e-07
1952,1.834795924082755e-07,1.2442868069229007e-07
1953,1.7561338339078247e-07,1.1420257095551278e-07
1954,1.6906487587675656e-07,1.0847514886336285e-07
1955,1.5955533427813862e-07,1.1168873470523977e-07
1956,1.831439710997529e-07,1.1250272535789918e-07
1957,1.8818630564965133e-07,1.4136060144664953e-07
1958,1.910888300926672e-07,1.0505749514777563e-07
1959,1.8601794238293223e-07,1.1548614509138133e-07
1960,2.491500055157303e-07,1.6125541435485502e-07
1961,2.2720480785665131e-07,1.1464462801313857e-07
1962,2.2450525705153268e-07,1.306442953818987e-07
1963,1.8557572900590458e-07,1.0798309091342162e-07
1964,2.171976696274669e-07,1.2837173812840774e-07
1965,1.8604947982225895e-07,1.2640420266052388e-07
1966,1.8001993495886381e-07,8.751737823331496e-08
1967,2.0263679800791579e-07,1.0501614866598175e-07
1968,2.2771478214167473e-07,1.1273453992544091e-07
1969,1.7349514891407125e-07,1.099105375601539e-07
1970,1.8762797537874576e-07,1.0301143760216291e-07
1971,1.7830239684712978e-07,1.1561394330783514e-07
1972,1.374879374793636e-07,1.0722006749119828e-07
1973,1.3948405452879342e-07,1.069561506028549e-07
1974,1.1926212017954185e-07,7.650777433809708e-08
1975,1.2679485905664478e-07,5.9399393848025284e-08
1976,1.2626894374534459e-07,9.370184272938786e-08
1977,1.1577260039530302e-07,7.757351738746365e-08
1978,1.3247518637626854e-07,8.198016132610064e-08
1979,1.773147992878421e-07,9.948355028654987e-08
1980,1.1199746907664121e-07,8.584577670944782e-08
1981,1.1196222438059067e-07,8.476236246224289e-08
1982,1.2166704799199124e-07,7.014477887423709e-08
1983,1.3072704163619164e-07,8.14675757965233e-08
1984,1.2119927461640145e-07,7.59670086836195e-08
1985,1.0948315321002156e-07,6.737425195524338e-08
1986,1.552571724516838e-07,1.204891617589965e-07
1987,1.3138256349520816e-07,8.310711052672559e-08
1988,1.043400352784829e-07,8.215278768375356e-08
1989,1.2567799601015395e-07,8.671233331369876e-08
1990,1.0406923500738685e-07,7.41016563665653e-08
1991,1.1898774587848493e-07,8.557739050729651e-08
1992,9.8077006072117e-08,6.77723122066709e-08
