year,les_DET âges_NOUN,les_DET ages_NOUN,les_DET cages_NOUN
1800,4.665940068093732e-06,2.0437069014889175e-07,1.666407158928962e-07
1801,5.462432925540384e-06,5.238601819002042e-08,1.3096504858367553e-07
1802,4.965767089970541e-06,4.699464284385613e-08,2.3497321421928064e-07
1803,5.644281493744074e-06,1.1311967385019273e-07,3.471603946536561e-07
1804,5.386163351772666e-06,4.9437018700970725e-08,1.384236476553724e-07
1805,5.694284274326833e-06,2.2743021688143017e-08,1.7910129201936797e-07
1806,4.829677632045559e-06,9.221341379372916e-08,4.610670689686458e-08
1807,4.327371735612928e-06,1.19572113099764e-07,9.11025637151397e-08
1808,4.896985794644593e-06,6.345007141916881e-08,1.2690014106198078e-07
1809,4.368964847678569e-06,3.388545821714217e-08,1.1972862168363463e-07
1810,4.918946551413228e-06,1.0296557739764012e-07,1.0062544708588916e-07
1811,3.5450065478670467e-06,8.524061101411462e-08,4.011322829455821e-08
1812,5.438437618465741e-06,9.601949235715779e-08,8.535066342574282e-08
1813,4.678831608373457e-06,5.1763349162570194e-08,4.026038169513413e-08
1814,5.003216866583671e-06,8.18136065561248e-08,5.349351184236184e-08
1815,5.5427945504504805e-06,7.2825036667723e-08,1.75319534445606e-07
1816,5.678129348041239e-06,1.0429217667251578e-07,6.489290882427667e-08
1817,5.544025981407685e-06,6.850243117195731e-08,1.9616605584360514e-07
1818,4.624224864357984e-06,4.530047448270125e-08,2.062363737564965e-07
1819,4.743886410807363e-06,2.5877624487691264e-08,1.200721806426941e-07
1820,5.265157511757934e-06,6.763894067063347e-08,1.1747816053286897e-07
1821,5.670355704978647e-06,1.0749022016920406e-07,4.9307439686785415e-08
1822,4.948644132696245e-06,5.6143449000956025e-08,1.5038423839541792e-07
1823,4.215954415798251e-06,2.865979298327659e-08,1.5911126283185695e-07
1824,4.558348194905193e-06,3.789500802042767e-08,7.326368400839556e-08
1825,4.83418807561975e-06,4.314667090277169e-08,9.685987478746938e-08
1826,3.974162375186552e-06,5.901349353631957e-08,8.103345550125596e-08
1827,4.422447450025402e-06,6.636436677975865e-08,1.2627663892317287e-07
1828,4.836554538201199e-06,5.228211635843749e-08,1.0548146178734896e-07
1829,4.706673472298917e-06,4.886710325280319e-08,1.4660131641974772e-07
1830,4.9929822836247695e-06,8.558205366604454e-08,1.7012042974329233e-07
1831,4.819241720355194e-06,6.392394413801128e-08,1.3096613038499072e-07
1832,5.652821140955666e-06,3.247192603694771e-08,8.388581029805664e-08
1833,5.724629140502202e-06,7.761030995645513e-08,1.366868147556488e-07
1834,5.47376898651919e-06,6.627516802026889e-08,1.3161688272589345e-07
1835,4.816174183019939e-06,4.9160071569076536e-08,1.4974914108734083e-07
1836,4.917572923091029e-06,6.586335044023173e-08,1.1358067908417979e-07
1837,4.771025746919122e-06,4.661787011972507e-08,1.3011256072559263e-07
1838,4.973983681821892e-06,5.365337751861432e-08,1.811590450984113e-07
1839,5.013586640956191e-06,5.5931801412612003e-08,1.58706493280647e-07
1840,4.884277146288696e-06,8.153201597194126e-08,1.1783923881125702e-07
1841,5.444625280404125e-06,7.383630817869857e-08,1.2391658632537883e-07
1842,5.23244681005508e-06,9.123240563013724e-08,2.213727494648765e-07
1843,5.550724374359106e-06,7.324569645250634e-08,2.0792326793639404e-07
1844,5.129060426156684e-06,1.136132175005855e-07,2.0197905215013634e-07
1845,4.589179532388243e-06,7.812319202660234e-08,1.3615755545259844e-07
1846,5.089903304167365e-06,8.37193687708293e-08,1.9554034125235376e-07
1847,4.52545380369429e-06,6.040410482910374e-08,1.1217904916094312e-07
1848,4.985623881736956e-06,6.43617756312942e-08,1.3757329497821047e-07
1849,4.952234100130681e-06,6.954914533174872e-08,9.468739037288287e-08
1850,4.848700971393782e-06,7.467895635215882e-08,1.1744963401838504e-07
1851,4.9067332277275e-06,9.480675022821572e-08,1.767146287079413e-07
1852,5.317813577931929e-06,9.049658289406182e-08,2.3828595985264656e-07
1853,5.411167634861158e-06,1.039116110934657e-07,3.51746777482731e-07
1854,5.172284105015024e-06,1.0183502335836536e-07,1.532721061181519e-07
1855,5.324449809052112e-06,9.817833657166375e-08,1.7619031211779657e-07
1856,5.657114549251219e-06,9.422484165133582e-08,3.7482850245851296e-07
1857,5.266172131257463e-06,7.956859537916472e-08,2.5920813229163286e-07
1858,4.616204655860656e-06,6.99795659198088e-08,1.9623640667987274e-07
1859,5.104903927133364e-06,7.12904275612658e-08,2.591916192784538e-07
1860,5.277035356243687e-06,9.38322714250095e-08,1.6660949153646243e-07
1861,4.886681601590226e-06,9.29044859931949e-08,2.730542867368513e-07
1862,4.754276766050225e-06,6.867339152893948e-08,2.2092952534080723e-07
1863,4.5750728574489585e-06,9.539725898122242e-08,1.9728751965431002e-07
1864,5.300571899624629e-06,9.589455862712981e-08,2.2055748516436324e-07
1865,5.033499434148325e-06,9.978510345787228e-08,2.0051157179068468e-07
1866,4.8247416941649135e-06,1.5715929935211648e-07,1.420758994896687e-07
1867,4.717417837696303e-06,1.1258522825130513e-07,4.498556336329784e-07
1868,5.1552525022202644e-06,1.1411109390735419e-07,2.544035062612693e-07
1869,5.3171757983250245e-06,7.667124912735801e-08,2.3636232526769163e-07
