year,les_DET heures_NOUN,les_DET coeurs_NOUN
1800,5.1501412201560015e-06,1.971391032640213e-06
1801,5.2433641855031965e-06,1.652540763785737e-06
1802,7.490050990099917e-06,1.5732016152014694e-06
1803,5.041627026969309e-06,1.6870434009774726e-06
1804,6.172211939770023e-06,1.4658075677687066e-06
1805,6.117873017075226e-06,1.2565519895701982e-06
1806,6.04286017846789e-06,1.3572661146099563e-06
1807,5.118825498584556e-06,1.4547940807574378e-06
1808,5.384191780422043e-06,1.5431964044410051e-06
1809,6.0135394477356385e-06,1.6874957466939122e-06
1810,6.7606260074626334e-06,1.602986845483656e-06
1811,4.989082860618055e-06,9.602103823169728e-07
1812,5.577132249356964e-06,9.708637769278994e-07
1813,5.167707683995104e-06,1.0784031729826893e-06
1814,6.183220641275966e-06,2.2844875999794567e-06
1815,4.6715912409567295e-06,1.6453064102250892e-06
1816,5.091775763688133e-06,1.0591449424168786e-06
1817,5.6545644300243225e-06,1.2781930145422393e-06
1818,5.135643203146856e-06,8.964725317639477e-07
1819,5.5709349355836935e-06,7.649426176925544e-07
1820,5.208198512463014e-06,1.0917162782675405e-06
1821,5.0145666570244884e-06,7.652514950606815e-07
1822,4.783221143611627e-06,8.642080899790017e-07
1823,5.33368610788898e-06,8.795591535104563e-07
1824,5.114983927967387e-06,7.671633603933969e-07
1825,5.429436296111589e-06,7.396572065943019e-07
1826,5.362300903755113e-06,6.147973112824445e-07
1827,5.213289428596113e-06,6.710175046720224e-07
1828,4.772348323633935e-06,7.090188631764249e-07
1829,4.902999499734051e-06,6.49846733313808e-07
1830,6.070063641061552e-06,5.646327911890126e-07
1831,5.42418045768045e-06,4.833273896664991e-07
1832,6.09119202721331e-06,6.345555729758701e-07
1833,6.690703763467809e-06,5.43272200559386e-07
1834,6.1253192100707565e-06,5.628721941874915e-07
1835,7.16375685527737e-06,4.893318177323636e-07
1836,5.873935373656991e-06,4.912868512008117e-07
1837,6.097895472123582e-06,4.773113211342661e-07
1838,6.224422747891367e-06,3.9009160790470787e-07
1839,6.165083050291287e-06,4.166919191916918e-07
1840,6.0435606989983626e-06,3.6370922362749525e-07
1841,6.27223388960374e-06,3.768861938091561e-07
1842,6.101837698224699e-06,3.8035861749108335e-07
1843,6.986694494059975e-06,3.632750229520809e-07
1844,6.675188458871162e-06,3.638916035164641e-07
1845,6.876515069365041e-06,2.86265696036736e-07
1846,6.685255044658334e-06,3.460010269407121e-07
1847,6.348363658759126e-06,2.820656082036521e-07
1848,7.173119708880904e-06,2.2526620480078918e-07
1849,8.210988589496537e-06,2.7484480513706444e-07
1850,6.918665839350524e-06,3.0618372104385116e-07
1851,6.4391195166990656e-06,2.070269780052314e-07
1852,7.386864815828176e-06,2.46098627254554e-07
1853,7.470289396849239e-06,2.3230815138219896e-07
1854,7.495785226296903e-06,2.696549852299057e-07
1855,7.290139492965864e-06,2.552636857444668e-07
1856,6.76813934319398e-06,2.2934947940811412e-07
1857,7.710831667395723e-06,2.167390080742848e-07
1858,6.957339408586449e-06,2.887268859552705e-07
1859,7.661684136905933e-06,3.3455577730379105e-07
1860,7.932717643654996e-06,2.453370488986195e-07
1861,7.15883297530695e-06,1.9524089900357922e-07
1862,7.215223874368348e-06,2.2815829980871172e-07
1863,7.513907753775584e-06,2.6471491532120695e-07
1864,7.314357304721852e-06,2.6658686458347347e-07
1865,7.418457268926204e-06,2.508748104812497e-07
1866,6.775365889666318e-06,2.8074586255755207e-07
1867,7.470903426565201e-06,2.727280001835197e-07
1868,6.9780660716389775e-06,2.3711395025216575e-07
1869,7.115287253611768e-06,2.515012478276901e-07
1870,6.620532566614656e-06,2.3394918713393054e-07
1871,7.398712003947594e-06,2.442870794538976e-07
1872,7.273739637270182e-06,2.1951841677747552e-07
1873,7.0491186647814175e-06,2.663772082911464e-07
1874,7.238238847406819e-06,1.899925723414242e-07
1875,6.710779302920855e-06,2.1856233933803537e-07
1876,6.504302810128593e-06,2.605832420954357e-07
1877,7.648762025525002e-06,1.9791411531855374e-07
1878,7.24509447991295e-06,2.5666128067314276e-07
1879,6.827170832224283e-06,1.9000001327817984e-07
1880,7.014706163488427e-06,2.4259458886177754e-07
1881,7.0171316153277985e-06,1.9941371354192938e-07
1882,7.300957499012384e-06,2.38262788165855e-07
