year,longs_ADJ quarts_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,2.842877711017877e-09
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,9.217273055917019e-10
1828,0.0
1829,8.57317605795771e-10
1830,0.0
1831,0.0
1832,5.411987746839486e-09
1833,6.950177322551099e-09
1834,0.0
1835,2.2689263801112247e-09
1836,1.3441500135158435e-09
1837,2.7831563720326358e-09
1838,0.0
1839,8.38977065598101e-09
1840,1.2739377330817092e-09
1841,9.630822361827995e-09
1842,6.708265054555795e-10
1843,1.1813822142769936e-09
1844,5.488561161115513e-09
1845,1.1160455892778032e-09
1846,1.7563503984519002e-09
1847,2.1572894581822766e-09
1848,8.045221711050488e-10
1849,0.0
1850,8.146795238417326e-09
1851,6.449438760824933e-10
1852,0.0
1853,2.388772735173461e-09
1854,1.558699391779328e-09
1855,8.491099379170919e-09
1856,1.0354378465748937e-09
1857,2.4407544874094356e-09
1858,5.3830437884982985e-09
1859,1.5276520048956854e-09
1860,1.373155145145688e-09
1861,1.4147891747029462e-09
1862,9.035972525772706e-10
1863,9.989241656072068e-10
1864,4.794727948009836e-10
1865,1.4120533631256649e-09
1866,1.4596839292835284e-09
1867,1.94112459439566e-09
1868,6.915823469455518e-09
1869,9.767038289254515e-10
1870,4.013834153937523e-09
1871,5.3105884134652115e-09
1872,3.628403577593531e-09
1873,5.986004469882289e-10
1874,8.961913877669758e-09
1875,4.577221712764867e-09
1876,1.3301232115736639e-08
1877,1.9791411176584006e-08
1878,3.6234530931267273e-09
1879,4.887460214320072e-09
1880,5.776061406947974e-09
1881,2.091752326904839e-09
1882,1.9966155395678697e-09
1883,3.159669414998234e-09
1884,1.9805090900604227e-09
1885,4.511945039809007e-09
1886,1.2906927748801422e-09
1887,3.264462256069578e-09
1888,0.0
1889,1.8795409673089125e-09
1890,2.6217545912032847e-09
1891,7.649063604731055e-09
1892,3.761107425503951e-09
1893,1.2316833108982905e-09
1894,1.0082462864602348e-08
1895,1.3240951446391591e-08
1896,2.358811590497112e-09
1897,7.574727511894253e-09
1898,1.1882545614128048e-08
1899,2.7637891975018647e-09
1900,4.671947717582725e-09
1901,3.353243460679778e-09
1902,2.9461704187383475e-09
1903,9.720396931811592e-09
1904,8.599400302955473e-09
1905,5.676835002077496e-09
1906,3.600929110447737e-09
1907,4.6285588695127444e-09
1908,1.4243028090277221e-08
1909,1.6502950117569526e-09
1910,2.67207544979442e-09
1911,2.128149656499545e-09
1912,4.688478938419394e-09
1913,6.363587878865928e-09
1914,6.696743604095445e-09
1915,0.0
1916,3.2962386153911893e-09
1917,1.315970976634162e-08
1918,2.067547733020092e-08
1919,8.287063479883727e-09
