year,ses_DET ouvertures_NOUN,ses_DET couvertures_NOUN
1800,2.6096566330124915e-07,1.3519907327008696e-07
1801,2.0240052589493018e-07,1.5477687043130572e-07
1802,1.3874608839614666e-07,2.0364345232337655e-07
1803,1.2677204952460386e-07,1.911332390136522e-07
1804,2.1752288215104443e-07,1.60670310833666e-07
1805,1.2792949632967066e-07,1.705726617728942e-07
1806,1.181484350354367e-07,1.3543845511776453e-07
1807,9.679647172688988e-08,5.4092147649953404e-08
1808,1.4049658147996524e-07,1.3369836437959748e-07
1809,1.4231892664362533e-07,2.1234886560250743e-07
1810,2.3167254781242264e-07,7.254392642153107e-08
1811,2.3065106447006656e-07,1.0279014617253779e-07
1812,2.3471432086807908e-07,1.0668833283489221e-07
1813,1.6679301495514665e-07,2.2718359105056152e-07
1814,9.754699092923147e-08,6.922689976818219e-08
1815,7.012781111370714e-08,1.4295284245235962e-07
1816,3.4300538409581804e-07,2.6188922674919013e-07
1817,2.646684720275516e-07,4.1257146676798584e-07
1818,1.2040389418821462e-07,3.290244876552606e-07
1819,1.9770505099714342e-07,1.8942421320389258e-07
1820,1.9461028433198635e-07,9.967844505354151e-08
1821,1.23268605989324e-07,9.171183990019927e-08
1822,1.7645083971729036e-07,7.619468078701175e-08
1823,1.1167436364534211e-07,5.030287866247818e-07
1824,1.8863292972071122e-07,7.410579172528742e-08
1825,1.8667539514183318e-07,1.2415674177645997e-07
1826,1.4268934478423034e-07,2.4398116238444345e-07
1827,1.576153749738296e-07,9.678137047330893e-08
1828,1.6968757182711514e-07,1.8161156845053483e-07
1829,1.5260253083404507e-07,6.086955295359076e-08
1830,9.080046936560393e-08,1.033246732617954e-07
1831,2.0892215957246663e-07,2.2607248695294402e-07
1832,1.2853470821028168e-07,1.7453660916544322e-07
1833,1.4942881421120546e-07,9.382738852536932e-08
1834,1.7642262939432385e-07,1.0921401383257034e-07
1835,1.1495893659230205e-07,1.3084141414765327e-07
1836,1.5457725677237022e-07,1.6331422614257463e-07
1837,1.7116412376338985e-07,1.5376939188627148e-07
1838,1.6348498732554617e-07,1.2245594405158045e-07
1839,1.5590989033142932e-07,1.642996636519456e-07
1840,1.9554943797572832e-07,9.809320289377865e-08
1841,1.6308193240277546e-07,1.1300165425609521e-07
1842,2.763805273531261e-07,1.0599058697380315e-07
1843,1.9374667692417802e-07,1.216823619643037e-07
1844,1.8715993999052216e-07,1.0373381087447342e-07
1845,2.617126995119179e-07,1.311353514665825e-07
1846,1.3114083552423494e-07,9.777016884982004e-08
1847,1.9092011882548832e-07,6.364003724002032e-08
