year,diverses_ADJ ouvertures_NOUN,diverses_ADJ couvertures_NOUN
1800,1.2891074163690064e-07,0.0
1801,1.1905913055443307e-07,0.0
1802,1.0741632650024258e-07,0.0
1803,1.326230716358623e-07,5.851017448321727e-09
1804,7.66273764440939e-08,2.4718509461507665e-09
1805,8.24434565060983e-08,0.0
1806,6.051504897186533e-08,0.0
1807,4.839823830593559e-08,0.0
1808,4.5321478125970316e-08,0.0
1809,9.036122072814123e-09,0.0
1810,1.4040760731859336e-07,0.0
1811,4.011322740637979e-08,0.0
1812,9.335229123053068e-08,0.0
1813,6.326631751818468e-08,2.8757416004054903e-08
1814,1.1642705288750221e-07,0.0
1815,1.6183340889597275e-08,0.0
1816,1.830907034872098e-07,0.0
1817,3.42512151974006e-08,0.0
1818,3.457141417584353e-08,0.0
1819,8.280839836061205e-08,1.035105001712111e-09
1820,4.6279277299277055e-08,0.0
1821,8.480879643002481e-08,0.0
1822,4.712039469723095e-08,0.0
1823,1.2155704531835454e-07,0.0
1824,1.0189546628680546e-07,0.0
1825,1.0742640199623565e-07,0.0
1826,9.864942540627197e-08,4.403992281964975e-09
1827,7.834681942098243e-08,0.0
1828,3.760643352279658e-08,0.0
1829,8.144517504860005e-08,8.57317605795771e-10
1830,7.931995327226105e-08,0.0
1831,4.365537620287796e-08,0.0
1832,1.393586899212096e-07,0.0
1833,6.602667923516492e-08,1.1583628278799551e-08
1834,7.467624874024636e-08,1.8669061851994684e-09
1835,5.899208588289184e-08,4.5378527602224494e-09
1836,5.3093924978764306e-08,6.720750067579218e-10
1837,7.584100902846558e-08,2.7831563720326358e-09
1838,1.0415067208668916e-07,2.5248647617104325e-09
1839,5.3135210009713774e-08,0.0
1840,7.516232614079854e-08,1.3376346252869098e-08
1841,5.1364388298225094e-08,4.494383976094696e-09
1842,6.976596012009395e-08,2.0124795163667386e-09
1843,4.8436671562512856e-08,8.860366662588604e-09
1844,6.696045057319466e-08,7.1351298203126134e-09
1845,6.696273208151027e-08,3.348136878855712e-09
1846,6.6741314697083e-08,5.854501328173001e-10
1847,4.368511064001268e-08,1.0786447290911383e-09
1848,4.907585093860689e-08,0.0
1849,5.362825405974547e-08,0.0
1850,6.177986566768823e-08,6.788996032014438e-10
1851,5.740000674769874e-08,0.0
1852,5.664174396180499e-08,0.0
1853,4.4789487452234766e-08,2.388772735173461e-09
1854,4.000661490977109e-08,1.0391328908454511e-09
1855,7.164364745904095e-08,0.0
1856,7.558696396570141e-08,0.0
1857,5.8089959509288747e-08,2.9289055625270066e-09
1858,5.9213480341213653e-08,2.936205500958522e-09
1859,5.906921174414492e-08,7.638259802433822e-09
1860,3.570203332969868e-08,4.577183909670879e-10
1861,2.782418562219391e-08,4.715963730639317e-10
1862,3.4336697041226216e-08,4.517986429419807e-09
1863,2.7470414054597825e-08,3.995696662428827e-09
1864,4.650886253898534e-08,1.4384183844029508e-09
1865,2.7770381161307256e-08,5.6482132304580546e-09
1866,5.1575497039824114e-08,3.8924903300596725e-09
1867,5.046923945428716e-08,4.85281148598915e-09
1868,3.7049054490978506e-08,3.951899252285784e-09
1869,7.374114119329533e-08,2.4417595723136287e-09
1870,4.4152177025580386e-08,1.7202146374017957e-09
1871,3.504988654867702e-08,1.0621177271019633e-09
1872,3.0236694925633856e-08,7.861540751719076e-09
1873,4.908523754121319e-08,5.9860045809045914e-09
1874,3.7042575229406793e-08,2.3898436563030145e-09
1875,3.375700907692902e-08,3.432916173551348e-09
1876,2.3579458385825092e-08,1.813804439976252e-09
1877,3.401648740464225e-08,5.566334504436554e-09
1878,4.166971123709118e-08,1.8117266020745149e-09
1879,2.077170613290491e-08,4.887460214320072e-09
1880,4.171599954361227e-08,1.2835692508872398e-09
1881,1.8128519130300447e-08,0.0
1882,1.6638463051776853e-08,6.655385131892899e-10
1883,4.1707636455612374e-08,0.0
1884,3.300848305798354e-08,1.9805090900604227e-09
1885,3.0939052209078e-08,2.5782542767416317e-09
