year,deux_DET offres_NOUN,deux_DET coffres_NOUN
1800,3.144164484325529e-09,5.0306631749208464e-08
1801,4.7623651688866175e-09,4.7623650800687756e-08
1802,0.0,2.4616241489638924e-08
1803,1.950339223455444e-09,3.1205427575287104e-08
1804,0.0,0.0
1805,0.0,5.685755422035754e-09
1806,1.152667650217154e-08,6.339671898558663e-08
1807,5.693910232196231e-09,6.547996633798903e-08
1808,0.0,1.3596443970698147e-08
1809,2.259030518203531e-09,2.4849335034105025e-08
1810,0.0,5.148278958699848e-08
1811,0.0,9.777599530025327e-08
1812,2.6672082320544632e-09,3.467370746079723e-08
1813,0.0,6.901780125190271e-08
1814,0.0,5.349351184236184e-08
1815,0.0,1.726223075593225e-07
1816,1.1588019432906549e-08,2.7811246638975717e-08
1817,0.0,2.3353101674672416e-08
1818,0.0,2.026600220972341e-08
1819,2.2772310259711048e-08,4.0369095621883844e-08
1820,0.0,2.610625848831205e-08
1821,9.86148829262845e-10,5.127973856655643e-08
1822,1.0025615893027862e-09,3.60922172149003e-08
1823,6.917880934764753e-09,7.708495530778237e-08
1824,7.57900142644985e-09,4.884245186076441e-08
1825,7.924898959288385e-09,7.484626252107773e-08
1826,3.5231937367541377e-09,1.356429589760566e-07
1827,1.8434546111834038e-09,4.147772969531616e-08
1828,9.172301251858528e-10,4.4027045675854026e-08
1829,2.4004892296147773e-08,5.0581739019506244e-08
1830,7.305785310052215e-09,6.470838087579978e-08
1831,3.1182412207897414e-09,2.494592887813951e-08
1832,5.411987746839486e-09,2.976593194148336e-08
1833,0.0,6.950177322551099e-08
1834,0.0,2.333632664885954e-08
1835,5.294161553592858e-09,6.579886502322552e-08
1836,1.5457725766054864e-08,8.871390377862554e-08
1837,0.0,4.1051556820548285e-08
1838,8.2058102535143e-09,8.016445707248465e-08
1839,1.3982950353153e-09,1.2374911051438175e-07
1840,1.2102408852854296e-08,4.649872664685972e-08
1841,0.0,6.356342874269671e-08
1842,0.0,8.117000982466038e-08
1843,5.906910960362666e-09,6.497602478283682e-08
1844,6.586273526565378e-09,8.671926754466597e-08
1845,0.0,3.850357155332773e-08
1846,0.0,8.430481823751279e-08
1847,0.0,4.36851115281911e-08
1848,8.045221711050488e-10,8.125674255676785e-08
1849,0.0,4.189707314417035e-08
1850,1.3577992064028876e-09,4.955967014552698e-08
