year,pas_ADV ouverte_ADJ,pas_ADV couverte_ADJ
1800,1.8864987794131594e-08,5.973912209356058e-08
1801,3.333655484993869e-08,1.4287095950749062e-08
1802,5.594600338554301e-08,3.5805442166747525e-08
1803,6.046051481689574e-08,1.3652374342143503e-08
1804,4.69651695311768e-08,2.7190360185613827e-08
1805,3.354595605742361e-07,3.695740957709859e-08
1806,4.610670600868616e-08,1.7001848107156547e-07
1807,8.825561081948763e-08,5.693910054560547e-08
1808,8.611080914988634e-08,5.6651849433819734e-08
1809,8.810219043198231e-08,2.4849335034105025e-08
1810,1.4040760731859336e-07,3.978215445954447e-08
1811,4.763445815569867e-08,5.264861258069686e-08
1812,6.401299401659344e-08,6.934741492159446e-08
1813,5.176335093892703e-08,4.888760685162197e-08
1814,3.776012391654149e-08,1.8880061958270744e-08
1815,8.361393355471591e-08,5.394447111228828e-09
1816,9.502176112619054e-08,1.1588019432906549e-08
1817,3.580808893843823e-08,2.490997452753163e-08
1818,5.6029534789558966e-08,2.741870730460505e-08
1819,4.45095160728215e-08,3.415846450138815e-08
1820,8.42520151422832e-08,1.4239777357261119e-08
1821,3.0570614484304315e-08,2.465372084259343e-08
1822,4.210758675071702e-08,3.0076847679083585e-08
1823,6.324919610278812e-08,6.917880934764753e-09
1824,5.9789897477458e-08,5.3895121254754486e-08
1825,1.1094858365368054e-07,3.610231757988913e-08
1826,8.367585024871005e-08,2.1139161532346407e-08
1827,1.1890282536342056e-07,4.055600300034712e-08
1828,8.346793833879929e-08,7.613009955775851e-08
1829,1.1488055662312036e-07,4.372319750700626e-08
1830,9.497520636614354e-08,3.339787468803479e-08
1831,7.795603096383275e-08,3.741889287312006e-08
1832,8.794479811058409e-08,6.629684889958298e-08
1833,5.444305273272221e-08,4.170106393530659e-08
1834,1.344172488870754e-07,3.733812548034621e-08
1835,8.621920244422654e-08,3.554651328840919e-08
1836,6.85516496901073e-08,3.024337402735e-08
1837,9.810626266926192e-08,2.0873672568200163e-08
1838,1.2876810728812416e-07,3.28232410140572e-08
1839,1.1885507689157748e-07,7.830452375401364e-08
1840,1.0318895959926522e-07,5.286841542329057e-08
1841,1.2327453191574023e-07,6.613164771351876e-08
1842,7.915753030829364e-08,3.287049921141261e-08
1843,1.0514301607145171e-07,2.4218335781256428e-08
1844,1.4654457913820806e-07,4.720162749549672e-08
1845,1.8303147442111367e-07,3.124927516751086e-08
1846,1.2118817949158256e-07,3.5127008857216424e-08
