year,mieux_ADV ouverte_ADJ,mieux_ADV couverte_ADJ
1800,0.0,3.458580977167003e-08
1801,0.0,2.3811825400343878e-08
1802,0.0,4.475680270843441e-09
1803,0.0,2.3404069793286908e-08
1804,0.0,9.887403784603066e-09
1805,0.0,1.9900143755080535e-08
1806,0.0,0.0
1807,0.0,2.8469551160981155e-09
1808,0.0,9.064295980465431e-09
1809,0.0,0.0
1810,0.0,2.3401267590372754e-09
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,1.8880564667256294e-08
1816,0.0,6.952811659743929e-09
1817,3.113746815941454e-09,2.9580593974287694e-08
1818,4.768470951432846e-09,1.1921177378582115e-09
1819,6.210630232317271e-09,1.035105001712111e-09
1820,1.542642635854463e-08,1.1866481131050932e-09
1821,0.0,9.86148829262845e-10
1822,3.208197085768916e-08,0.0
1823,6.917880934764753e-09,0.0
1824,0.0,0.0
1825,0.0,7.044354433105582e-09
1826,1.7615968683770689e-09,9.688783109140786e-09
1827,0.0,9.217273055917019e-10
1828,0.0,1.8344602503717056e-09
1829,0.0,6.001223074036943e-09
1830,9.39315203396518e-09,1.0436835840010872e-09
1831,0.0,1.2472964883158966e-08
1832,0.0,5.411987746839486e-09
1833,4.6334514003376626e-09,1.1583628500844156e-09
1834,0.0,0.0
1835,7.563087933704082e-10,9.832014313815307e-09
1836,2.688300027031687e-09,1.008112526790228e-08
1837,6.957890930081589e-10,2.7831563720326358e-09
1838,0.0,5.680945491803868e-09
1839,4.194885327990505e-09,2.0974426639952526e-09
1840,0.0,3.821813088222825e-09
1841,3.2102742686390684e-09,1.219904177673925e-08
1842,0.0,5.366612043644636e-09
1843,6.497602011990011e-09,2.3627644285539873e-09
1844,1.6465684371524958e-09,1.0977122322231025e-08
1845,0.0,3.9061593959388574e-09
1846,1.1709002656346001e-09,7.610851504580296e-09
1847,0.0,3.775256551818984e-09
1848,7.24069959545659e-09,7.24069959545659e-09
1849,1.6758829879393033e-09,1.6758829879393033e-09
1850,0.0,1.1541293254424545e-08
1851,2.579775504329973e-09,4.514607354622058e-09
1852,7.161600201754936e-09,4.557382027314816e-09
1853,0.0,1.7915795513800958e-09
1854,4.676098175337984e-09,3.117398783558656e-09
1855,0.0,5.837630823180007e-09
1856,7.248064815001953e-09,2.5885946719483854e-09
1857,0.0,3.4170564155999728e-09
1858,0.0,6.361778659424999e-09
1859,2.5460866748261424e-09,3.5645213447565993e-09
1860,0.0,5.950338888283113e-09
1861,0.0,1.4147891747029462e-09
1862,3.6143890103090826e-09,9.487771457372673e-09
1863,4.994620828036034e-10,1.2986014041871385e-08
1864,6.712618905169165e-09,8.151037178549814e-09
1865,0.0,3.765475486972036e-09
1866,0.0,9.731225603104576e-09
1867,0.0,4.367530337390235e-09
1868,0.0,7.903798504571569e-09
1869,5.860222973552709e-09,4.883519144627257e-10
1870,0.0,2.2936195165357276e-09
1871,0.0,3.18635318130589e-09
1872,0.0,2.4189357183956872e-09
1873,0.0,1.7958012854535355e-09
1874,0.0,2.3898436563030145e-09
1875,5.721527140956084e-10,1.716458086775674e-09
1876,6.04601479992084e-09,1.0278225381910033e-08
1877,6.184816214727107e-09,4.329371083855449e-09
1878,1.8117265465633636e-09,9.058632954861423e-09
1879,0.0,1.221865053580018e-09
1880,0.0,7.059631101924424e-09
1881,0.0,2.091752326904839e-09
1882,0.0,1.5307385581309063e-08
1883,1.2638677882037541e-09,7.58320695126713e-09
1884,0.0,5.941527270181268e-09
1885,0.0,1.933690763067375e-09
1886,6.453463874400711e-10,5.162771099520569e-09
1887,2.6115698492645834e-09,6.528924623161458e-10
1888,0.0,6.974675947901687e-09
1889,5.012109394186837e-09,4.385595886446936e-09
1890,0.0,3.2771931834929546e-09
1891,0.0,2.5496880162734215e-09
1892,0.0,6.268512375839919e-10
1893,0.0,1.847525021858587e-09
1894,1.2603078580752936e-09,1.2603078580752936e-09
1895,3.0093072478365457e-09,6.018614495673091e-10
1896,5.89702897624278e-10,1.179405795248556e-09
1897,0.0,0.0
1898,5.092519295146758e-09,3.3950129374460403e-09
1899,4.9748205555033564e-09,6.080336234504102e-09
1900,3.114631885736685e-09,1.5573159428683425e-09
1901,0.0,3.353243460679778e-09
1902,4.419255628107521e-09,9.820567692386817e-10
1903,0.0,1.0800440541913758e-09
1904,0.0,1.0749250378694342e-09
1905,0.0,5.160759042333041e-10
