year,des_DET âges_NOUN,des_DET ages_NOUN,des_DET cages_NOUN
1800,3.175606018146482e-07,2.829747991484055e-08,3.8358805909410876e-07
1801,2.0001933620505952e-07,0.0,2.905042890688492e-07
1802,2.1483265300048515e-07,0.0,2.953948978756671e-07
1803,2.827991831821919e-07,7.801356893821776e-09,5.558466682487051e-07
1804,2.916784183071286e-07,4.943701892301533e-09,2.2741028260497842e-07
1805,2.1037294750669844e-07,8.528632911009026e-09,5.25932364325854e-07
1806,3.4003695859041727e-07,0.0,2.074801761509093e-07
1807,1.7935816742919997e-07,5.693910232196231e-09,2.5053205376934784e-07
1808,2.243413206315381e-07,2.2660739951163578e-09,2.787271000670444e-07
1809,1.874995396722312e-07,0.0,2.7560173521123943e-07
1810,2.129515372928381e-07,0.0,2.0827128821565566e-07
1811,2.381722890021365e-07,0.0,3.3093414231188945e-07
1812,3.440698632672934e-07,5.3344164641089264e-09,1.5736529235255148e-07
1813,2.933256553205865e-07,0.0,1.35159851311073e-07
1814,2.0453401816666883e-07,0.0,2.391474538399052e-07
1815,2.7781401268356376e-07,8.091670444798638e-09,2.400528842372296e-07
1816,4.1253348825875946e-07,9.270415546325239e-09,3.916750586085982e-07
1817,4.919719917007015e-07,3.113746815941454e-09,3.3161404644488357e-07
1818,3.516747337783954e-07,0.0,2.873003666081786e-07
1819,1.8631890696951814e-07,3.105315005136333e-09,1.914944226522053e-07
1820,2.2427649515321946e-07,1.1866481131050932e-09,2.2546313971361087e-07
1821,2.642878911274238e-07,5.9168929755770705e-09,1.5088076565916708e-07
1822,3.0076847679083585e-07,5.012807946513931e-09,1.4637399203820678e-07
1823,2.520085287116558e-07,9.882686891060644e-10,2.3125487302877445e-07
1824,2.467386028826013e-07,1.6000114122505238e-08,2.1894892654472642e-07
1825,4.0152820579564263e-07,0.0,2.3510533253556787e-07
1826,2.686435358612016e-07,1.7615968683770689e-09,2.6159713684137387e-07
1827,2.9126583012129004e-07,6.452091139141913e-09,1.6591091878126463e-07
1828,3.558852768037468e-07,5.503380751115117e-09,2.7792071932708495e-07
1829,3.6435998440609296e-07,6.001223296081548e-09,1.6546229630876041e-07
1830,3.266729482476194e-07,8.349468894053302e-09,2.3378512992167089e-07
1831,3.3365182083855416e-07,4.677361831184612e-09,3.3832915846687683e-07
1832,3.5177920232332127e-07,2.705993873419743e-09,2.4759844152733024e-07
1833,4.4133624044206954e-07,1.50587168290528e-08,3.3360851148245274e-07
1834,4.648596432232921e-07,1.4001796166951408e-08,2.6230031724416847e-07
1835,3.335321636654953e-07,5.294161553592858e-09,2.533634528845141e-07
1836,2.6748584325275715e-07,8.064900081095061e-09,2.3186588293810928e-07
1837,3.6250612289734363e-07,3.478945576063097e-09,2.6718301793238197e-07
1838,3.18764162177132e-07,1.0730675015224733e-08,3.0740229806092145e-07
1839,3.523703604457751e-07,9.78806569129631e-09,2.5099396339101077e-07
1840,3.216692761043305e-07,4.45878195476368e-09,2.0000823042209959e-07
1841,2.959872906771466e-07,3.852329122366882e-09,2.0032111036627498e-07
1842,2.321059748844334e-07,2.0124795163667386e-09,2.2271440025534162e-07
1843,3.9340026725120936e-07,1.1813822142769936e-09,2.652203012765142e-07
1844,2.5631581213048094e-07,1.0977122766320235e-08,2.612555078940204e-07
1845,3.242112533996533e-07,7.81231901392232e-09,2.516682813258342e-07
1846,2.657943625195003e-07,4.0981509297211005e-09,3.184848651471839e-07
1847,2.944699986073829e-07,2.6966118227278457e-09,2.52402876377289e-07
1848,3.8938873714311484e-07,1.2872354626658478e-08,2.0434863756690902e-07
1849,4.2399840882723083e-07,8.379414939696517e-09,1.2066357557571905e-07
1850,2.9871581475049425e-07,9.504594444820214e-09,1.9484419055970648e-07
1851,3.250517224273608e-07,3.8696632564949596e-09,2.4056406933148367e-07
1852,4.140706788557935e-07,1.9531636308300904e-09,2.0052479854371086e-07
1853,3.6906537914660476e-07,7.166318205520383e-09,3.0874886269849355e-07
1854,3.746073944377315e-07,7.793496625829732e-09,2.6497887906096196e-07
1855,4.2614705364485417e-07,5.837630823180007e-09,2.62693390595814e-07
1856,3.240920398717151e-07,6.212627079449362e-09,2.728378660776798e-07
1857,3.2510851433187327e-07,9.76301828270465e-09,2.4456359615232515e-07
1858,3.1025905933290687e-07,3.9149408159744326e-09,2.7159902060702734e-07
1859,3.3048206304897576e-07,2.5460866748261424e-09,2.403505847681231e-07
1860,4.2979756376126943e-07,1.098524138321011e-08,2.650189420694282e-07
1861,3.4285055017235777e-07,8.488734604128467e-09,3.01350078224516e-07
1862,3.835770244764447e-07,3.162590467287174e-09,2.0782736287472403e-07
1863,3.241508897966483e-07,4.495158911765884e-09,2.3224987555359178e-07
1864,4.5406074455911494e-07,8.63051052846231e-09,2.4453111668876204e-07
1865,4.2596942773087676e-07,6.589582213223366e-09,2.4193178660425474e-07
1866,3.712462679494877e-07,3.8924903300596725e-09,2.1749290246564357e-07
1867,4.624729292856955e-07,5.338092634588065e-09,2.935951055604846e-07
1868,3.986478418482875e-07,7.409810987013543e-09,2.721870711042129e-07
1869,4.0728549510760104e-07,1.3673853382911716e-08,2.529663039041452e-07
1870,4.4553559774840323e-07,1.4335121978348297e-08,2.4771091489128594e-07
1871,3.621821509369738e-07,1.3807530674370128e-08,2.442870843388789e-07
1872,4.4871257975920287e-07,7.861540973763681e-09,2.2314682346369352e-07
1873,4.830705586655881e-07,1.0176207598799891e-08,2.909198157929893e-07
1874,3.6385369295288683e-07,8.364452408482492e-09,2.7303962779612334e-07
1875,3.432916315659895e-07,9.154443536552037e-09,2.5117503366089977e-07
1876,3.9117715733283376e-07,1.3301232559825849e-08,2.4546820243109835e-07
1877,3.469681831846927e-07,6.80329748092845e-09,3.21610418740903e-07
1878,2.711550890488468e-07,7.246906463809211e-09,2.300892769646623e-07
1879,3.683923210928697e-07,1.3440515811424802e-08,2.358199568952557e-07
1880,2.868777224662722e-07,4.492492378105339e-09,2.2911711616835362e-07
1881,3.806989061772015e-07,6.972507737845746e-09,2.7471678665236254e-07
1882,3.8601234564339393e-07,1.0648616211028639e-08,2.981612681196566e-07
1883,3.090156823759571e-07,9.479008467039307e-09,2.679399804250693e-07
1884,2.9245518362586154e-07,9.242375753615306e-09,3.06318752585355e-07
1885,3.551545315616522e-07,4.511944928786704e-09,2.4300046108649553e-07
1886,2.9298726733628655e-07,6.453463763378409e-09,2.7169084093614515e-07
1887,3.009834221856522e-07,3.2644623670918804e-09,2.8074375624242975e-07
1888,2.929364084636177e-07,6.34061447790657e-09,2.9166828596771666e-07
1889,3.3455829218098643e-07,5.012109283164534e-09,2.3807519999863302e-07
1890,2.7659509638233715e-07,3.932631886804927e-09,2.65452659853338e-07
1891,2.9576381299634136e-07,5.099376032546843e-09,3.199858322755489e-07
1892,2.676654853317473e-07,1.1283322276511853e-08,2.996349053319136e-07
1893,3.362495424319434e-07,9.237624998270633e-09,2.4633666884099625e-07
1894,2.659249460634783e-07,6.301539290376468e-09,3.33981582834042e-07
1895,3.189865669384062e-07,7.824199066419624e-09,2.7926372192510485e-07
1896,3.3731006898740645e-07,5.897029087265082e-09,2.795191748061754e-07
1897,2.9716237870403006e-07,9.322741911788057e-09,2.540447086030184e-07
1898,3.4006713267586974e-07,6.790025763869778e-09,2.500992914988842e-07
1899,3.211522976442893e-07,7.738609753005221e-09,3.078861059435667e-07
1900,3.1976888603679754e-07,1.1420316803345543e-08,3.259981260494982e-07
1901,3.302944586724976e-07,8.941982154730965e-09,2.8223130543736374e-07
1902,2.2439996483214486e-07,1.0311596132517309e-08,3.353723777022033e-07
1903,3.2671333904943367e-07,1.1880484818149739e-08,3.0727252120499315e-07
1904,3.4720078723182723e-07,6.449550227216605e-09,2.8646751637495527e-07
1905,3.4731907172513843e-07,9.289366387221776e-09,3.0242047310835574e-07
1906,3.786119856519221e-07,1.7490227210981146e-08,3.5031896850057365e-07
