year,seules_ADJ ouvertures_NOUN,seules_ADJ couvertures_NOUN
1800,3.144164484325529e-09,9.432493897065797e-09
1801,0.0,2.3811825844433088e-09
1802,4.475680270843441e-09,4.475680270843441e-09
1803,0.0,5.851017448321727e-09
1804,1.9774807569206132e-08,1.4831105232815389e-08
1805,2.842877711017877e-09,2.842877711017877e-09
1806,0.0,2.881669125542885e-09
1807,0.0,0.0
1808,1.3596443970698147e-08,2.2660739951163578e-09
1809,2.259030518203531e-09,0.0
1810,2.3401267590372754e-09,0.0
1811,1.504245972228091e-08,2.5070767684098882e-09
1812,3.467370746079723e-08,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,1.2454987263765815e-08,2.490997452753163e-08
1818,4.768470951432846e-09,3.5763532135746345e-09
1819,2.173720581311045e-08,0.0
1820,0.0,0.0
1821,6.903041693817613e-09,0.0
1822,2.0051231786055723e-09,1.0025615893027862e-09
1823,1.1859224713361982e-08,0.0
1824,1.8526447931321854e-08,0.0
1825,1.937197424695114e-08,8.805443041381977e-10
1826,1.2331177856594877e-08,0.0
1827,2.3964910056406552e-08,5.530363722527909e-09
1828,2.0179061976932644e-08,3.668920500743411e-09
1829,1.5431716349212365e-08,0.0
1830,1.878630406793036e-08,1.3567886369969528e-08
1831,1.091384405071949e-08,0.0
1832,5.411987746839486e-09,0.0
1833,9.266902800675325e-09,0.0
1834,5.600718555598405e-09,9.334530925997342e-10
1835,7.563087933704082e-09,6.050470346963266e-09
1836,9.409050427677812e-09,2.016224964762614e-09
1837,1.1132625488130543e-08,1.3915781860163179e-09
1838,2.019891809368346e-08,1.2624323808552163e-09
1839,1.4682098203877558e-08,2.7965900706306e-09
1840,2.293087852933695e-08,0.0
1841,1.5409316489467528e-08,1.2841097074556274e-09
1842,1.2745703159566801e-08,0.0
1843,1.594865928211675e-08,0.0
1844,1.2623690537338916e-08,2.7442805805577564e-09
1845,1.6182660544927785e-08,0.0
1846,3.5127007969038004e-09,5.854501328173001e-10
1847,3.775256551818984e-09,0.0
1848,1.6090443422100975e-09,1.6090443422100975e-09
1849,8.379414495607307e-09,7.54147322368226e-09
1850,3.394498016007219e-09,2.0366988096043315e-09
1851,1.9348316282474798e-09,0.0
1852,3.190167419120371e-08,0.0
1853,1.851298847554972e-08,5.971931837933653e-10
1854,1.558699302961486e-08,1.558699391779328e-09
1855,4.2455496895854594e-09,1.0613874223963649e-09
1856,4.141751386299575e-09,5.177189232874468e-10
1857,1.8549734193129552e-08,0.0
1858,8.808616946964776e-09,0.0
1859,5.092173349652285e-09,0.0
1860,4.57718396518203e-09,0.0
1861,4.2443675241088386e-09,0.0
1862,1.7168348520613108e-08,0.0
1863,1.4983863039219614e-08,4.994620828036034e-10
1864,1.3904711160250827e-08,0.0
1865,1.882737743486018e-09,0.0
1866,5.352174259343201e-09,0.0
1867,1.9896527092555516e-08,0.0
1868,6.421836395986702e-09,4.44588676984381e-09
1869,8.790334682373668e-09,0.0
1870,2.2936195165357276e-09,0.0
1871,1.274541272522356e-08,0.0
1872,6.047339518033823e-09,0.0
1873,4.788803575905831e-09,0.0
1874,9.559374625212058e-09,0.0
1875,1.6592428764283795e-08,5.721527140956084e-10
1876,1.1487427897804992e-08,6.04601479992084e-10
1877,6.80329748092845e-09,0.0
1878,7.850815109122777e-09,0.0
1879,3.665595160740054e-09,0.0
1880,1.1552122813895949e-08,0.0
1881,4.8807553554297556e-09,0.0
1882,2.5290463057103807e-08,0.0
1883,6.951272890631799e-09,0.0
1884,9.242375753615306e-09,6.601696966868076e-10
1885,8.379326565943757e-09,0.0
1886,4.5174246565693466e-09,0.0
1887,6.528924512139156e-09,0.0
1888,7.60873763994141e-09,1.9021844099853524e-09
1889,2.5060546970934183e-09,0.0
1890,7.209825181320184e-09,0.0
1891,5.099376032546843e-09,0.0
1892,6.268512375839919e-09,0.0
1893,5.542574843531156e-09,0.0
1894,2.520615716150587e-08,0.0
1895,7.22233739480771e-09,0.0
1896,1.0024948871034667e-08,0.0
1897,1.3984112534615178e-08,0.0
