year,grands_ADJ arts_NOUN,grands_ADJ quarts_NOUN
1800,9.432493897065797e-09,6.288328968651058e-09
1801,1.904946067554647e-08,3.333655484993869e-08
1802,2.0140561218795483e-08,2.0140561218795483e-08
1803,1.950339223455444e-09,0.0
1804,1.9774807569206132e-08,2.2246657849223084e-08
1805,2.842877711017877e-09,5.685755422035754e-09
1806,0.0,2.881669125542885e-09
1807,0.0,3.4163463169534225e-08
1808,6.798221985349073e-09,2.4926814390369145e-08
1809,2.259030518203531e-09,1.8072244145628247e-08
1810,0.0,5.8503168531842675e-08
1811,2.5070767684098882e-09,3.008491944456182e-08
1812,1.0668832484128643e-08,4.800974906515876e-08
1813,1.150296680130225e-08,4.601186631703058e-08
1814,3.1466771410748606e-09,1.4789382873914292e-07
1815,2.697223555614414e-09,2.697223555614414e-09
1816,0.0,2.3176038865813098e-08
1817,0.0,9.341240669868967e-09
1818,3.5763532135746345e-09,1.9073883805731384e-08
1819,7.245735234029382e-09,1.449147024601416e-08
1820,0.0,2.3732962262101864e-08
1821,2.7612166775270452e-08,8.875339574387908e-09
1822,0.0,1.804610860745015e-08
1823,6.917880934764753e-09,6.226093063332883e-08
1824,8.421112696055388e-10,1.0947446504872005e-08
1825,8.805443041381977e-10,4.3146670236637874e-08
1826,0.0,1.2331177856594877e-08
1827,2.1199728195142598e-08,6.267745789045875e-08
1828,2.2013523448549677e-08,2.7516904310687096e-08
1829,1.714635211591542e-09,1.0287811491593857e-08
1830,1.3567886369969528e-08,2.0873671680021744e-09
1831,1.091384405071949e-08,2.8064171431196883e-08
1832,1.3529969367098715e-09,4.19429042608499e-08
1833,5.560141858040879e-08,1.3900354645102198e-08
1834,3.9205030333278046e-08,3.733812370398937e-09
1835,1.8151411040889798e-08,2.193295500774184e-08
1836,2.2178475944656384e-08,2.6210924986003192e-08
1837,4.383471363667013e-08,1.0436836284100082e-08
1838,2.7142295522253335e-08,5.049729523420865e-09
1839,3.0063343814390464e-08,1.1885507689157748e-08
1840,5.987507023519356e-08,7.0066574764382494e-09
1841,4.044945711711989e-08,1.733548060656176e-08
1842,5.1653639587811995e-08,1.0733224087289273e-08
1843,4.3120451209688326e-08,1.1223130869097986e-08
1844,3.1833653935109396e-08,2.195424508855126e-09
1845,7.812318791877715e-09,3.9061593959388574e-09
1846,1.5221703009160592e-08,1.1709002656346001e-08
1847,1.941560512364049e-08,8.089835468183537e-09
1848,9.65426583121598e-09,2.413566457803995e-09
1849,2.513824526317876e-08,5.02764896381791e-09
1850,8.146795238417326e-09,6.788996032014438e-09
1851,2.4507867735223954e-08,6.449438760824933e-09
1852,1.3021090872200602e-08,4.557382027314816e-09
1853,2.09017620989016e-08,2.388772735173461e-09
1854,3.117398605922972e-08,1.0391328686409906e-08
1855,1.9104973603134567e-08,1.4328730202350926e-08
1856,2.019103817474388e-08,1.6049286344355096e-08
1857,1.0739319655783675e-08,1.1715622250108026e-08
1858,2.300027723833864e-08,4.404308473482388e-09
1859,3.208069188076479e-08,2.5460867192350634e-08
1860,2.471679233506663e-08,6.865775947773045e-09
