year,aux_ADP âges_NOUN,aux_ADP ages_NOUN,aux_ADP cages_NOUN
1800,2.0122652699683385e-07,3.144164484325529e-09,3.144164484325529e-09
1801,1.6668277891263017e-07,2.3811825844433088e-09,9.524730337773235e-09
1802,1.991677720525331e-07,4.475680270843441e-09,2.9091921760482364e-08
1803,2.691468239390815e-07,3.900678446910888e-09,1.950339223455444e-09
1804,2.2988213288499537e-07,1.2359254952798437e-08,4.943701892301533e-09
1805,2.4448747915073454e-07,0.0,1.9900143755080535e-08
1806,2.5935023018064385e-07,2.881669125542885e-09,2.881669125542885e-09
1807,1.9074599766355504e-07,0.0,0.0
1808,2.311395519427606e-07,2.2660739951163578e-09,0.0
1809,1.6942729530455836e-07,6.7770917766551975e-09,4.518061036407062e-09
1810,2.5507381451461697e-07,0.0,0.0
1811,1.9555199060050654e-07,2.5070767684098882e-09,5.264861258069686e-08
1812,1.3336041604361526e-07,8.00162469616339e-09,8.00162425207418e-09
1813,2.3005932803243923e-07,1.1502966579257645e-08,1.7254450312975678e-08
1814,3.3354777428939997e-07,9.440030979135372e-09,3.1466771410748606e-09
1815,2.939973740012647e-07,0.0,3.776112933451259e-08
1816,4.843791998609959e-07,0.0,0.0
1817,2.942490830992739e-07,1.556873407970727e-09,7.784366928831332e-09
1818,1.9073883095188648e-07,2.384235475716423e-09,3.9339884239097955e-08
1819,2.5360071731483913e-07,3.105315005136333e-09,2.070209959015301e-08
1820,3.061552149574709e-07,1.1866481131050932e-09,2.4919611263385377e-08
1821,4.4278081645643397e-07,9.861488070583846e-09,1.97229765852569e-09
1822,3.18814585398286e-07,4.010246357211145e-09,1.9048670196752937e-08
1823,3.033984796729783e-07,2.9648061783404955e-09,2.2730180404550993e-08
1824,2.509491467961311e-07,1.6842225392110777e-09,2.5263338088166165e-09
1825,3.786340414535516e-07,7.044354655150187e-09,2.641632912414593e-09
1826,2.968290777616289e-07,8.807984341885344e-10,2.3781558056157337e-08
1827,2.8297027898638305e-07,4.608636583469661e-09,7.373818444733615e-09
1828,2.7608625430275424e-07,4.586150570418113e-09,5.503380862137419e-09
1829,2.8977333954571804e-07,1.628903412154159e-08,3.429270423183084e-09
1830,4.23735525778568e-07,1.6698936899928185e-08,1.982998831806526e-08
1831,2.1671776551102084e-07,1.5591206103948707e-09,4.5214498811674275e-08
1832,4.3160601137515187e-07,0.0,4.058990654698391e-08
1833,4.7377039891216555e-07,9.266902467608418e-09,1.3900354645102198e-08
1834,3.173740541484449e-07,1.8669061851994684e-09,1.213489042584115e-08
1835,3.9781843952368945e-07,3.025235173481633e-09,8.31939672707449e-09
1836,4.213910291817058e-07,4.032449985036379e-09,1.2769424795333606e-08
1837,2.8736090484926535e-07,4.174734669071256e-09,2.1569462660409044e-08
1838,3.2128903160177913e-07,2.5248647617104325e-09,2.0830134062066463e-08
1839,3.2230699575919175e-07,2.0974426639952526e-09,2.027527834513876e-08
1840,4.0829705055811516e-07,2.5478754661634184e-09,8.280594876453051e-09
1841,4.783308549249909e-07,8.988767952189392e-09,2.953452238330101e-08
1842,3.944459776583642e-07,1.0062397581833693e-08,1.475818312002275e-08
1843,4.6723666224934846e-07,4.7255288571079745e-09,1.4767278067040479e-08
1844,3.6444047024630777e-07,1.6465683816413446e-09,1.3172547497219966e-08
1845,2.9519405586597713e-07,2.2320912340667576e-09,4.464182357111213e-09
1846,3.7585898526870665e-07,4.6836010625384006e-09,1.5807152919933287e-08
1847,3.111890043427934e-07,3.235934187273415e-09,3.235934187273415e-09
1848,3.6525307933743534e-07,4.8271330266302925e-09,1.367687652020777e-08
1849,3.603148508446452e-07,5.027648741773305e-09,1.005529792763582e-08
1850,3.951195681750619e-07,1.1541293254424545e-08,1.0862393651223101e-08
1851,3.8696631565748874e-07,4.514607132577453e-09,9.674158363282004e-09
1852,3.834711153061221e-07,3.2552727180501506e-09,1.2370036550635177e-08
1853,3.565243185121858e-07,8.360704573107114e-09,3.3442816516071616e-08
1854,3.901944118922529e-07,9.871762740587542e-09,2.4419623656513068e-08
1855,4.2667774735605235e-07,1.3798036491152743e-08,8.491099379170919e-09
1856,3.9553726494112595e-07,9.836659264905734e-09,8.749449875722348e-08
1857,4.969376092844868e-07,5.369659994425291e-09,3.270611159678083e-08
1858,4.810483464900983e-07,4.893676130990343e-09,5.872411001917044e-09
1859,5.143095309634305e-07,6.110608019582742e-09,3.208069188076479e-08
1860,4.2018548818134605e-07,4.577183854159728e-09,1.0069804545764782e-08
1861,4.206639623305364e-07,6.602349389428497e-09,3.301174444914068e-08
1862,4.337266760190417e-07,9.487771346350371e-09,1.8071945717679228e-08
1863,4.869755190206604e-07,1.0488703905409125e-08,2.2475793948206757e-08
1864,5.485168612651137e-07,1.1027874391444925e-08,2.589153069720851e-08
1865,5.186942644286319e-07,5.177528739075399e-09,1.7415324293779122e-08
1866,6.082016126285339e-07,1.4645495438614375e-07,1.2650593461671633e-08
1867,5.289564555255311e-07,6.79393608038481e-09,2.814630661873707e-08
1868,5.661095769937674e-07,1.333765986544222e-08,1.778354707937524e-08
1869,7.173889535749822e-07,1.4162205408396744e-08,1.70923168951731e-08
