year,les_DET offres_NOUN,les_DET coffres_NOUN
1800,1.7733088100158056e-06,1.0595834112336888e-06
1801,1.916851992689317e-06,8.929434756055343e-07
1802,2.2288887180366146e-06,1.0696875847315823e-06
1803,2.342357333873224e-06,1.263819857655335e-06
1804,3.146666330167136e-06,8.626759715468779e-07
1805,2.973649998239125e-06,1.1087223228400944e-06
1806,3.6654830779525582e-06,5.965055009937714e-07
1807,4.640536758415692e-06,6.291770553445986e-07
1808,3.4670932507196994e-06,8.973652825261524e-07
1809,3.54667780300133e-06,8.697267528390284e-07
1810,3.2551162973959435e-06,5.241884046824907e-07
1811,3.08621143574328e-06,6.894461179740574e-07
1812,3.203317035627151e-06,6.588004097807243e-07
1813,3.2409609360684044e-06,8.109591647098569e-07
1814,2.426087988283143e-06,8.810696030536747e-07
1815,3.080229220131514e-06,1.0249449493571205e-06
1816,2.35468557718832e-06,6.813755515366893e-07
1817,2.4038125019387735e-06,8.811903455807624e-07
1818,2.3508560786922317e-06,9.918419507926046e-07
1819,3.3703018686992436e-06,1.1096325565063125e-06
1820,3.4638257346841783e-06,9.74238112405601e-07
1821,3.62015239829816e-06,8.648525362531245e-07
1822,3.318478960068205e-06,1.262225083564772e-06
1823,3.536025474204507e-06,1.1750514801178724e-06
1824,4.2046616073321275e-06,7.84847728141358e-07
1825,3.248327864469047e-06,9.641960012629625e-07
1826,3.57163767006341e-06,1.6356426897345955e-06
1827,4.062974056751045e-06,1.1705937055239701e-06
1828,3.760643593864188e-06,1.0759109585478654e-06
1829,3.3255348768079784e-06,1.137660419203712e-06
1830,3.108089771330924e-06,1.0248972710513726e-06
1831,3.1774877555790226e-06,8.419251109614834e-07
1832,2.8494116151023263e-06,1.1081045201422057e-06
1833,3.345351942130037e-06,8.12012380890792e-07
1834,2.9319761125634614e-06,1.0118631479372198e-06
1835,3.3549857221260027e-06,1.100429315670226e-06
1836,3.1103631954465527e-06,9.691321771754247e-07
1837,3.4893823794845957e-06,1.0276804829345565e-06
1838,3.688827320047494e-06,1.1065219354122746e-06
1839,3.3873698015440823e-06,1.0773863472479661e-06
1840,3.563203875955878e-06,1.0580052780539972e-06
1841,3.6192632677511938e-06,8.719104656051968e-07
1842,3.4735396354790282e-06,1.1175969483190329e-06
1843,2.940460248623822e-06,9.356547039374163e-07
1844,3.582383882871909e-06,1.1553421366272687e-06
