year,quels_DET cadeaux_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,2.2660739951163578e-09
1809,0.0
1810,0.0
1811,0.0
1812,2.6672082320544632e-09
1813,0.0
1814,9.440030979135372e-09
1815,5.394447111228828e-09
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,8.02049271442229e-09
1823,0.0
1824,0.0
1825,0.0
1826,8.807984341885344e-10
1827,9.217273055917019e-10
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,1.1583628500844156e-09
1834,0.0
1835,3.025235173481633e-09
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,7.704658244733764e-09
1842,4.695785538189057e-09
1843,0.0
1844,5.488561272137815e-10
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,6.788996032014438e-10
1851,0.0
1852,0.0
1853,2.9859659189668264e-09
1854,5.195664454227256e-10
1855,6.368324534378189e-09
1856,5.177189232874468e-10
1857,8.78671624349181e-09
1858,0.0
1859,5.092173349652285e-10
1860,1.8308735638683515e-09
1861,6.602349111872741e-09
1862,6.776979422085105e-09
1863,2.9967726078439227e-09
1864,5.753673759656408e-09
1865,0.0
1866,4.865612912574591e-10
1867,9.7056229719783e-09
1868,4.93987406535723e-10
1869,1.4650557433881772e-09
1870,3.4404292748035914e-09
1871,0.0
1872,0.0
1873,5.986004469882289e-10
1874,5.974609140757536e-10
1875,4.577221712764867e-09
1876,5.441413541973361e-09
1877,2.4739263970730008e-09
1878,1.8117265465633636e-09
1879,4.887460214320072e-09
1880,1.9253538763308597e-09
1881,2.091752326904839e-09
1882,6.655385353937504e-09
1883,2.5277355764075082e-09
1884,0.0
1885,4.511945095320158e-09
1886,1.2906927748801422e-09
1887,1.9586774424595887e-09
1888,1.3315291313986677e-08
1889,5.638623068460191e-09
1890,0.0
1891,0.0
1892,6.268512375839919e-10
1893,9.23762488724833e-09
1894,1.3233232731835187e-08
1895,7.22233739480771e-09
1896,1.7691086373616827e-09
1897,5.826713556089658e-10
1898,7.921696965063063e-09
1899,1.6582735185011188e-09
1900,1.6092265298084385e-08
1901,0.0
1902,9.820567692386817e-10
1903,3.7801541896698154e-09
1904,1.0211787859759625e-08
1905,6.708986699521802e-09
1906,3.086510713679047e-09
1907,3.5999902503469627e-09
1908,4.911389073214423e-10
1909,4.400786735025974e-09
1910,2.6720753387721174e-09
1911,1.5961122423746588e-09
1912,4.688478938419394e-09
1913,2.6514948570088848e-09
1914,0.0
1915,8.246533234057551e-09
1916,0.0
1917,0.0
1918,2.2972752589112133e-09
1919,6.4454939163738345e-09
1920,3.786115865267448e-09
1921,7.572747429129834e-10
1922,2.2133805899215986e-09
1923,9.554353308516284e-09
1924,7.734974438733389e-09
1925,7.698724546756353e-09
1926,7.802297141701331e-09
1927,6.689534925996554e-09
1928,5.713020501119104e-09
1929,1.5596568925246856e-08
1930,9.453243521306831e-09
1931,5.7026783295555106e-09
1932,4.383814644626227e-09
1933,9.176529758292418e-09
1934,2.3963160344919743e-09
1935,7.180970484910176e-09
1936,2.424942913137329e-09
1937,0.0
1938,6.482607339819424e-09
1939,4.588215141154706e-09
1940,0.0
1941,5.9030051957620344e-09
1942,1.8205270180260413e-08
1943,8.709705623388686e-09
1944,0.0
1945,4.357008087652048e-09
1946,1.5313214696277555e-08
1947,5.960435700558264e-09
1948,3.2615663503321457e-09
1949,3.9268033269479474e-09
1950,6.381216666184741e-09
1951,3.198420528427448e-09
1952,3.163441175679793e-09
1953,0.0
1954,9.772535891627854e-09
1955,0.0
1956,1.744228317335228e-09
1957,1.7670075402875796e-09
1958,8.272243445794913e-10
1959,3.8753740216890264e-09
1960,8.304999910002664e-09
1961,6.25334317660986e-09
1962,3.170978146727066e-09
1963,8.405869333927285e-09
1964,3.650380997477498e-09
1965,4.377634699181954e-09
1966,3.3234448526542337e-09
1967,1.9721342336964653e-09
1968,4.042274237558985e-09
1969,7.2668124850849836e-09
1970,2.759235007143701e-09
1971,1.541519245584766e-09
1972,6.669190755204113e-09
1973,4.961883570686609e-09
1974,2.8127858930915295e-09
1975,6.282628195464213e-09
1976,6.856232248608762e-09
1977,2.9383909749824966e-09
1978,1.7821774056514528e-09
1979,4.096381234219848e-09
1980,6.822180820265089e-09
1981,5.692994742290125e-09
1982,6.828252629986764e-09
1983,2.5261264191556165e-09
1984,4.059305780401701e-09
1985,6.015558162708601e-09
1986,5.994485574589703e-09
1987,4.277571852284723e-09
1988,5.996553698039975e-09
1989,4.939309850016116e-09
1990,4.358920779878872e-09
1991,4.68917216167597e-09
1992,3.305966445044106e-09
1993,4.4313659408601325e-09
1994,4.2199412852994556e-09
1995,5.4224509327127635e-09
1996,1.1743802819097482e-08
1997,4.315404922294874e-09
1998,2.3840646123929332e-09
1999,5.4842413388378475e-09
2000,5.301637684418381e-09
2001,6.571817534606339e-09
2002,1.0514931592098264e-08
2003,6.667076668520622e-09
2004,5.726228602398464e-09
2005,4.053374635937246e-09
2006,1.1118302722934459e-08
2007,4.7933754743212376e-09
2008,6.8119033747038316e-09
2009,1.192048104670107e-08
2010,7.558068837454357e-09
2011,1.4913490442580724e-08
2012,1.8042539906559796e-08
2013,1.7850400269026068e-08
2014,1.667392801607548e-08
2015,1.9284206231873213e-08
2016,1.4085112409745193e-08
2017,1.2326495824055428e-08
2018,1.523065318309591e-08
2019,1.3520235153663407e-08
