year,pas_ADV ouverts_ADJ,pas_ADV couverts_ADJ
1800,0.0,9.118077315406481e-08
1801,0.0,8.810375362600098e-08
1802,0.0,1.208433673127729e-07
1803,0.0,1.3847407842604298e-07
1804,0.0,1.5325475999361515e-07
1805,0.0,6.822906328807221e-08
1806,0.0,7.780506905419315e-08
1807,0.0,2.2775640928784924e-08
1808,2.2660739951163578e-09,5.211970233176544e-08
1809,0.0,4.292158095609011e-08
1810,0.0,4.680253340438867e-08
1811,0.0,4.011322829455821e-08
1812,0.0,3.7340914360584065e-08
1813,0.0,1.1502966579257645e-08
1814,0.0,5.664018942752591e-08
1815,0.0,5.664169577812572e-08
1816,0.0,1.622322720606917e-08
1817,0.0,6.85024303948012e-08
1818,0.0,7.629553522292554e-08
1819,0.0,7.866798057420965e-08
1820,0.0,6.40789963313182e-08
1821,0.0,5.5224333550540905e-08
1822,0.0,6.616906489398389e-08
1823,0.0,2.668325471688604e-08
1824,0.0,4.968456579490521e-08
1825,0.0,8.717388766399381e-08
1826,0.0,9.248383747717526e-08
1827,0.0,6.544264152807955e-08
1828,0.0,4.494427585655103e-08
1829,0.0,8.315980437600956e-08
1830,0.0,1.0123730476152559e-07
1831,0.0,2.6505050598757407e-08
1832,0.0,2.841293600397421e-08
1833,0.0,4.9809603552830595e-08
1834,0.0,5.600718466780563e-08
1835,0.0,6.504255622985511e-08
1836,0.0,8.266522399935639e-08
1837,0.0,8.349469027280065e-08
1838,6.312161904276081e-10,7.953323688525415e-08
1839,0.0,4.894032556990169e-08
1840,0.0,5.286841542329057e-08
1841,0.0,5.3290552415319326e-08
1842,0.0,5.2995293486901573e-08
1843,5.906911071384968e-10,2.658109998776581e-08
1844,5.488561272137815e-10,5.3787900355928286e-08
1845,0.0,3.627148004170522e-08
1846,0.0,4.039605983052752e-08
1847,1.0786447290911383e-09,5.2853593501822616e-08
1848,0.0,1.850401076808339e-08
1849,8.379414939696517e-10,2.76520690789539e-08
1850,0.0,3.733947906425783e-08
1851,0.0,5.611011744122152e-08
1852,0.0,3.971432604998881e-08
1853,0.0,5.3150191803297275e-08
