year,vingt - deux heures
1800,2.4113379737400464e-08
1801,7.844948868296342e-08
1802,3.6952563675640704e-08
1803,4.9285681313904206e-08
1804,2.17472440056099e-08
1805,4.995576396993329e-08
1806,4.423904442774074e-08
1807,2.4919588170746465e-08
1808,8.964533293465138e-08
1809,2.4709592594263086e-08
1810,4.10286453700337e-08
1811,3.863024744532595e-08
1812,4.9655586309427235e-08
1813,1.1014729039970916e-07
1814,1.2037826024879905e-07
1815,1.7738504709541303e-07
1816,7.852736416680273e-08
1817,4.777146145329425e-08
1818,1.1860238657845912e-07
1819,3.6179489626420036e-08
1820,9.711544812773809e-08
1821,4.5361350231587494e-08
1822,6.907800553790366e-08
1823,7.233234100567643e-08
1824,9.463164551970493e-08
1825,8.36131306414245e-08
1826,1.9509499793457508e-07
1827,1.1871572525024021e-07
1828,6.314557765563222e-08
1829,5.712951178793446e-08
1830,6.848352751553932e-08
1831,4.620910232233655e-08
1832,9.785339472045962e-08
1833,1.242030407411221e-07
1834,1.503625242094131e-07
1835,7.718632843989326e-08
1836,8.077838387077207e-08
1837,7.97053729684194e-08
1838,7.43282265736056e-08
1839,1.329808752004169e-07
1840,8.141491036894877e-08
1841,6.738998381550232e-08
1842,1.342343125543266e-07
1843,9.681267298944363e-08
1844,6.103653010791632e-08
1845,6.527432594438665e-08
1846,5.573745909259742e-08
1847,7.127625423208883e-08
1848,1.0042278586475106e-07
1849,1.5045706902583333e-07
1850,4.309438694782841e-08
1851,9.74082505211804e-08
1852,1.6692465010237356e-07
1853,8.236673210149092e-08
1854,1.0116067061805012e-07
1855,6.923167816808018e-08
1856,4.650334872735584e-08
1857,8.72000682772267e-08
1858,8.416750457707067e-08
1859,8.138420382053368e-08
1860,1.1240280173296924e-07
1861,8.210511737161141e-08
1862,5.842280259571453e-08
1863,7.017744907411583e-08
1864,1.0184107246402618e-07
1865,6.294718657429144e-08
1866,7.154670544906594e-08
1867,8.517330618573737e-08
1868,6.329596691223571e-08
1869,9.107431253596587e-08
1870,8.545272167648221e-08
1871,1.0731731947544176e-07
1872,6.102830241161428e-08
1873,5.4451522624177073e-08
1874,1.1340433969664332e-07
1875,1.1442286224072618e-07
1876,8.367447024149044e-08
1877,1.4908555989734396e-07
1878,7.112115918417317e-08
1879,7.594197681815018e-08
1880,9.752437002408243e-08
1881,6.839109434331192e-08
1882,8.793160466424865e-08
1883,7.663270418234447e-08
1884,8.075074908742153e-08
1885,6.17881283915267e-08
1886,1.0809423223179238e-07
1887,7.346676511588157e-08
1888,9.92440739588929e-08
1889,1.0647655468432049e-07
1890,9.108507859068027e-08
1891,7.87047227390758e-08
1892,1.0444954767763193e-07
1893,7.811883273589615e-08
1894,1.1134095334597305e-07
1895,1.0095775371254945e-07
1896,9.886618190790841e-08
1897,8.438812570954468e-08
1898,1.2360333423444558e-07
1899,1.2932870108173233e-07
1900,1.3135450477319566e-07
1901,9.251019439382446e-08
1902,1.0057303834187792e-07
1903,9.77602711005332e-08
1904,9.377658005682576e-08
1905,1.1338812999639458e-07
1906,1.0783748782827729e-07
1907,9.775946452350581e-08
1908,6.726831647263509e-08
1909,9.827025881925522e-08
1910,9.909242537631258e-08
1911,8.572843102072625e-08
1912,7.989333261626541e-08
1913,7.547919145256543e-08
1914,1.085829222091661e-07
1915,1.4157026662076078e-07
1916,1.4753900323682956e-07
1917,1.5799939845351219e-07
1918,1.8198283235904e-07
1919,1.611456457162319e-07
1920,1.2765366780298493e-07
1921,1.4958956917610067e-07
1922,1.6124896351499274e-07
1923,1.1027530089080528e-07
1924,1.7953810660387148e-07
1925,1.3647408891870327e-07
1926,1.370373041709172e-07
1927,1.1478692307775873e-07
1928,1.3916815433390184e-07
1929,1.4934578107528296e-07
1930,9.64940838343864e-08
1931,1.1997118987139288e-07
1932,1.4433295625337905e-07
1933,1.789004855368148e-07
1934,1.712368709050338e-07
1935,1.4722749686058023e-07
1936,1.1006280642433808e-07
1937,1.3947591215313082e-07
1938,1.4057228980846048e-07
1939,1.897523697058645e-07
