year,seuls_ADJ anneaux_NOUN,seuls_ADJ canaux_NOUN
1800,0.0,1.8864987794131594e-08
1801,0.0,4.7623651688866175e-09
1802,0.0,4.4756802708434407e-08
1803,0.0,3.900678446910888e-09
1804,2.4718509461507665e-09,1.2359254952798437e-08
1805,0.0,0.0
1806,0.0,2.305335300434308e-08
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,4.212228077449254e-08
1811,2.5070767684098882e-09,1.0028307073639553e-08
1812,0.0,0.0
1813,0.0,1.7254450312975678e-08
1814,0.0,6.293354282149721e-09
1815,0.0,3.236668177919455e-08
1816,0.0,2.3176038865813098e-08
1817,4.670620334934483e-09,4.670620334934483e-09
1818,0.0,7.152706427149269e-09
1819,0.0,1.3456364911235141e-08
1820,0.0,1.3053129244156025e-08
1821,0.0,7.88919063410276e-09
1822,1.2030739071633434e-08,1.5038423839541792e-08
1823,5.929612356680991e-09,9.882686669016039e-09
1824,0.0,1.6842225392110777e-08
1825,0.0,2.641632912414593e-09
1826,4.403992281964975e-09,2.9947145208097936e-08
1827,0.0,1.013900075008678e-08
1828,0.0,2.2930752408001354e-08
1829,0.0,7.715858174606183e-09
1830,0.0,1.1480519646056564e-08
1831,3.1182412207897414e-09,1.7150327380477393e-08
1832,0.0,2.705993829010822e-08
1833,0.0,2.548398292390175e-08
1834,0.0,1.3068342852307069e-08
1835,0.0,1.0588323107185715e-08
1836,0.0,1.4785650037651976e-08
1837,6.957890930081589e-10,2.5048407792382932e-08
1838,2.5248647617104325e-09,9.468243078458727e-09
1839,0.0,1.3283802502428443e-08
1840,1.2739377330817092e-09,1.0828470564661075e-08
1841,2.5682194149112547e-09,1.3483152372373297e-08
1842,0.0,1.1404051036834062e-08
1843,0.0,1.063243981747064e-08
1844,5.488561161115513e-09,1.0428266250528395e-08
1845,0.0,5.580227946389016e-10
1846,5.854501328173001e-10,5.854501328173001e-09
1847,0.0,4.314578916364553e-09
1848,0.0,2.413566457803995e-09
1849,0.0,8.379414939696517e-10
1850,0.0,2.7155984128057753e-09
1851,0.0,5.159551008659946e-09
1852,0.0,2.4740073101270355e-08
1853,0.0,6.569124799682413e-09
1854,2.0782657816909023e-09,7.79349651480743e-09
1855,0.0,5.306937111981824e-10
1856,5.177189232874468e-10,5.177189232874468e-10
1857,2.4407544874094356e-09,0.0
1858,2.1532175153993194e-08,2.936205500958522e-09
1859,0.0,6.110608019582742e-09
1860,0.0,8.696649622663699e-09
1861,3.772770984511453e-09,8.017138064531082e-09
1862,4.517986262886353e-10,9.035972858839614e-09
1863,0.0,1.1987090431375691e-08
1864,3.835782358407869e-09,4.794728170054441e-09
1865,2.8241067262513297e-09,2.8241067262513297e-09
1866,1.4110277390955162e-08,2.432806400776144e-09
1867,0.0,5.82337378318698e-09
1868,0.0,2.4699371437009177e-09
