year,lieux_NOUN ouverts_ADJ,lieux_NOUN couverts_ADJ
1800,4.4018303668735825e-08,2.861189742908721e-07
1801,2.8574191901498125e-08,2.190687926617585e-07
1802,7.832440473976021e-08,2.2602185367759375e-07
1803,2.9255089017965474e-08,9.673682477284729e-07
1804,2.4718509905596875e-08,2.175228814849106e-07
1805,4.8328921309348516e-08,1.2622376743820496e-06
1806,8.35684019762084e-08,1.5272846720648658e-07
1807,8.54086508184082e-08,1.1672516109229036e-07
1808,1.8128591960930862e-08,1.6995554608101315e-07
1809,3.840352036377226e-08,2.394572220509872e-07
1810,3.7442028144596406e-08,1.0530570193623134e-07
1811,7.270522672797597e-08,3.2341290534532163e-07
1812,6.401299401659344e-08,1.0402111882967802e-07
1813,2.8757416004054903e-08,1.2940837734731758e-07
1814,6.293354282149721e-09,2.3285410577500443e-07
1815,1.0788894222457657e-08,5.826003075526387e-07
1816,8.343373991692715e-08,3.290997483418323e-07
1817,4.203558034987509e-08,3.222727968932304e-07
1818,4.172412104708201e-08,2.360393125400151e-07
1819,3.9333990287104825e-08,1.552657522552181e-07
1820,6.526564533260171e-08,2.0529012090264587e-07
1821,4.2404398215012407e-08,8.875339574387908e-08
1822,6.215881853677274e-08,1.2732532184145384e-07
1823,7.313188632451784e-08,1.5812298670425662e-07
1824,4.29476756380609e-08,1.0947446327236321e-07
1825,3.610231757988913e-08,1.9283920948964806e-07
1826,4.4039920932270604e-08,1.3211976579441398e-07
1827,4.3321183085254233e-08,1.7328473234101693e-07
1828,5.503380862137419e-08,1.449223532290489e-07
1829,1.8860987438529264e-08,1.646049838655017e-07
1830,4.174734158368665e-08,1.2524202475105994e-07
1831,7.795603274018958e-09,2.463410453401593e-07
1832,4.19429042608499e-08,2.1512651926514081e-07
1833,3.70676112027013e-08,8.571885246055899e-08
1834,2.240287422239362e-08,8.774458848392896e-08
1835,4.9160071569076536e-08,1.4596759001506143e-07
1836,4.5029025841358816e-08,1.0954822471376247e-07
1837,5.148839221646995e-08,1.273294003567571e-07
1838,4.102905393210676e-08,9.72072911054056e-08
1839,2.4470162784950844e-08,1.0557127627652818e-07
1840,3.121147429396842e-08,7.452535721874654e-08
1841,5.200644181968528e-08,8.66774030328088e-08
1842,1.8783142152756227e-08,6.708265232191479e-08
1843,1.594866022580632e-08,7.029224491361674e-08
1844,2.8540519281250454e-08,1.1525978488302613e-07
1845,2.1204865419122143e-08,9.82120127446251e-08
1846,1.5807152919933287e-08,9.542836920672926e-08
1847,3.182001862001016e-08,7.388716483092139e-08
1848,3.298540818263973e-08,5.470750608083108e-08
1849,4.608678083606321e-08,8.714591714920061e-08
1850,1.6972489191857676e-08,9.436704573317911e-08
1851,2.644269869733762e-08,1.8122922540442232e-07
1852,2.018269107395554e-08,6.836072530269632e-08
1853,3.0456853039595444e-08,7.524634071387482e-08
1854,2.5978321716024766e-08,1.1066765548406465e-07
1855,2.600399184871094e-08,6.156047049898916e-08
1856,1.1907534847033219e-08,5.901995636659052e-08
1857,3.026535561057031e-08,9.030791592312681e-08
1858,2.300027723833864e-08,6.508589034392998e-08
1859,1.8331824946926645e-08,6.568903820891592e-08
1860,1.9224172476128842e-08,6.820004050389628e-08
1861,1.839225838295988e-08,4.951761933824628e-08
1862,2.5752521892741242e-08,5.0601446588416366e-08
1863,1.3485475847119233e-08,5.893652499366908e-08
1864,1.4863656971897399e-08,7.863353612691526e-08
1865,2.3063536858103362e-08,3.859612363044107e-08
1866,2.3354942868536455e-08,3.941146431429843e-08
1867,3.88224918879132e-08,6.599823620945244e-08
1868,3.112120694481746e-08,4.8904752913969674e-08
1869,2.2952539424636598e-08,4.883519033604955e-08
1870,1.77755516972411e-08,5.390005730632197e-08
1871,1.1683295220166201e-08,7.753459629888937e-08
1872,1.3908880269752899e-08,5.2007119721864115e-08
1873,8.979006871356887e-09,1.1792428755708073e-07
1874,1.1949218503559678e-08,4.301718448118663e-08
1875,1.0870901512305409e-08,5.8359576171618244e-08
1876,2.539326260375674e-08,5.683254000743432e-08
1877,1.5462040536817767e-08,6.122967799448986e-08
1878,1.7513357875031943e-08,4.468925740575003e-08
1879,3.0546626561545054e-08,3.2379422587602846e-08
1880,1.4119262203848848e-08,6.353667569847232e-08
1881,5.578006112560985e-09,7.878933594440696e-08
1882,1.5307385581309063e-08,3.5939081044489285e-08
1883,1.1374810426900694e-08,4.549924037533515e-08
1884,9.242375753615306e-09,6.865765111996325e-08
1885,1.4180398189012067e-08,7.283568415061836e-08
1886,1.936039240035825e-08,3.74300894723234e-08
1887,1.1752064210668323e-08,3.395040737430577e-08
1888,6.974675947901687e-09,3.994587172151398e-08
1889,6.265136853755848e-09,3.884384636165805e-08
1890,7.865263995654459e-09,4.7191581309391495e-08
1891,2.5496880162734215e-09,1.5871808578538094e-07
1892,1.2537024751679837e-08,4.011847742901864e-08
1893,1.4780199397712579e-08,5.665743080252028e-08
1894,5.041231432301174e-09,3.3398158905129094e-08
1895,2.4074457982692365e-09,1.9861427169587387e-08
1896,1.7101383420481397e-08,1.2383760905620989e-08
1897,5.2440420894583895e-09,1.4566784112268749e-08
1898,6.224190496340043e-09,2.0370077402631637e-08
1899,8.844125432005967e-09,4.2009595802028343e-08
1900,1.0901211155989188e-08,2.4917054419759666e-08
1901,9.500856101851696e-09,2.01194599314114e-08
1902,1.4730852093691738e-09,2.307833368853096e-08
1903,1.674068350610014e-08,2.4300991219305956e-08
1904,5.912087708281888e-09,3.2247749359726186e-08
1905,1.1353670004154992e-08,2.9932401890420124e-08
1906,6.6874399351490865e-09,3.035068907308869e-08
1907,7.199980611716228e-09,4.165703160197154e-08
1908,5.893666887857307e-09,3.5361999994876214e-08
1909,1.1001967337165297e-08,3.080550925460557e-08
1910,3.206490406526541e-09,1.3360376471815982e-08
1911,1.1704822888702893e-08,1.702519725199636e-08
1912,1.2502610502451716e-08,1.1460726589973547e-08
