year,fronts_NOUN ouverts_ADJ,fronts_NOUN couverts_ADJ
1800,0.0,1.5720821977538435e-08
1801,0.0,1.6668277424969347e-08
1802,0.0,1.3427040812530322e-08
1803,0.0,2.5354410126965377e-08
1804,0.0,4.943701892301533e-09
1805,0.0,2.842877755426798e-08
1806,8.645007376628655e-09,6.627838899930794e-08
1807,2.8469551160981155e-09,1.1387820464392462e-08
1808,2.2660739951163578e-09,2.2660739951163578e-09
1809,2.259030518203531e-09,2.259030518203531e-09
1810,0.0,1.1700633351097167e-08
1811,0.0,4.763445815569867e-08
1812,0.0,5.3344164641089264e-09
1813,0.0,1.4378708002027452e-08
1814,0.0,1.2586708564299443e-08
1815,0.0,2.4275012222574333e-08
1816,2.3176038865813098e-09,1.8540831092650478e-08
1817,0.0,3.113746815941454e-09
1818,0.0,1.0729059418679299e-08
1819,0.0,7.24573512300708e-09
1820,0.0,1.4239777357261119e-08
1821,0.0,3.155676253641104e-08
1822,0.0,2.606660132187244e-08
1823,0.0,1.2847492847356534e-08
1824,0.0,2.0210670470532932e-08
1825,0.0,1.4969252504215547e-08
1826,8.807984341885344e-10,5.284790383086602e-09
1827,0.0,6.452091305675367e-09
1828,0.0,7.337841001486822e-09
1829,0.0,1.3717081692732336e-08
1830,0.0,5.218417697960831e-09
1831,0.0,1.5591206103948707e-09
1832,0.0,9.470978667991403e-09
1833,0.0,5.791814139399776e-09
1834,0.0,2.9870498963191494e-08
1835,0.0,8.31939672707449e-09
1836,0.0,2.2178475944656384e-08
1837,0.0,1.1132625488130543e-08
1838,0.0,1.3255539776935166e-08
1839,0.0,9.788065469251706e-09
1840,0.0,8.280594876453051e-09
1841,0.0,1.3483152372373297e-08
1842,0.0,1.0062397137744483e-08
1843,0.0,4.134837805480629e-09
1844,7.1351298203126134e-09,1.1525978393933656e-08
1845,0.0,1.2276501593078137e-08
1846,0.0,1.8148954339380907e-08
1847,0.0,1.240441438454809e-08
1848,0.0,2.896279838182636e-08
1849,0.0,3.3517659758786067e-09
1850,0.0,8.82569484161877e-09
1851,0.0,1.5478653025979838e-08
1852,3.2552727180501506e-09,1.6927417689771573e-08
1853,0.0,1.6124216628554677e-08
1854,5.195664454227256e-10,1.1950028522278444e-08
