year,sommes_VERB en_PRON
1800,3.144164395507687e-08
1801,2.3811825400343878e-08
1802,1.1189200677108602e-08
1803,1.1702034896643454e-08
1804,6.179627121127851e-08
1805,3.4114531644036106e-08
1806,4.610670600868616e-08
1807,1.9928686256776018e-08
1808,1.8128591960930862e-08
1809,5.873479480555943e-08
1810,1.6380887757350138e-08
1811,6.016983888912364e-08
1812,3.7340914360584065e-08
1813,4.026038169513413e-08
1814,5.664018942752591e-08
1815,4.315557688983063e-08
1816,2.3176038865813098e-08
1817,4.514932783195036e-08
1818,2.741870730460505e-08
1819,2.898294049202832e-08
1820,1.6613073583471305e-08
1821,8.678109963966563e-08
1822,2.2056354964661296e-08
1823,7.313188632451784e-08
1824,5.726356633317664e-08
1825,6.251864448358901e-08
1826,4.7563116112314674e-08
1827,1.566936447261469e-08
1828,3.393751413227619e-08
1829,2.4862210068476998e-08
1830,2.0873670791843324e-08
1831,4.8332740476553226e-08
1832,4.058990654698391e-08
1833,4.9809603552830595e-08
1834,4.947301235347368e-08
1835,6.277362984974388e-08
1836,6.51912728244497e-08
1837,8.766942727334026e-08
1838,8.647661786653771e-08
1839,5.173691519644308e-08
1840,3.885510224677091e-08
1841,5.714288064950779e-08
1842,4.293289634915709e-08
1843,3.7804230856863796e-08
1844,5.3239045172404076e-08
1845,4.185170965342877e-08
1846,6.205771541090144e-08
1847,4.7999691332734074e-08
1848,2.815827571112095e-08
1849,7.709061833338637e-08
1850,5.0917471128286707e-08
1851,5.804495017969202e-08
1852,3.906327350478023e-08
1853,4.18035241978032e-08
1854,7.377843758149538e-08
1855,6.633671034705912e-08
1856,5.487820686767009e-08
1857,5.174399575480493e-08
1858,6.704335930862726e-08
1859,3.768208145515928e-08
1860,4.8060432078500526e-08
1861,9.714885607081669e-08
1862,5.1956842384015545e-08
1863,6.542953201460477e-08
1864,6.616724590458034e-08
1865,8.84886759422443e-08
1866,7.882292862859686e-08
1867,6.69687949539366e-08
1868,4.445886503390284e-08
1869,6.983432143670143e-08
1870,9.575861525945584e-08
1871,9.665271250014484e-08
1872,7.619647846013322e-08
1873,7.721946104766175e-08
1874,6.930546447847519e-08
1875,7.952922942422447e-08
1876,8.04119935082781e-08
1877,4.5149157301693776e-08
1878,4.046189516770937e-08
1879,7.697749992985337e-08
1880,6.546203223933844e-08
1881,6.693607446095484e-08
1882,6.721938916598447e-08
1883,6.19295192905156e-08
