year,vingt - deux couverts
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,1.087362200280495e-08
1805,6.244470274197056e-09
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,1.303322894052883e-09
1819,1.1306090508256261e-09
1820,0.0
1821,2.1600643496100247e-09
1822,0.0
1823,9.71628466572838e-09
1824,5.5125228826113926e-09
1825,3.844281781795189e-09
1826,0.0
1827,0.0
1828,1.0023107899215233e-09
1829,0.0
1830,0.0
1831,1.711448205377053e-09
1832,1.4826272431989196e-09
1833,0.0
1834,1.0228743407836305e-09
1835,0.0
1836,0.0
1837,7.590987838312913e-10
1838,1.3764486217482386e-09
1839,0.0
1840,0.0
1841,0.0
1842,1.4670415993123243e-09
1843,6.454178302917057e-10
1844,0.0
1845,4.880323700717781e-09
1846,0.0
1847,0.0
1848,0.0
1849,8.256789918448248e-09
1850,0.0
1851,0.0
1852,7.133532098357875e-10
1853,6.537042018806005e-10
1854,1.7049551770398352e-09
1855,9.890239738297169e-09
1856,5.671140224094984e-10
1857,1.711903152568084e-08
1858,1.6082963849584075e-09
1859,1.6722780937783455e-09
1860,7.526972822802236e-09
1861,1.0327687594013923e-09
1862,4.951085097459895e-10
1863,1.6447839756850158e-09
1864,3.149723815099037e-09
1865,0.0
1866,1.0678612438752566e-09
1867,1.0646663550772928e-09
1868,0.0
1869,0.0
1870,0.0
1871,1.1664925692045358e-09
1872,0.0
1873,6.560424425927636e-10
1874,2.6220656756947847e-09
1875,6.286970388735824e-10
1876,0.0
1877,0.0
1878,6.64683752482631e-10
1879,7.3925821020282e-09
1880,2.8267932439263177e-09
1881,2.305317714501598e-09
1882,1.4655266999952232e-09
1883,1.3236558515927754e-08
1884,5.092389621097482e-09
1885,3.5510419049700204e-09
1886,7.111462529962864e-10
1887,1.440524810547572e-09
1888,0.0
1889,6.91406210062695e-10
1890,7.228974641115826e-10
1891,7.027207149512549e-10
1892,0.0
1893,2.7171767058575824e-09
1894,6.958809639634467e-10
1895,5.977761841080564e-09
1896,3.902612455419785e-09
1897,1.9325523403779243e-09
1898,1.872777710687501e-09
1899,0.0
1900,2.8680022801097493e-09
1901,5.550611525961813e-09
1902,3.244291502113583e-09
1903,0.0
1904,0.0
1905,2.8489479664273176e-09
1906,1.7026970944300501e-09
1907,0.0
1908,1.0849728893091992e-09
1909,6.066065427745571e-10
1910,1.1796716936629537e-09
1911,5.871810260238419e-10
1912,1.149544348599818e-09
1913,1.1702200319874123e-09
1914,0.0
1915,0.0
1916,0.0
1917,3.6183069873629847e-09
1918,7.582618088974868e-09
1919,3.0404838646802546e-09
1920,4.171688328113987e-09
1921,0.0
1922,1.6287773352274826e-09
1923,3.5194243075409304e-09
1924,0.0
1925,0.0
1926,1.2345703348515258e-09
1927,4.9370720844876814e-09
1928,1.2651650838080286e-09
1929,2.4685253841028043e-09
1930,5.812896830548198e-09
1931,0.0
1932,2.4257640340863418e-09
1933,3.806393422678411e-09
1934,2.6548352405342257e-09
1935,2.6527477992033255e-09
1936,1.342229327683242e-09
1937,1.3947590860041714e-09
1938,5.737644581671475e-09
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,3.079471788680621e-09
1947,0.0
1948,2.4064130688117302e-09
1949,1.081607470254653e-09
1950,5.881382048045225e-09
1951,2.359811901442299e-09
1952,0.0
1953,1.1908261043913626e-09
1954,0.0
1955,5.1939128553613045e-09
1956,0.0
1957,9.778776677293877e-10
1958,2.744675597909918e-09
1959,0.0
1960,2.2960096046631406e-09
1961,1.533625781924286e-09
1962,0.0
1963,0.0
1964,2.01339389604982e-09
1965,0.0
1966,4.888459859131444e-09
1967,5.43188660717675e-10
1968,1.976373731338299e-09
1969,9.985481330687662e-10
1970,5.057877450198589e-10
1971,1.6998997764972046e-09
1972,0.0
1973,1.2186562869942463e-09
1974,6.21929008293165e-10
1975,0.0
1976,3.1556841584290396e-09
1977,1.9483983315637943e-09
1978,0.0
1979,6.441445155047631e-10
1980,0.0
1981,0.0
1982,6.818714481937604e-10
1983,0.0
1984,0.0
1985,0.0
1986,6.58354371019243e-10
1987,0.0
1988,2.6343254244665104e-09
1989,6.027806587205475e-10
1990,0.0
1991,3.2149625184274555e-09
1992,0.0
1993,0.0
1994,2.309348046125592e-09
1995,1.1857715920271517e-09
1996,1.7500596527497692e-09
1997,5.234240263440881e-10
1998,5.202560049433202e-10
1999,4.985142854074809e-10
2000,4.81735262791716e-10
2001,9.554933511068953e-10
2002,9.54669232555716e-10
2003,4.5379322521910126e-10
2004,9.593307259692097e-10
2005,2.452467562363836e-09
2006,1.3462255754603802e-09
2007,4.3630241086667354e-10
2008,4.6488379812359426e-10
2009,2.60784838168604e-09
2010,1.0353725654610457e-09
2011,4.196426317548685e-09
2012,3.749565102850738e-09
2013,3.080194321825047e-09
2014,3.5927327779461393e-09
2015,2.2062749405193927e-09
2016,1.1462439886145148e-09
2017,5.57803969680748e-10
2018,2.291995038206096e-09
2019,1.1330004712206687e-09
