year,nos_DET offres_NOUN,nos_DET coffres_NOUN
1800,3.772997558826319e-08,3.772997558826319e-08
1801,4.286128785224719e-08,5.714838380299625e-08
1802,3.5805442166747525e-08,1.3427040812530322e-08
1803,2.7304748684287006e-08,2.145373123596528e-08
1804,4.69651695311768e-08,2.7190360185613827e-08
1805,1.421438877713399e-08,5.685755422035754e-09
1806,8.645007376628655e-09,0.0
1807,2.2775640928784924e-08,1.7081731584767113e-08
1808,1.0877155176558517e-07,1.3596443970698147e-08
1809,3.388545621874073e-08,1.3554183553310395e-08
1810,1.4508785284306214e-07,3.2761775514700275e-08
1811,4.011322829455821e-08,4.011322829455821e-08
1812,1.8670457180292033e-08,2.6672082320544632e-09
1813,3.4508900625951355e-08,5.176335093892703e-08
1814,7.866692897096073e-08,1.5733386149463513e-08
1815,1.1328339155625144e-07,2.697223555614414e-09
1816,3.476405652236281e-08,4.8669683394564345e-08
1817,2.0239355080775567e-08,1.401186100480345e-08
1818,2.741870730460505e-08,1.5497530370112145e-08
1819,2.5877625375869684e-08,4.0369095288816936e-08
1820,6.407899810767503e-08,6.051905643289501e-08
1821,5.226588895013151e-08,3.352906019493673e-08
1822,9.323822780515911e-08,5.213320264374488e-08
1823,6.324919610278812e-08,3.5577674140085946e-08
1824,9.684279689281539e-08,9.179012838700373e-08
1825,5.6354835464844655e-08,4.3146670236637874e-08
1826,2.9947145208097936e-08,1.9377566218281572e-08
1827,8.019027819550217e-08,3.7790821139083164e-08
1828,7.33784091266898e-08,2.4765213879618386e-08
1829,3.5150023336427694e-08,1.0545006290385572e-07
1830,5.5315229730013016e-08,2.9223140574075046e-08
1831,4.05371340939098e-08,3.274153215215847e-08
1832,5.0060886991332154e-08,3.3824923306724486e-08
1833,4.2859426230279496e-08,6.370995686566516e-08
1834,4.853955948291855e-08,3.640467127752345e-08
1835,8.697551123759695e-08,5.596685070941021e-08
1836,5.040562456315456e-08,2.8899226123257904e-08
1837,9.253995059133047e-08,4.313892532081809e-08
1838,5.302215910774066e-08,4.039783707554534e-08
1839,5.103776823389694e-08,1.3982949909063791e-08
1840,5.860113505562481e-08,1.9746034141121527e-08
1841,3.852329211184724e-08,4.8154114917764446e-08
1842,7.043678662554953e-08,6.17160376137349e-08
1843,6.4976019342744e-08,2.658110043185502e-08
1844,5.708103856250091e-08,3.622450345242001e-08
1845,3.348136701220028e-08,2.8459161804939015e-08
1846,2.4588905134237393e-08,3.9810609031576405e-08
1847,3.775256640636826e-08,4.422443389273667e-08
1848,2.091757700384278e-08,3.620349886546137e-08
1849,1.675882921325922e-08,2.513824526317876e-08
1850,5.499086785931695e-08,2.2403686905647646e-08
1851,3.1602251482354404e-08,4.837079048414239e-08
1852,3.190167419120371e-08,2.2135854926830234e-08
1853,4.1206330125831414e-08,3.941474879809448e-08
1854,6.754364090255649e-08,5.195664609658479e-08
1855,4.139410947345823e-08,2.812676669350367e-08
1856,2.6921383955436085e-08,1.812016137137107e-08
1857,3.661131842136456e-08,5.320845014589182e-08
1858,2.5936483183386372e-08,4.40430856230023e-08
1859,6.517981732123701e-08,3.513599722282379e-08
1860,4.073693560258107e-08,2.7920822320837146e-08
1861,5.6119969671364345e-08,3.1596958494084504e-08
