year,vastes_ADJ carrières_NOUN
1800,2.829747991484055e-08
1801,9.524730337773235e-09
1802,7.384872446891677e-08
1803,2.9255089017965474e-08
1804,7.4155526164076946e-09
1805,1.1371510844071508e-08
1806,8.645007198992971e-08
1807,2.8469551160981155e-09
1808,5.4385775882792586e-08
1809,2.9367397402779716e-08
1810,1.4040760554223652e-08
1811,5.515568801683912e-08
1812,4.267533171287141e-08
1813,4.601186631703058e-08
1814,4.090680150170556e-08
1815,1.6183340889597275e-08
1816,0.0
1817,5.293369653713853e-08
1818,2.384235386898581e-08
1819,7.24573512300708e-09
1820,3.559944161679596e-08
1821,1.2425475404143072e-07
1822,1.303330066093622e-08
1823,4.941343334508019e-08
1824,4.5474010335055937e-08
1825,2.553578504205234e-08
1826,3.787433300317389e-08
1827,4.7929820112813104e-08
1828,4.769596628761974e-08
1829,5.401101077495696e-08
1830,4.5922078584226256e-08
1831,4.5214498811674275e-08
1832,4.464889968858188e-08
1833,4.51761508202253e-08
1834,4.29388435918554e-08
1835,6.504255622985511e-08
1836,5.443807538085821e-08
1837,4.5226290268374214e-08
1838,7.258986300939796e-08
1839,8.249940464111205e-08
1840,6.433385379978063e-08
1841,3.9165346521485844e-08
1842,3.085801836277824e-08
1843,3.485077471054865e-08
1844,3.677336124496833e-08
1845,4.185170965342877e-08
1846,4.859236213405893e-08
1847,5.3932236454556914e-08
1848,4.746680914990975e-08
1849,2.1786478399121734e-08
1850,2.0366988096043315e-08
1851,5.288539739467524e-08
1852,2.9948509450150596e-08
1853,2.8665272822081533e-08
1854,5.819144277552368e-08
1855,3.714855978387277e-08
1856,4.6076984006049315e-08
1857,2.782460128969433e-08
1858,5.334106845111819e-08
1859,4.379269213927728e-08
1860,2.8378540406492903e-08
1861,1.9807048445841247e-08
1862,4.608346060308577e-08
1863,3.096664968893492e-08
1864,6.616724590458034e-08
1865,3.671338433264282e-08
1866,3.065336073859726e-08
1867,4.901339423213358e-08
1868,5.4832600682175325e-08
1869,3.5161338729494673e-08
1870,2.3509599600401998e-08
1871,2.973929724703339e-08
1872,3.084143074261192e-08
1873,3.8909028887701425e-08
1874,3.4652732239237594e-08
1875,4.691652222277298e-08
1876,3.929909553335165e-08
1877,3.401648740464225e-08
1878,3.925407554561389e-08
1879,2.8102896010295808e-08
1880,3.914886193001621e-08
1881,3.137628468152798e-08
1882,2.3293848627758962e-08
1883,2.5277355319985872e-08
1884,3.036780782394999e-08
