year,deux_DET arrières_NOUN,deux_DET carrières_NOUN
1800,0.0,9.432493897065797e-09
1801,0.0,3.333655596016172e-08
1802,0.0,1.7902721083373763e-08
1803,0.0,4.4857802805609026e-08
1804,2.4718509461507665e-09,4.943701981119375e-08
1805,0.0,7.675770063997334e-08
1806,0.0,2.881669214360727e-08
1807,0.0,4.555128185756985e-08
1808,9.064295980465431e-09,7.478044317110744e-08
1809,2.25903047379461e-08,3.840352036377226e-08
1810,2.574139479349924e-08,9.360507036149102e-09
1811,2.5070767684098882e-09,3.5099073869560016e-08
1812,0.0,6.401299401659344e-08
1813,0.0,3.163315831500313e-08
1814,0.0,1.5733386149463513e-08
1815,0.0,3.5063905334808965e-08
1816,0.0,1.3905623319487859e-08
1817,0.0,8.874178547557676e-08
1818,0.0,2.5034472272977837e-08
1819,0.0,3.3123360054787554e-08
1820,0.0,2.8479554714522237e-08
1821,0.0,5.621048160264763e-08
1822,1.0025615893027862e-09,7.21844344298006e-08
1823,3.9530747564242574e-09,4.249555285440465e-08
1824,0.0,2.778967189698278e-08
1825,0.0,3.52217717214387e-08
1826,8.807984341885344e-10,9.07222368340399e-08
1827,3.6869092223668076e-09,3.7790821139083164e-08
1828,0.0,3.393751413227619e-08
1829,1.2859763920403111e-08,3.17207503042205e-08
1830,3.1310507520032616e-09,2.7135772739939057e-08
1831,0.0,4.2096257146795324e-08
1832,0.0,1.7859559164890015e-07
1833,1.1583628500844156e-09,1.3321172431801642e-07
1834,9.334530925997342e-10,5.1339920759119195e-08
1835,7.563087933704082e-10,4.61348363955949e-08
1836,2.688300027031687e-09,4.771732520225669e-08
1837,0.0,3.6876820597164794e-08
1838,0.0,4.6078780124858554e-08
1839,0.0,5.8728389706885764e-08
1840,0.0,3.05745047057826e-08
1841,0.0,5.393260726904714e-08
1842,0.0,6.842430355646911e-08
1843,5.906911071384968e-10,4.252976149032861e-08
1844,0.0,3.2931367854871496e-08
1845,2.2320912340667576e-09,4.910600637231255e-08
1846,5.854501328173001e-10,3.3956108147492614e-08
1847,3.235934187273415e-09,3.937053261182655e-08
1848,5.63165514222419e-09,4.585776280929821e-08
1849,1.6758829879393033e-09,6.116972883773997e-08
1850,6.788996032014438e-10,3.394498193642903e-08
1851,1.2898877521649865e-09,2.7087643017509322e-08
1852,0.0,3.906327439295865e-08
1853,0.0,6.509405725552142e-08
1854,0.0,4.676098086520142e-08
1855,0.0,3.980202833986368e-08
1856,0.0,2.6403665032148638e-08
1857,0.0,5.418475002016976e-08
1858,0.0,5.529853908115001e-08
1859,0.0,4.430190947424251e-08
1860,4.119465657481669e-09,4.668727465739764e-08
1861,1.4147891747029462e-09,4.1972076703089556e-08
1862,4.517986262886353e-10,3.840288465006836e-08
1863,0.0,5.893652765820434e-08
1864,0.0,6.089304349643498e-08
1865,0.0,4.000817732663364e-08
1866,9.731225825149181e-10,3.6978657469433074e-08
1867,0.0,2.5719900875742496e-08
1868,9.87974813071446e-10,3.902500633756745e-08
1869,0.0,2.5882652021635977e-08
1870,0.0,5.504686750867904e-08
1871,0.0,4.2484709306123136e-08
1872,0.0,3.084143074261192e-08
1873,0.0,5.2078240386777e-08
1874,0.0,3.525019476313673e-08
1875,0.0,7.724061923397585e-08
1876,1.813804439976252e-09,7.980739447077667e-08
1877,0.0,5.009700965175057e-08
1878,6.039088673581716e-10,6.582606548732883e-08
1879,0.0,7.881029517875504e-08
1880,0.0,7.637237331437063e-08
1881,0.0,4.11377960585213e-08
1882,0.0,6.455723688958415e-08
1883,1.8958017378167824e-09,5.0554710639971745e-08
1884,0.0,6.007544417485633e-08
1885,6.445635691854079e-10,6.574548594429075e-08
1886,1.2906927748801422e-09,6.711602296149977e-08
1887,0.0,4.374379614091595e-08
1888,3.804368819970705e-09,2.1558089535744784e-08
1889,1.2530273485467092e-09,4.636201333951817e-08
1890,1.9663159434024635e-09,4.5880706789347414e-08
1891,0.0,7.202868468336732e-08
1892,1.8805537127519756e-09,5.328235519463931e-08
1893,6.774258043407144e-09,5.665743163518755e-08
1894,1.8904617871129403e-09,7.246770139524017e-08
1895,0.0,5.1760085550967005e-08
1896,2.358811590497112e-09,4.304831136003884e-08
1897,1.7480140668268973e-09,5.710179351581246e-08
1898,0.0,6.16760653660009e-08
1899,5.527578395003729e-10,5.3617510431536175e-08
1900,0.0,7.111742572618596e-08
1901,0.0,7.04181108979185e-08
1902,4.910283846193408e-10,5.106695111223303e-08
1903,1.0800440541913758e-09,4.482182802689749e-08
1904,0.0,4.6759238259141966e-08
1905,3.096455536422127e-09,3.870569220687514e-08
1906,2.0576738091193647e-09,4.423998856140088e-08
1907,2.5714217422034835e-09,4.217131710504418e-08
1908,3.929111258571538e-09,4.518478124992953e-08
1909,2.7504918342913243e-09,7.426327641724129e-08
1910,9.085056262847502e-09,5.6647997848102705e-08
1911,2.128149656499545e-09,6.544060182633871e-08
1912,3.125652625612929e-09,5.2094210722941625e-08
1913,1.5378670781274195e-08,4.8787505146918875e-08
1914,2.0090231700464756e-09,4.620753291106894e-08
1915,4.712304768617059e-09,3.416420879531756e-08
1916,1.0987462051303964e-09,2.5271162940043723e-08
1917,1.0966424435210342e-09,3.838248618937001e-08
1918,0.0,3.101321599530138e-08
1919,0.0,5.432630545421091e-08
1920,7.572231730534895e-10,6.890731008013518e-08
1921,0.0,5.073740894090406e-08
1922,2.951174193910333e-09,5.607231079451935e-08
