year,des_DET ouverts_ADJ,des_DET couverts_NOUN
1800,0.0,3.772997558826319e-08
1801,0.0,6.191074675143682e-08
1802,0.0,5.147032311469957e-08
1803,0.0,8.581492494386112e-08
1804,0.0,5.19088700912107e-08
1805,0.0,9.381496113292087e-08
1806,0.0,4.3225035994964855e-08
1807,0.0,1.4804166426074516e-07
1808,0.0,5.4385775882792586e-08
1809,0.0,1.6265019553429738e-07
1810,0.0,4.44624070894406e-08
1811,0.0,8.774768645025688e-08
1812,0.0,6.401299401659344e-08
1813,0.0,1.0927818294703684e-07
1814,0.0,1.5733386149463513e-08
1815,0.0,1.3486118000116676e-08
1816,0.0,4.6352077731626196e-08
1817,0.0,7.628679876692246e-08
1818,0.0,6.556647491606782e-08
1819,0.0,3.9333990287104825e-08
1820,0.0,9.01852530432734e-08
1821,0.0,6.508582117703554e-08
1822,0.0,6.115625694746996e-08
1823,0.0,4.8425167209487086e-08
1824,0.0,7.410579350164426e-08
1825,0.0,6.339919167430708e-08
1826,0.0,5.989429041619587e-08
1827,0.0,7.373818533551457e-08
1828,0.0,4.769596628761974e-08
1829,0.0,9.344762086360703e-08
1830,0.0,7.514522071261354e-08
1831,0.0,9.04289956249471e-08
1832,0.0,6.088486359523415e-08
1833,0.0,7.529358525548702e-08
1834,0.0,6.254136053485126e-08
1835,0.0,7.789980571715205e-08
1836,0.0,1.1761312634916976e-07
1837,0.0,5.427154903259179e-08
1838,0.0,5.617824072601252e-08
1839,0.0,7.620707842548313e-08
1840,0.0,7.643626531717018e-08
1841,0.0,1.0658110305428181e-07
1842,0.0,6.842430533282595e-08
1843,0.0,6.792947548905914e-08
1844,0.0,6.421616660645668e-08
1845,0.0,7.421703429599802e-08
1846,0.0,7.376671540271218e-08
1847,0.0,6.795462059727697e-08
1848,0.0,7.562508130831702e-08
1849,0.0,3.77073661184113e-08
1850,0.0,1.0794503424449431e-07
1851,0.0,8.900225711983012e-08
1852,0.0,6.445439737490233e-08
1853,0.0,8.83845885368828e-08
1854,0.0,1.0599155264578997e-07
1855,0.0,9.234070574848374e-08
1856,0.0,8.852993660379838e-08
1857,0.0,4.1004675210842834e-08
1858,4.893676019968041e-10,7.58519789201273e-08
1859,0.0,9.929738098435337e-08
1860,0.0,9.52054260983104e-08
1861,0.0,9.762045150019105e-08
1862,0.0,8.35827478340434e-08
1863,4.994620828036034e-10,8.54080193235518e-08
1864,0.0,7.3359338159662e-08
1865,0.0,6.730787105446723e-08
1866,0.0,9.001384104756482e-08
1867,4.85281148598915e-10,1.0482072987372248e-07
1868,0.0,4.841076550743395e-08
1869,0.0,8.936839779316585e-08
1870,0.0,4.7019200533071626e-08
1871,0.0,1.083360103848463e-07
1872,0.0,7.740594631933106e-08
1873,0.0,1.257060957549072e-07
1874,0.0,1.0276327655489581e-07
1875,0.0,9.95545714199686e-08
1876,0.0,1.1426967794214704e-07
1877,0.0,1.0823427942785457e-07
1878,6.039088673581716e-10,8.998241879387692e-08
1879,0.0,8.064309042765672e-08
1880,0.0,7.508879873441288e-08
1881,0.0,1.0737661626514239e-07
1882,0.0,6.522277118392594e-08
1883,0.0,8.720687666441407e-08
1884,0.0,1.0628732383111128e-07
1885,0.0,7.09019918887499e-08
1886,0.0,6.388929157941092e-08
1887,0.0,7.37768491299029e-08
1888,0.0,7.228300957784484e-08
1889,0.0,6.202485280937253e-08
1890,0.0,9.307228615584862e-08
1891,6.374220040683554e-10,1.2047276243265514e-07
