year,tonneaux_NOUN ouverts_ADJ,tonneaux_NOUN couverts_ADJ
1800,3.458580977167003e-08,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,5.19088700912107e-08,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,0.0,4.555128185756985e-08
1808,0.0,0.0
1809,0.0,0.0
1810,1.6380887757350138e-08,2.3401267590372754e-09
1811,0.0,0.0
1812,1.0668832928217853e-08,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,1.1588019432906549e-08
1817,1.556873407970727e-09,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,1.1866481131050932e-09
1821,0.0,7.88919063410276e-09
1822,0.0,0.0
1823,4.941343334508019e-09,0.0
1824,8.421112696055388e-10,5.052667617633233e-09
1825,8.805443041381977e-10,0.0
1826,1.4973572604048968e-08,0.0
1827,3.6869092223668076e-09,0.0
1828,0.0,1.7427371545863934e-08
1829,0.0,8.57317605795771e-10
1830,4.174734336004349e-09,5.218417697960831e-09
1831,1.2472964883158966e-08,0.0
1832,0.0,1.3529969367098715e-09
1833,2.3167257001688313e-09,0.0
1834,0.0,1.8669061851994684e-09
1835,4.5378527602224494e-09,7.563087933704082e-10
1836,6.720750067579218e-10,1.3441500135158435e-09
1837,0.0,2.0873671680021744e-09
1838,2.5248647617104325e-09,0.0
1839,0.0,2.7965900706306e-09
1840,0.0,9.554533164646273e-09
1841,0.0,1.926164561183441e-09
1842,4.695785538189057e-09,0.0
1843,0.0,1.7720733769266417e-09
1844,5.488561272137815e-10,3.2931368743049916e-09
1845,3.9061593959388574e-09,2.7901139176833567e-09
1846,2.9272506640865004e-09,0.0
1847,1.0247124926365814e-08,5.393223645455691e-10
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,2.0366988096043315e-09
1851,0.0,6.449438760824933e-10
1852,5.859490670445666e-09,0.0
1853,2.9859659189668264e-09,5.971931837933653e-10
