year,trois_DET heures_NOUN,trois_DET coeurs_NOUN
1800,9.856955287546043e-06,6.288328968651058e-09
1801,9.384240911458619e-06,4.7623651688866175e-09
1802,9.269133414591124e-06,4.475680270843441e-09
1803,9.104183050112624e-06,7.021220937986072e-08
1804,8.589682451543013e-06,1.2359254952798437e-08
1805,8.889678269952128e-06,2.842877755426798e-08
1806,1.0846603032632629e-05,5.76333825108577e-09
1807,1.2372866692089701e-05,5.693910232196231e-09
1808,9.277306730837154e-06,2.2660739951163578e-09
1809,1.0079793923978286e-05,0.0
1810,8.950984771161075e-06,9.360507036149102e-09
1811,9.093167463447571e-06,0.0
1812,9.532602007311652e-06,1.3336041604361526e-08
1813,1.2227653648722026e-05,0.0
1814,1.5019089715906375e-05,3.1466771410748606e-09
1815,1.3262248103274032e-05,1.0788894222457657e-08
1816,1.070964712823752e-05,0.0
1817,9.571657415108348e-06,6.227493631882908e-09
1818,1.2228743941022913e-05,8.344824387052086e-09
1819,8.21769864955968e-06,1.035105001712111e-09
1820,1.1775109499012615e-05,0.0
1821,1.0245100057204581e-05,0.0
1822,1.027826131405618e-05,5.012807946513931e-09
1823,1.3750770122555878e-05,9.882686891060644e-10
1824,1.0825339998632444e-05,2.5263338088166165e-09
1825,1.1736774709447673e-05,4.4027217427355936e-09
1826,1.2693186519641131e-05,2.642395191543301e-09
1827,1.092984237516248e-05,0.0
1828,1.0564656321321308e-05,9.172301251858528e-10
1829,9.72541131716298e-06,8.57317605795771e-10
1830,1.1836415069410577e-05,0.0
1831,1.0812501599843927e-05,6.236482219534878e-09
1832,1.0767149689172584e-05,2.705993873419743e-09
1833,1.278485049738265e-05,2.3167257001688313e-09
1834,1.3690023052959077e-05,9.334530925997342e-10
1835,1.218035293959474e-05,0.0
1836,1.0187312710741026e-05,1.3441500135158435e-09
1837,1.067966670120768e-05,2.087367279024477e-09
1838,1.0738249898167851e-05,1.2624323808552163e-09
1839,9.9558610315853e-06,6.9914751765765e-10
1840,1.0751397084618475e-05,1.2739377330817092e-09
1841,1.1331626382116156e-05,6.420548537278137e-10
1842,1.1548949174766676e-05,2.0124795163667386e-09
1843,9.265580956707709e-06,1.1813822142769936e-09
1844,8.643935586860607e-06,1.6465683816413446e-09
1845,8.611965597538074e-06,2.2320911785556063e-09
1846,1.0412230437850667e-05,1.1709002656346001e-09
1847,1.0366854752419385e-05,5.393223645455691e-10
1848,1.095115575822092e-05,1.6090443422100975e-09
1849,1.1821678725709717e-05,0.0
1850,1.0781604231624442e-05,1.3577992064028876e-09
1851,1.0807969516690719e-05,0.0
1852,1.0607631594439226e-05,6.510545436100301e-10
1853,1.1411167477604067e-05,1.1943863675867306e-09
1854,1.0939990886527085e-05,1.0391328908454511e-09
1855,1.1208781785398969e-05,3.714855978387277e-09
1856,1.0352825086101802e-05,5.177189232874468e-10
1857,1.2129085320111699e-05,9.763018171682347e-10
1858,1.1808439921878744e-05,9.787352039936081e-10
1859,1.0826978524391961e-05,1.5276520048956854e-09
1860,1.2147388105177015e-05,2.746310373558103e-09
1861,1.1575332962365792e-05,1.1318313064556662e-08
1862,1.24240104639739e-05,2.2589932147099034e-09
1863,1.10341167101069e-05,1.9978483312144135e-09
1864,1.0369557884359892e-05,0.0
1865,1.0859631515813817e-05,4.236159978354692e-09
1866,1.091843569156481e-05,4.865612912574591e-10
1867,1.0138493848899088e-05,3.88224918879132e-09
1868,1.2719681592443521e-05,1.4819622196071691e-09
1869,1.1870858088514069e-05,4.883519144627257e-10
1870,1.1292062083612109e-05,2.2936195165357276e-09
1871,1.7397487994230687e-05,0.0
1872,1.3994148247320481e-05,1.2094678591978436e-09
1873,1.224018222956147e-05,2.9930022349411445e-09
1874,1.3902317874681103e-05,2.3898436563030145e-09
1875,1.2496387427063382e-05,5.721527140956084e-10
1876,1.1298188098862738e-05,4.836811839936672e-09
1877,1.0896408753069409e-05,3.0924081073635534e-09
1878,1.0093732612403983e-05,1.2078177347163432e-09
1879,1.0636335474600855e-05,3.0546627449723474e-09
1880,1.054131249134116e-05,5.134277225593564e-09
1881,1.1499756908506242e-05,2.091752326904839e-09
1882,1.1485863979032729e-05,3.3276925659464496e-09
1883,1.1408302327708952e-05,1.8958017378167824e-09
1884,1.1921344651000254e-05,1.3203393933736152e-09
1885,1.1627926880919404e-05,3.2228177904158883e-09
