year,nos_DET hôtes_NOUN,nos_DET côtes_NOUN
1800,3.1441645020890974e-07,2.2606541691949644e-06
1801,2.643112679834303e-07,1.619204124780893e-06
1802,3.871463434279576e-07,1.828315419061255e-06
1803,1.1507001396182659e-07,2.8787007195774095e-06
1804,2.2246658271107833e-07,2.0021992721552806e-06
1805,1.7341554237049195e-07,1.125779560240403e-06
1806,1.6425513749140919e-07,1.5215212982866433e-06
1807,1.708173051895301e-07,1.1957211345503538e-06
1808,1.1556977064230978e-07,1.123972696248643e-06
1809,1.5361406724423432e-07,1.2198764558490893e-06
1810,1.8721013850253598e-07,1.06943798217074e-06
1811,1.4791752533938052e-07,1.0153660787715069e-06
1812,2.0270782741249604e-07,6.507987819759364e-07
1813,2.243078540686838e-07,7.448170862289771e-07
1814,4.153613915036658e-07,1.4600581597079554e-06
1815,1.3486118000116676e-07,1.4430146562105506e-06
1816,2.665244416277801e-07,1.7080740271069317e-06
1817,1.6502858457556613e-07,2.512793717102113e-06
1818,2.7537919322639937e-07,1.5998219478063902e-06
1819,1.4077427690217803e-07,1.5982020795668461e-06
1820,2.75302352470419e-07,1.3860049579150768e-06
1821,2.0413280310549453e-07,8.42171123061064e-07
1822,2.917454366979655e-07,1.452711700267173e-06
1823,3.379878918963186e-07,1.5673941349270137e-06
1824,2.0547514356650254e-07,1.2202192642973841e-06
1825,2.2806097099703493e-07,1.7417166517930127e-06
1826,2.554315337022217e-07,1.4110391415300683e-06
1827,1.7236300209333422e-07,1.9015233849728475e-06
1828,1.7885986736132509e-07,1.8968319217549379e-06
1829,1.6374766609317248e-07,2.094426996279708e-06
1830,4.98880751820252e-07,1.9600377321182805e-06
1831,1.9800831907446081e-07,1.6308402113196507e-06
1832,2.543634209928314e-07,1.4436477169255113e-06
1833,6.081404748670138e-07,1.546414349462566e-06
1834,3.63113244361557e-07,1.7408899939397315e-06
1835,3.3882634653537025e-07,1.4369867287200577e-06
1836,2.2312890735065594e-07,1.8549270457413058e-06
1837,2.1430303576153165e-07,1.4047981338194404e-06
1838,1.9883309931856274e-07,1.4233925345052967e-06
1839,2.447016349549358e-07,1.6080392466477633e-06
1840,2.2867181748154053e-07,1.3612024591935779e-06
1841,2.6260043739512184e-07,1.3515254373430707e-06
1842,1.8984390237619664e-07,1.5898588081597609e-06
1843,2.7053653539610423e-07,1.1636614782872812e-06
1844,2.1350503764949735e-07,1.406718231677928e-06
1845,1.562463802784464e-07,1.3532052376419301e-06
1846,2.2188560144797975e-07,1.3922004287181267e-06
1847,1.7905502058823686e-07,1.5559450012858633e-06
1848,2.276797772537975e-07,1.1520757903227263e-06
1849,3.4020423633762675e-07,1.4689114467003606e-06
1850,2.3693596773455283e-07,1.1351200974729636e-06
1851,2.7926069279260446e-07,1.6162293974275599e-06
1852,2.1875432487661328e-07,1.8470417160187935e-06
1853,2.7112571032716914e-07,1.2941176539271737e-06
1854,2.7173326166973766e-07,1.1996788895629606e-06
1855,2.361586979304775e-07,1.5575859997341013e-06
1856,2.2365458107742597e-07,1.1653852816095878e-06
1857,2.6262518559860837e-07,1.5191255879898335e-06
1858,2.3049214092907278e-07,1.2150998074389463e-06
1859,2.316938854107775e-07,1.4421034677525313e-06
1860,3.4145792682238607e-07,1.4198424356237638e-06
1861,4.263231261347755e-07,2.2405543482761914e-06
1862,1.7755686521070402e-07,1.4787369133628658e-06
1863,2.906869340790763e-07,1.5103733181920376e-06
1864,2.9823208613777297e-07,1.4206778544689769e-06
1865,2.729969654780007e-07,1.415348087618895e-06
1866,2.676087236253011e-07,1.6304668708500003e-06
1867,3.154327430365811e-07,1.763511718877453e-06
1868,2.43535794197669e-07,1.6622676588529117e-06
1869,3.6577557693817653e-07,1.436243032060247e-06
1870,3.302812210392858e-07,1.4965867016769607e-06
1871,4.482136795047609e-07,1.980849637206461e-06
1872,4.58388313973046e-07,1.6587851483507166e-06
1873,3.1845543269071186e-07,1.5467835439153532e-06
1874,2.843913851080515e-07,1.3281556068278633e-06
1875,2.797826876843601e-07,1.3211005835955802e-06
1876,3.083467650100147e-07,1.6560034405976864e-06
