year,autres_ADJ anneaux_NOUN,autres_ADJ canaux_NOUN
1800,1.4148740490327327e-07,4.27606380526413e-07
1801,6.667310969987739e-08,1.976381582835529e-07
1802,7.832440473976021e-08,2.752543366568716e-07
1803,3.0230256697905133e-07,2.554944273924775e-07
1804,6.179627121127851e-08,3.633620906384749e-07
1805,4.8328921309348516e-08,1.4214388954769674e-07
1806,5.4751712497136396e-08,3.227469278499484e-07
1807,1.1387820464392462e-08,1.9074599322266295e-07
1808,8.157866204783204e-08,1.5862518409903714e-07
1809,2.4849335034105025e-08,3.5466780445858603e-07
1810,7.020380277111826e-09,1.3806747745093162e-07
1811,7.019814773912003e-08,2.85806748934192e-07
1812,1.3336041604361526e-08,2.667208320872305e-07
1813,6.901780125190271e-08,1.9555042740648787e-07
1814,0.0,1.195737269199526e-07
1815,1.3486118000116676e-08,1.7531952778426785e-07
1816,5.052376650382939e-07,3.3605255111979204e-07
1817,1.3389110620209976e-07,1.1832237589715078e-07
1818,2.384235386898581e-08,1.9908365800347383e-07
1819,3.726378139390363e-08,2.856889693703124e-07
1820,6.051905643289501e-08,1.8155715508783032e-07
1821,4.7335142028259725e-08,1.715899031751178e-07
1822,2.3058916553964082e-08,4.070400052569312e-07
1823,2.174191138237802e-08,1.9666546791086148e-07
1824,6.14741253457396e-08,1.978961421400527e-07
1825,8.541280038798504e-08,1.7875049707072321e-07
1826,3.963592831723872e-08,1.9201405621060985e-07
1827,4.3321183085254233e-08,1.6591091878126463e-07
1828,6.420610532131832e-08,2.302247565921789e-07
1829,5.401101077495696e-08,3.9522342376585584e-07
1830,7.410153557430021e-08,2.4004722831705294e-07
1831,2.0268567268999504e-08,2.05803914354874e-07
1832,1.6371262745451531e-07,1.9212556878756004e-07
1833,6.834341093053808e-08,2.988576284224109e-07
1834,1.0174638731541563e-07,1.8295681059044e-07
1835,4.9160071569076536e-08,1.663879345414898e-07
1836,5.2421849972006385e-08,1.7877195546134317e-07
1837,5.775049416456568e-08,2.0525777699731407e-07
1838,6.94337813911261e-08,3.099271452811081e-07
1839,5.663094881924735e-08,1.7338858526727563e-07
1840,7.96211097053856e-08,3.0574506126868073e-07
1841,5.778493772368165e-08,2.112360419914694e-07
1842,3.5553803456878086e-08,1.4691100602703955e-07
1843,2.8943864194275193e-08,2.622668375806825e-07
1844,5.927646284931143e-08,1.65205690905168e-07
1845,4.575786860527842e-08,1.9809809259641042e-07
1846,6.264316709803097e-08,1.399225766363088e-07
1847,5.2853593501822616e-08,1.5154958532548335e-07
1848,4.666228647920434e-08,1.592953964291155e-07
1849,7.0387088157986e-08,1.6339859598701878e-07
1850,8.418355434969271e-08,1.1337623107010586e-07
1851,5.288539739467524e-08,1.631707959859341e-07
1852,1.2955985084772692e-07,1.2174720609436918e-07
1853,5.1358615138497044e-08,1.475067108458461e-07
