year,lacs_NOUN ouverts_ADJ,lacs_NOUN couverts_ADJ
1800,0.0,9.432493897065797e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,1.3427040812530322e-08
1803,0.0,7.801356893821776e-09
1804,0.0,0.0
1805,0.0,5.685755422035754e-09
1806,0.0,2.881669125542885e-09
1807,0.0,0.0
1808,0.0,2.2660739951163578e-09
1809,0.0,1.129515236897305e-08
1810,0.0,1.8721014072298203e-08
1811,0.0,5.0141535368197765e-09
1812,0.0,2.1337665856435706e-08
1813,0.0,3.163315653864629e-08
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,3.0128852301913867e-08
1817,0.0,0.0
1818,0.0,1.7881765401739358e-08
1819,0.0,0.0
1820,0.0,2.610625848831205e-08
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,1.3835761869529506e-08
1824,0.0,6.736890156844311e-09
1825,0.0,2.0252519661312363e-08
1826,0.0,1.4973572604048968e-08
1827,0.0,0.0
1828,0.0,9.172301251858528e-10
1829,0.0,7.715858174606183e-09
1830,0.0,5.218417697960831e-09
1831,0.0,1.091384405071949e-08
1832,0.0,0.0
1833,0.0,0.0
1834,0.0,1.8669061851994684e-09
1835,0.0,1.3613558280667348e-08
1836,0.0,6.72075017860152e-09
1837,0.0,6.262101948095733e-09
1838,0.0,4.418513555037862e-09
1839,0.0,2.0974426639952526e-09
1840,0.0,4.458782232319436e-09
1841,0.0,6.420548537278137e-10
1842,0.0,4.695785538189057e-09
1843,0.0,2.3627644285539873e-09
1844,0.0,4.390849017710252e-09
1845,0.0,2.7901139176833567e-09
1846,0.0,5.269050973311096e-09
1847,0.0,2.1572894581822766e-09
1848,0.0,8.04522137798358e-09
1849,0.0,4.1897072478036534e-09
1850,0.0,1.3577992064028876e-09
1851,6.449438760824933e-10,3.8696632564949596e-09
1852,0.0,1.3021090872200602e-09
1853,0.0,1.7915795513800958e-09
1854,0.0,5.195664343204953e-09
1855,0.0,5.837630823180007e-09
1856,0.0,0.0
1857,0.0,7.810414537345878e-09
1858,0.0,9.787352039936081e-10
1859,0.0,5.092173349652285e-10
1860,0.0,4.119465657481669e-09
1861,0.0,6.6023493339173456e-09
1862,0.0,1.3553959066214816e-09
1863,0.0,9.989241656072068e-10
1864,0.0,4.315255264231155e-09
1865,0.0,1.882737743486018e-09
1866,0.0,4.379051787850585e-09
1867,9.7056229719783e-10,1.455843445796745e-09
1868,0.0,1.975949626142892e-09
1869,0.0,0.0
1870,0.0,0.0
1871,0.0,1.0621177271019633e-09
1872,0.0,1.8142017887967654e-09
