year,aux_ADP heures_NOUN,aux_ADP coeurs_NOUN
1800,8.269152402817781e-07,5.973912209356058e-08
1801,9.59616592410839e-07,4.524246932646747e-08
1802,8.190494611426402e-07,4.2518962573012686e-08
1803,7.21625518451674e-07,7.996390571918255e-08
1804,9.269441036963144e-07,4.696516864299838e-08
1805,1.1343082420012252e-06,6.254330742194725e-08
1806,1.1036793097218833e-06,7.204172813857213e-08
1807,1.1217003361707611e-06,3.701041606518629e-08
1808,1.0854494298939699e-06,5.4385776770971006e-08
1809,1.3463821737502712e-06,3.840352036377226e-08
1810,1.0085946797744327e-06,8.190443967492911e-08
1811,1.1883544175361749e-06,1.0028307073639553e-08
1812,9.2285405628445e-07,3.7340913472405646e-08
1813,9.08734353544105e-07,4.026038280535715e-08
1814,1.1170703402285653e-06,4.405347864278042e-08
1815,9.413310255723673e-07,2.6972236000233352e-08
1816,1.0660977523002657e-06,5.0987287281145655e-08
1817,1.008854006556703e-06,3.5808088605371324e-08
1818,1.0454872381160385e-06,3.4571415286066554e-08
1819,7.783989346421549e-07,3.3123360054787554e-08
1820,9.967844150082783e-07,2.610625848831205e-08
1821,9.486751686438311e-07,2.859831660373402e-08
1822,1.013589752574262e-06,1.7043547018147365e-08
1823,9.546675645566438e-07,1.7788837070042973e-08
1824,1.0139020005794919e-06,2.189489300974401e-08
1825,1.1746460693018435e-06,2.0252518551089338e-08
1826,1.1978859149053278e-06,2.201995996653494e-08
1827,1.2434101073210968e-06,2.4886637361998254e-08
1828,1.0942554986570485e-06,3.0268594741755805e-08
1829,1.176239699418602e-06,2.05756223170539e-08
1830,1.0603825018051793e-06,8.349468894053302e-09
1831,1.0835887671589717e-06,2.18276889896174e-08
1832,9.97158714710622e-07,2.5706942574643676e-08
1833,1.1965888582210482e-06,1.1583628500844156e-08
1834,1.1892192279816527e-06,2.146942135183849e-08
1835,1.4369866505603568e-06,1.285724948729694e-08
1836,1.2749262801037275e-06,9.409050427677812e-09
1837,1.2851224227006242e-06,8.349469338142512e-09
1838,1.2933620254784728e-06,1.7674052887883818e-08
1839,1.1724704265247965e-06,1.0487213097931658e-08
1840,1.3561066651845977e-06,2.0383003729307347e-08
1841,1.2006426075572563e-06,1.0914932513372833e-08
1842,1.314149081110827e-06,1.8112315647300647e-08
1843,1.570647665261049e-06,9.451057714215949e-09
1844,1.4627015509915964e-06,2.4149669985984445e-08
1845,1.4458370145575827e-06,8.370341586516616e-09
1846,1.5081195385846513e-06,1.5221703231205197e-08
1847,1.5672707647240713e-06,1.6179670936367074e-08
1848,1.7240910423765854e-06,8.84974404868899e-09
1849,1.6959935926763592e-06,9.217355989576959e-09
1850,1.4772855436717691e-06,9.504594444820214e-09
1851,1.6446068613618081e-06,9.0292140431103e-09
1852,1.72724773506161e-06,9.765818376195057e-09
1853,1.7933711333739666e-06,1.134667004798473e-08
1854,1.7925042783417666e-06,7.793496625829732e-09
1855,1.6393128490221898e-06,1.0083180512765466e-08
1856,1.7949314852216958e-06,9.836659820017246e-09
1857,1.8139687654183945e-06,1.269192401176511e-08
1858,1.5454228687872273e-06,3.9149408159744326e-09
1859,1.9375719233494237e-06,8.656694694408884e-09
1860,1.8024949994810413e-06,4.577183854159728e-09
1861,1.6274791150294732e-06,3.3011745559363703e-09
1862,1.8202966316493985e-06,9.939570083661309e-09
1863,1.925426275306563e-06,8.49085551868356e-09
1864,1.9011095986343207e-06,8.151037511616721e-09
1865,1.8173125937437362e-06,9.884373430857352e-09
1866,1.7632981439419382e-06,8.758102965078507e-09
1867,1.748953224023353e-06,1.3102591012170706e-08
1868,1.8099698309015366e-06,2.0747471962678787e-08
1869,1.9304550704646317e-06,8.790334682373668e-09
1870,1.696131654682631e-06,9.17447851023212e-09
1871,1.7641774903154328e-06,6.37270636261178e-09
