year,sois_VERB en_ADP
1800,1.2262241000371432e-07
1801,3.309843918941624e-07
1802,2.0364345232337655e-07
1803,1.6967950955404376e-07
1804,2.1999473176492756e-07
1805,2.2743022043414385e-07
1806,3.4580028795971884e-07
1807,2.0213381901612593e-07
1808,1.0650547466184435e-07
1809,2.4849336455190496e-07
1810,1.778496283577624e-07
1811,1.2535383575595915e-07
1812,1.9203899626063503e-07
1813,2.5881675469463516e-07
1814,2.0768068509369186e-07
1815,1.3216394734172354e-07
1816,9.502176112619054e-08
1817,2.7089598120255687e-07
1818,2.5988165930357354e-07
1819,3.8609417174484406e-07
1820,2.8479553293436766e-07
1821,3.2838755714692525e-07
1822,2.8773519034075434e-07
1823,2.777034922019084e-07
1824,3.974765263592417e-07
1825,2.535967666972283e-07
1826,1.8937166146315576e-07
1827,1.963279174788113e-07
1828,1.7610818758839741e-07
1829,1.8260864464991755e-07
1830,2.3795985271135578e-07
1831,2.2919073217053665e-07
1832,2.8277636943130346e-07
1833,1.7722950929055514e-07
1834,1.6708810335330782e-07
1835,2.465566808496078e-07
1836,2.2312890735065594e-07
1837,2.4004722831705294e-07
1838,2.2281930966983055e-07
1839,2.7686240855473443e-07
1840,1.7898824467010854e-07
1841,1.1492782192590312e-07
1842,1.5764422300890146e-07
1843,2.0201635209105007e-07
1844,1.6685226000845432e-07
1845,1.5959452071001579e-07
1846,2.119329423067029e-07
1847,1.2620142797459266e-07
1848,1.4803208614466712e-07
1849,1.349085749779988e-07
1850,1.5207351111712342e-07
1851,1.5994608304481517e-07
1852,1.6927418755585677e-07
1853,1.6124215562740574e-07
1854,1.8860261263853317e-07
1855,2.3775078261678573e-07
1856,2.0242809739556833e-07
1857,1.493741734748255e-07
1858,2.0308755210862728e-07
1859,1.8077214747336257e-07
1860,1.4967390882247855e-07
1861,2.1268996874823642e-07
1862,2.36742479842178e-07
1863,1.6981711326025106e-07
1864,1.6829494597914163e-07
1865,2.1133730854216992e-07
1866,1.7175614175357623e-07
1867,1.3345231764105847e-07
1868,1.5313609935674322e-07
1869,1.8508536925310182e-07
1870,1.6972784067093016e-07
1871,2.0711296144781954e-07
1872,2.08028467341137e-07
1873,1.676081211599012e-07
1874,1.654966723663165e-07
1875,1.882382463236354e-07
1876,1.6566080773827707e-07
1877,2.0162499936304812e-07
1878,1.5460067004369193e-07
1879,1.6983923956104263e-07
1880,2.002367978093389e-07
1881,1.4363365608005552e-07
1882,2.049858665031934e-07
1883,1.7630955539971183e-07
1884,1.386356416333001e-07
1885,1.1731057014685575e-07
1886,1.2261581616712647e-07
1887,1.416776598262004e-07
1888,1.204716824076968e-07
1889,1.4723070762556745e-07
1890,1.415747448163529e-07
1891,1.1728565141311265e-07
1892,1.5608596015681542e-07
1893,9.91505046954444e-08
1894,1.2792125403393584e-07
1895,1.1194622828725187e-07
1896,1.0260830407560206e-07
1897,1.1070756045228336e-07
1898,1.2391797099553514e-07
1899,1.1939569333208055e-07
1900,1.256234867241801e-07
1901,1.4363058653543703e-07
1902,1.0949933226811481e-07
1903,1.4418587568343355e-07
1904,1.343656350627498e-07
1905,1.0682771289793891e-07
1906,8.539346652014501e-08
1907,1.2497109480591462e-07
1908,1.2867839416230709e-07
1909,1.2322203701842227e-07
1910,9.779795817621562e-08
1911,9.523469657324313e-08
1912,1.1408632616394243e-07
1913,1.2090816881027422e-07
1914,1.3125617215337115e-07
1915,8.010918151057922e-08
1916,9.668966782783173e-08
1917,1.1295416868506436e-07
1918,8.959373332118048e-08
1919,9.484083562938395e-08
1920,1.0525402416305951e-07
1921,8.330022183145047e-08
1922,1.0476668421688373e-07
1923,1.5180805235104344e-07
1924,1.9208520996016887e-07
1925,1.4957521443648147e-07
1926,1.4601441478134802e-07
1927,1.705831351728193e-07
1928,1.3368467932650674e-07
1929,1.5262357067058474e-07
1930,1.344461253438567e-07
1931,1.1519410492155657e-07
1932,1.249387224788734e-07
1933,1.422362174707814e-07
1934,1.4737344145032694e-07
1935,1.2686381012372294e-07
1936,1.0306007425242569e-07
1937,1.44797851930889e-07
1938,1.0890779833516717e-07
1939,1.0858775567612611e-07
1940,1.141102288215734e-07
1941,1.3576911328527785e-07
1942,1.061974117533282e-07
1943,1.335488235554294e-07
1944,1.0603514510876266e-07
1945,1.524952892850706e-07
1946,1.7122958695381385e-07
1947,2.0146272561305523e-07
1948,1.2720109054953355e-07
1949,1.3056620673523867e-07
1950,1.4889505450810248e-07
1951,1.5885488835465367e-07
1952,1.1177492353908747e-07
1953,1.6053002127591753e-07
1954,1.417017756466521e-07
1955,1.389069979040869e-07
1956,1.5785266782586405e-07
1957,1.510791491909913e-07
1958,1.5138205355924583e-07
1959,1.3408794075076003e-07
1960,1.4256916358590388e-07
1961,1.6606099961791188e-07
1962,1.1415521328217437e-07
1963,1.868689452066974e-07
1964,1.8069385987473652e-07
1965,1.2749860900385102e-07
1966,1.3459951730965258e-07
1967,1.4988219732003927e-07
1968,1.4372530188211385e-07
1969,1.3670691600964346e-07
1970,1.200267263357091e-07
1971,1.397644098233286e-07
1972,1.4107904178217723e-07
1973,1.2404709082147747e-07
1974,1.2038722729812434e-07
1975,1.0794697402616293e-07
1976,1.4626628797032026e-07
1977,8.521333683120247e-08
1978,1.4019795457898e-07
1979,1.0592071930659586e-07
1980,1.3416955368938943e-07
1981,1.201854473720232e-07
1982,1.5394606123209087e-07
1983,1.3072704518890532e-07
1984,1.0844146203226046e-07
1985,1.2813138994260953e-07
1986,1.2348640154868917e-07
1987,1.4971500661431492e-07
1988,1.3792073616514244e-07
1989,1.317149269652873e-07
1990,1.0842815356681967e-07
1991,1.2895223733266903e-07
1992,1.239737486002923e-07
1993,1.3072529725377535e-07
1994,1.2396077408993733e-07
1995,1.312233166572696e-07
1996,1.483989677808495e-07
1997,1.5391611896120594e-07
1998,1.4638156642376998e-07
1999,1.2750861344557052e-07
