year,mêmes_ADJ ans_NOUN,mêmes_ADJ camps_NOUN
1800,0.0,6.288328968651058e-09
1801,1.4287095950749062e-08,0.0
1802,0.0,8.951360541686881e-09
1803,0.0,5.851017448321727e-09
1804,2.4718509461507665e-09,0.0
1805,0.0,5.685755422035754e-09
1806,0.0,0.0
1807,5.693910232196231e-09,2.8469551160981155e-09
1808,0.0,6.798221985349073e-09
1809,4.518061036407062e-09,2.259030518203531e-09
1810,2.3401267590372754e-09,2.3401266702194334e-08
1811,2.5070767684098882e-09,0.0
1812,0.0,1.0668832928217853e-08
1813,2.8757416448144113e-09,0.0
1814,0.0,9.440030979135372e-09
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,0.0,0.0
1818,5.960588467246453e-09,0.0
1819,1.035105001712111e-09,0.0
1820,1.0679833017945839e-08,9.493184904840746e-09
1821,4.930744257336528e-09,0.0
1822,1.0025615893027862e-09,0.0
1823,1.9765373782121287e-09,1.4824030003524058e-08
1824,8.421112696055388e-10,3.3684450784221553e-09
1825,1.7610886082763955e-09,0.0
1826,2.642395191543301e-09,5.284790383086602e-09
1827,1.8434546111834038e-09,9.217273055917019e-10
1828,1.8344602503717056e-09,3.8523666034961934e-08
1829,8.57317605795771e-10,8.573175946935407e-09
1830,2.0873671680021744e-09,0.0
1831,1.5591206103948707e-09,6.236482441579483e-09
1832,1.3529969367098715e-09,5.411987746839486e-09
1833,1.1583628500844156e-09,0.0
1834,9.334530925997342e-10,0.0
1835,1.5126175867408165e-09,7.563087933704082e-09
1836,1.3441500135158435e-09,9.409050427677812e-09
1837,2.7831562610103333e-09,7.653680356156656e-09
1838,3.1560809521380406e-09,1.2624323808552163e-09
1839,6.9914751765765e-10,9.088918062616358e-09
1840,1.2739377330817092e-09,3.1848443882154243e-09
1841,1.2841097074556274e-09,5.778493683550323e-09
1842,2.0124795163667386e-09,9.391571076378114e-09
1843,3.544146642830981e-09,2.3627644285539873e-09
1844,1.6465683816413446e-09,2.195424508855126e-09
1845,1.674068439427856e-09,1.3392547515422848e-08
1846,5.854501328173001e-10,1.1709002656346001e-09
