year,ses_DET oeufs_NOUN,ses_DET queues_NOUN
1800,6.854278495893595e-07,5.65949598296811e-08
1801,8.619880809135338e-07,2.3811825844433088e-09
1802,9.264658160645922e-07,0.0
1803,3.2453644394081493e-06,3.510610468993036e-08
1804,7.34139717906146e-07,1.7302956178966156e-08
1805,2.3311597452391197e-07,1.421438877713399e-08
1806,7.780506727783632e-08,0.0
1807,1.822051274302794e-07,2.8469551160981155e-09
1808,1.7448769229488903e-07,0.0
1809,1.0165637065462363e-07,2.259030518203531e-09
1810,1.4976810946976116e-07,0.0
1811,7.521230127593981e-08,0.0
1812,5.067695596494559e-08,3.200649700829672e-08
1813,8.339650969801937e-08,2.0130190847567064e-08
1814,1.3530711440168375e-07,3.1466771410748606e-09
1815,5.39444717784221e-08,5.394447111228828e-09
1816,1.8309069993449612e-07,4.1716869958463576e-08
1817,2.2263290322399598e-07,1.556873407970727e-09
1818,3.0041366372302036e-07,7.152706427149269e-09
1819,2.3910925150971707e-07,1.0351049795076506e-08
1820,4.9839219862235495e-08,3.5599443393152796e-09
1821,5.0293590514449704e-08,1.577838126820552e-08
1822,6.015369535816717e-08,5.012807946513931e-09
1823,7.016707892493201e-08,7.906149512848515e-09
1824,7.831634896149353e-08,3.2842340402794434e-08
1825,5.1952114388242876e-08,2.289415235168235e-08
1826,9.7768624973682e-08,1.2331177856594877e-08
1827,7.558163755971847e-08,1.013900075008678e-08
1828,6.51233389437067e-08,5.503380862137419e-09
1829,5.3153690893203986e-08,3.429270423183084e-09
1830,7.723258477199124e-08,1.2524203008013046e-08
1831,3.741889442743229e-08,1.2472964883158966e-08
1832,4.0589908545385356e-08,3.788391467196561e-08
1833,2.89590715851773e-08,5.791814139399776e-09
1834,4.947301368574131e-08,1.8669061851994684e-09
1835,4.0840674842002045e-08,7.563087933704082e-09
1836,6.048675027514605e-08,8.064899859050456e-09
1837,5.635891620059397e-08,6.957891152126194e-09
1838,5.7440673995046154e-08,1.7042836475411605e-08
1839,5.663094793106893e-08,2.586845759822154e-08
1840,3.3759350426265655e-08,6.3696887764308485e-09
1841,5.521671653241356e-08,6.420548537278137e-10
1842,1.0062397848287219e-07,2.0124794275488966e-08
1843,4.961805377678985e-08,5.906910960362666e-09
1844,3.293136835447186e-08,1.0428266250528395e-08
1845,4.296775690804111e-08,1.1718478631905782e-08
1846,4.332331005052481e-08,7.025401371762996e-09
1847,5.3932236454556914e-08,5.393223645455691e-10
1848,3.700802103656642e-08,3.218088684420195e-09
1849,4.5248841340495005e-08,3.3517659758786067e-09
1850,3.530277759011824e-08,1.2220192857625989e-08
1851,2.3862922748918436e-08,7.739326512989919e-09
1852,5.0131199635927715e-08,1.3021090872200602e-09
1853,6.628844229084052e-08,5.971931837933653e-10
1854,1.922395914677466e-08,1.9743524148907454e-08
1855,3.078023524949458e-08,9.552486801567284e-09
1856,2.226191442300518e-08,2.0708756931497874e-09
1857,2.8800904106063285e-08,9.763018171682347e-10
1858,1.5659764096565e-08,8.808616946964776e-09
1859,3.920973368209957e-08,2.036869339860914e-09
1860,7.140407021211104e-08,9.15436793036406e-09
1861,2.923897507445261e-08,5.659156698811785e-09
1862,4.292087130153277e-08,0.0
1863,3.096664924484571e-08,4.994620717013731e-09
1864,1.7740493851725603e-08,7.1920918109924514e-09
1865,2.400490611842443e-08,4.23615986733239e-09
1866,3.259960479340407e-08,2.919367858567057e-09
1867,2.426405742994575e-08,5.82337378318698e-09
1868,2.7169306804353255e-08,1.0867722721741302e-08
1869,3.076617005604021e-08,5.860222973552709e-09
1870,2.1789385407089412e-08,8.601073631098188e-09
1871,1.911811864374613e-08,3.18635318130589e-09
1872,2.3584624031514068e-08,4.23313739617015e-09
1873,3.1725821969530443e-08,2.9930022904522957e-09
1874,3.764003819739514e-08,4.182226565063729e-09
1875,4.1194994082616176e-08,1.716458086775674e-09
1876,2.8416270225761764e-08,6.650616057868319e-09
1877,3.896434142003358e-08,3.5253449937044934e-08
1878,9.058633199110488e-08,7.2469061862534545e-09
1879,2.993569458986656e-08,8.55305515301552e-09
1880,3.016387850607316e-08,1.6044616302224313e-08
1881,3.2770783919833235e-08,1.5339516323820135e-08
1882,3.926677161203429e-08,5.324308105514319e-09
1883,3.5388296737437486e-08,1.3902545781263598e-08
1884,3.6969503014461225e-08,1.1883054540362536e-08
1885,1.740321664556177e-08,1.4824961702686323e-08
1886,4.646494033977433e-08,7.744156427236248e-09
1887,4.1132223627116105e-08,1.3057849246322917e-09
1888,2.4728396663675767e-08,8.876860135842435e-09
1889,3.445825286219062e-08,1.8795409673089125e-09
1890,2.6872984115744458e-08,1.3108772956016423e-09
1891,2.42220359325529e-08,1.9760081571007504e-08
1892,4.2625884599800656e-08,5.014809900671935e-09
1893,4.865149016985981e-08,3.695050043717174e-09
1894,3.843939100356408e-08,6.301539290376468e-09
1895,2.1065151400989635e-08,1.444467478961542e-08
1896,2.6536631059226323e-08,1.7101383420481397e-08
1897,4.836172218247725e-08,4.07869948926276e-09
1898,2.4330926717830437e-08,3.960848538042683e-09
1899,4.69844163575317e-08,5.527578395003729e-09
1900,3.6856476093305446e-08,6.22926377147337e-09
1901,2.4590450786732276e-08,2.235495566438317e-09
1902,3.0934789674308405e-08,5.4013122863239005e-09
1903,2.8081145186931167e-08,1.1880484152015924e-08
1904,3.9772227289347484e-08,1.0211787859759625e-08
1905,3.044847735056422e-08,6.192911072844254e-09
1906,3.240836221607424e-08,9.773950537805831e-09
1907,3.599990411329301e-08,5.142843373384665e-10
1908,3.3397444809679655e-08,8.349361202419914e-09
