year,serons_VERB assez_ADV
1800,1.0375742931501009e-07
1801,5.000483582762172e-08
1802,2.9091921760482364e-08
1803,2.145373123596528e-08
1804,1.9774807569206132e-08
1805,1.1655798459742073e-07
1806,1.152667650217154e-08
1807,3.9857372513552036e-08
1808,2.4926814390369145e-08
1809,4.743964154840796e-08
1810,3.042164919975221e-08
1811,5.0141537144554604e-08
1812,4.800974906515876e-08
1813,7.764502640839055e-08
1814,5.349351184236184e-08
1815,4.5852800667489646e-08
1816,7.416332437060191e-08
1817,6.383181272440197e-08
1818,9.536941902865692e-09
1819,6.93520334493769e-08
1820,6.289234733003468e-08
1821,8.875339574387908e-08
1822,9.724847416237026e-08
1823,7.807322788266902e-08
1824,4.7158231097910175e-08
1825,5.723537910284904e-08
1826,6.165588928297439e-08
1827,4.055600300034712e-08
1828,6.512333783348367e-08
1829,4.029392641768936e-08
1830,5.114049628218709e-08
1831,3.585977381703742e-08
1832,5.411987658021644e-08
1833,4.749287541017111e-08
1834,4.2005389389032644e-08
1835,7.33619529569296e-08
1836,6.38471249203576e-08
1837,1.0228099966980153e-07
1838,6.627769977285425e-08
1839,7.131304613494649e-08
1840,6.497082694068013e-08
1841,5.393260948949319e-08
1842,7.647422251011449e-08
1843,6.14318764746713e-08
1844,5.817874892954933e-08
1845,4.296775557577348e-08
1846,6.264316709803097e-08
1847,3.55952778363644e-08
1848,5.953464210506354e-08
1849,3.854530916669319e-08
1850,6.11009625117731e-08
1851,5.3530342825069965e-08
1852,4.427170807730363e-08
1853,3.1054046445433414e-08
1854,5.7671876163567504e-08
1855,3.92713346286655e-08
1856,6.367942972929086e-08
1857,3.905207179855097e-08
1858,5.0894229275399994e-08
1859,4.786642904264227e-08
1860,6.04188272745887e-08
1861,5.32903889904901e-08
1862,6.596260249125407e-08
1863,3.7459656709870615e-08
1864,5.993410212568051e-08
1865,3.718406915709238e-08
1866,5.352174170525359e-08
1867,3.396968040192405e-08
1868,4.347089088696521e-08
1869,4.102156125895817e-08
1870,7.0528798801206e-08
1871,4.6733180880664804e-08
1872,4.233137573805834e-08
1873,4.070482972906575e-08
1874,4.480956761199195e-08
1875,3.89063856687244e-08
1876,5.8041742079240066e-08
1877,3.401648740464225e-08
1878,2.959153455606156e-08
1879,5.070739916845923e-08
1880,2.8238524407697696e-08
1881,2.1614773970668466e-08
1882,5.390861801402025e-08
1883,4.549924170760278e-08
1884,5.743476449993068e-08
1885,1.5469526104539e-08
1886,1.2261581083805595e-08
1887,4.7661149693567495e-08
1888,3.4873380627686856e-08
1889,5.6386230795624215e-08
1890,3.6704562944578356e-08
1891,4.716922674674606e-08
1892,5.4536059224119526e-08
1893,2.894455697344256e-08
1894,2.2055386850183822e-08
1895,4.754705429377282e-08
1896,3.007484750128242e-08
1897,3.3212266714599536e-08
1898,2.9423445013776472e-08
1899,4.311511148102909e-08
1900,2.9589003247565415e-08
