year,soyez_VERB assez_ADV
1800,1.572082215517412e-07
1801,1.0239085135310688e-07
1802,1.3650824826072494e-07
1803,5.070881914370773e-08
1804,1.2853625008801828e-07
1805,1.4214388954769674e-07
1806,5.763338339903612e-08
1807,7.971474014212276e-08
1808,8.157866693281335e-08
1809,1.1295152457790891e-07
1810,1.4508786350120317e-07
1811,4.011322651820137e-08
1812,6.668020802180763e-08
1813,8.052076339026826e-08
1814,3.776012702516596e-08
1815,8.631115333557204e-08
1816,4.8669683394564345e-08
1817,5.449056994510926e-08
1818,7.391129708267385e-08
1819,9.212434370908795e-08
1820,1.5901084182701197e-07
1821,1.5285307242152157e-07
1822,1.1729970594842598e-07
1823,1.5812299380968398e-07
1824,5.052667706451075e-08
1825,9.950150925419621e-08
1826,7.574866422999094e-08
1827,1.0415518936213175e-07
1828,9.814362478266503e-08
1829,6.8585404910948e-08
1830,5.322786211792163e-08
1831,8.107427351689012e-08
1832,1.5288865817808528e-07
1833,1.3668682186107617e-07
1834,1.1108091868550218e-07
1835,1.285724948729694e-07
1836,1.4987272400901475e-07
1837,2.6231248995145506e-07
1838,1.4202364440052406e-07
1839,1.0137638639662327e-07
1840,1.3694831046962008e-07
1841,1.3804179488374757e-07
1842,1.355069514374918e-07
1843,1.5357968763396457e-07
1844,1.5258200392054277e-07
1845,1.7466113533259886e-07
1846,1.1006462230511715e-07
1847,1.0570718700364523e-07
1848,1.5849086665298273e-07
1849,1.3826034894748318e-07
1850,1.4867901398929462e-07
1851,1.289887734401418e-07
1852,1.3867461845507023e-07
1853,1.5049267787503595e-07
1854,1.7976999444613284e-07
1855,1.7406753727300384e-07
1856,1.6152830539795104e-07
1857,1.7719877831723352e-07
1858,2.0993870464280917e-07
1859,2.103067515690782e-07
1860,2.4121759167883283e-07
1861,1.8392258738231249e-07
1862,2.525554307908351e-07
1863,1.8679882174410523e-07
1864,2.1192697374772251e-07
1865,2.235751068724312e-07
1866,1.8051424177656372e-07
1867,2.1109730141688487e-07
1868,1.1312311798405972e-07
1869,2.2708363900392214e-07
1870,1.7947573383025883e-07
1871,2.2516896081015148e-07
1872,1.8988644967521395e-07
1873,1.789815300412556e-07
1874,1.9536972217792936e-07
1875,3.421473167009026e-07
1876,2.0616910489934526e-07
1877,1.4101379974817974e-07
1878,1.6124366197800555e-07
1879,1.808360252653074e-07
1880,1.6365507349291875e-07
1881,1.4502815659511725e-07
1882,1.9034401788076138e-07
1883,9.731781958066676e-08
1884,1.095881714263669e-07
1885,1.3987029490181158e-07
1886,1.2326115950145322e-07
1887,1.2796692416827682e-07
1888,1.0271795858329824e-07
1889,1.516163088410849e-07
1890,1.0880281564595862e-07
1891,1.1027400859120462e-07
1892,1.297582095105554e-07
1893,1.1146734024691796e-07
1894,1.3107201368711685e-07
1895,1.0051086007933918e-07
1896,1.7750057423882026e-07
1897,1.0313283027585385e-07
1898,1.2674714966465217e-07
1899,1.0723502086307235e-07
1900,1.058974845591365e-07
1901,6.203500291235287e-08
1902,1.2717635300418806e-07
1903,9.936405476196342e-08
1904,1.3705294676924495e-07
1905,1.1560100077190327e-07
1906,8.590788169726693e-08
1907,1.2805680071892311e-07
1908,1.1247081133092252e-07
1909,1.2762281897948924e-07
1910,1.2825961803741848e-07
1911,1.1704822711067209e-07
1912,1.3179835534060658e-07
