year,moins_ADV ouvert_ADJ,moins_ADV couvert_ADJ
1800,7.860410988769218e-08,1.3519907327008696e-07
1801,1.1191558257905854e-07,1.142967676059925e-07
1802,6.265952379180817e-08,3.5805442166747525e-08
1803,6.826187615160961e-08,1.969842600146876e-07
1804,5.6852570651244605e-08,1.0876144429516899e-07
1805,8.812921237222326e-08,2.558589917711629e-08
1806,8.933174200365102e-08,2.881669125542885e-08
1807,7.117387923472052e-08,2.1067468480850948e-07
1808,2.945896149242344e-08,2.4926814390369145e-08
1809,6.09938268780752e-08,5.421673154870632e-08
1810,3.978215445954447e-08,6.786367734434862e-08
1811,2.5070768572277302e-08,6.267691787797958e-08
1812,2.6672083208723052e-08,2.9339290108509886e-08
1813,7.476928232108548e-08,1.0352670187785407e-07
1814,1.1328037885505182e-07,3.1466771410748606e-08
1815,5.1247248222807684e-08,1.6183340889597275e-08
1816,3.244645441213834e-08,9.965696534663948e-08
1817,7.317304806520042e-08,1.1676550570882682e-07
1818,5.0068944545955674e-08,7.510341504257667e-08
1819,6.83169290027763e-08,3.2088255608186955e-08
1820,1.0205173595068118e-07,4.865257352548724e-08
1821,2.7612166775270452e-08,3.155676253641104e-08
1822,4.511527151862538e-08,8.321261191213125e-08
1823,4.743689885344793e-08,2.8659792761231984e-08
1824,4.968456579490521e-08,4.7158229321553335e-08
1825,5.2832657360113444e-08,1.2327619813845558e-08
1826,3.3470339388941284e-08,3.8755132436563144e-08
1827,2.3964910056406552e-08,3.133872894522938e-08
1828,4.035812395386529e-08,3.3020285172824515e-08
1829,6.086955295359076e-08,5.744027831156018e-08
1830,5.5315229730013016e-08,5.218418053232199e-08
1831,6.704218691311326e-08,2.9623292263636358e-08
1832,5.276687886635045e-08,2.841293600397421e-08
1833,6.486831694019202e-08,5.3284690437749305e-08
1834,2.8003592333902816e-08,3.827157613045529e-08
1835,5.672315950278062e-08,2.0420337421001022e-08
1836,5.511014933290426e-08,4.435695188931277e-08
1837,5.705470584871364e-08,4.5226290268374214e-08
1838,4.418513199766494e-08,2.1461350030449466e-08
1839,3.915226187700682e-08,4.1249702320556025e-08
1840,5.477932418784803e-08,4.0766007458614695e-08
1841,3.9165346521485844e-08,3.2102743574569104e-08
1842,6.77534757187459e-08,2.1466448174578545e-08
1843,4.8436671562512856e-08,2.7171790151214736e-08
1844,4.281077892187568e-08,5.1592476069117765e-08
1845,5.133809821700197e-08,3.794555070157912e-08
1846,6.615586300995346e-08,3.688335681317767e-08
1847,3.937053350000497e-08,4.58424018745518e-08
1848,1.689496542667257e-08,3.057184372323718e-08
1849,6.033178578945808e-08,5.027649052635752e-08
1850,6.245876704724651e-08,4.8880772318682375e-08
1851,4.6435957301582675e-08,2.0638204034639784e-08
1852,3.906327350478023e-08,2.539112697874657e-08
1853,4.538668108011734e-08,4.658106789179328e-08
1854,4.052618152172727e-08,3.740878540270387e-08
1855,6.156047049898916e-08,3.290301009428731e-08
1856,2.1226476576430287e-08,3.1063134287023786e-08
1857,4.149282872845106e-08,4.637433548282388e-08
1858,4.0128142586581816e-08,3.1808895073481835e-08
1859,5.29586046127406e-08,2.800695320104296e-08
1860,5.53839250017063e-08,4.7144993686742964e-08
1861,3.678451676591976e-08,4.008569121083383e-08
1862,3.6595690033891515e-08,4.879425219428413e-08
1863,5.743813957792554e-08,1.6981710260211003e-08
1864,5.5618844641003307e-08,2.4932585773740357e-08
1865,4.6597758540656287e-08,2.58876440284439e-08
1866,4.525020003143254e-08,2.6274308950746672e-08
1867,8.298307818677131e-08,2.91168689159349e-08
1868,4.2482916740027576e-08,2.9639244614187987e-08
1869,3.320792885119772e-08,2.539429999615095e-08
1870,4.0711746862598375e-08,1.548193218070537e-08
1871,4.6733180880664804e-08,2.8677177965619194e-08
1872,3.749350341308855e-08,2.418935796111299e-08
1873,3.8909028887701425e-08,2.6937019725892242e-08
1874,1.254667978400903e-07,3.2262889249068394e-08
1875,5.8359578503086595e-08,4.520006413599731e-08
1876,7.13429741949767e-08,4.6554312405078235e-08
1877,5.813727099734933e-08,3.463496867084359e-08
1878,4.9520526346213956e-08,5.193616203769125e-08
1879,4.3987142817059066e-08,6.231511662235789e-08
1880,3.8507078414795615e-08,6.546203223933844e-08
1881,4.044054335849978e-08,7.600033313792665e-08
1882,5.590523599607877e-08,3.660461800336634e-08
1883,5.624211496524367e-08,5.750598575104959e-08
1884,6.40364632431556e-08,4.951272813968899e-08
1885,4.7053141827291256e-08,5.8655285073427876e-08
1886,8.26043375923291e-08,4.646494033977433e-08
1887,5.4842967500690065e-08,4.0479331886444925e-08
1888,8.052580824369215e-08,5.2627100899371726e-08
1889,7.330209683686917e-08,4.573549716724301e-08
1890,5.89894781910516e-08,2.4251230357208442e-08
1891,5.736798058819659e-08,3.059625441892422e-08
1892,2.1312942521944933e-08,2.0686091062316336e-08
1893,4.9883173147691195e-08,4.187723234849727e-08
1894,5.986462525697789e-08,4.0329851458409394e-08
1895,2.5880042997528108e-08,3.069493459406658e-08
1896,2.0639602027472392e-08,1.9460195233023114e-08
1897,3.437761009195128e-08,2.9716238358901137e-08
1898,3.904265000187479e-08,2.319925584970406e-08
1899,4.698441813388854e-08,2.7637891975018647e-08
1900,6.540727071069341e-08,2.491705508589348e-08
1901,4.750427962108006e-08,2.738482152153665e-08
1902,5.3031065760933416e-08,2.1114219705964388e-08
1903,3.186130115295782e-08,1.3500550899436803e-08
1904,3.0635362691100454e-08,4.03096898082822e-08
