year,premiers_ADJ ans_NOUN,premiers_ADJ camps_NOUN
1800,3.804439074883703e-07,0.0
1801,2.881230898310605e-07,0.0
1802,2.842056971985585e-07,8.951360541686881e-09
1803,3.101039283137652e-07,0.0
1804,4.968420626028092e-07,0.0
1805,4.264316544322355e-07,0.0
1806,2.305335300434308e-07,0.0
1807,3.046241943138739e-07,0.0
1808,3.172503681980743e-07,0.0
1809,1.9427662323323602e-07,0.0
1810,3.5101902540191077e-07,2.3401267590372754e-09
1811,2.8329966994533606e-07,0.0
1812,3.2273220540446346e-07,0.0
1813,3.077043686516845e-07,0.0
1814,1.9824065589091333e-07,0.0
1815,2.2926400333744823e-07,0.0
1816,2.9201808615653135e-07,2.3176038865813098e-09
1817,2.6778221240419953e-07,0.0
1818,2.4319200520039885e-07,2.384235475716423e-09
1819,3.6332184549792146e-07,0.0
1820,4.177001358129928e-07,0.0
1821,3.0176153131833416e-07,1.0847637454958203e-08
1822,3.5089655625597516e-07,0.0
1823,3.4787058211804833e-07,0.0
1824,3.8989750805740186e-07,0.0
1825,2.9057960659883975e-07,7.044354433105582e-09
1826,2.563123473464657e-07,1.7615968683770689e-09
1827,2.1199727484599862e-07,0.0
1828,2.2472137573004147e-07,8.255071293206129e-09
1829,1.997550072019294e-07,0.0
1830,2.3587249131651333e-07,1.3567886369969528e-08
1831,2.1983601072861347e-07,0.0
1832,1.9618455837644433e-07,2.705993873419743e-09
1833,2.8959070164091827e-07,1.1583628500844156e-09
1834,2.4549817112529126e-07,0.0
1835,2.1706063080273452e-07,9.075705520444899e-09
1836,2.8025527853969834e-07,0.0
1837,2.3100197665826272e-07,9.045257876039159e-09
1838,1.881024189742675e-07,3.1560809521380406e-09
1839,1.4821927152297576e-07,1.3982950353153e-09
1840,1.5542040898708365e-07,7.0066574764382494e-09
1841,1.8105946253399452e-07,6.420548537278137e-09
1842,1.9722298816304829e-07,0.0
1843,1.1518476839000868e-07,5.906911071384968e-10
1844,1.51484286448067e-07,1.6465684371524958e-09
1845,1.25555132513e-07,1.674068439427856e-09
1846,1.5514429207996727e-07,9.367202125076801e-09
1847,8.359496916909848e-08,2.2651539310913904e-08
1848,1.1906928421012708e-07,1.126331028444838e-08
1849,1.340706319297169e-07,2.513824481908955e-09
1850,1.5954140053509036e-07,1.3577992064028876e-09
1851,1.1157528945204831e-07,1.2898877521649865e-08
1852,1.7578472011336999e-07,0.0
1853,1.528814550511015e-07,1.7915795513800958e-09
1854,1.917200194156976e-07,2.5978321716024766e-09
1855,1.57085338514662e-07,9.021793090369101e-09
1856,1.7809530561407882e-07,1.0354378465748937e-09
1857,1.6206610098379315e-07,9.763018171682347e-10
1858,1.5757636617763637e-07,1.9574704079872163e-09
1859,1.537836311626961e-07,0.0
1860,1.5242022755046492e-07,9.154367819341758e-10
1861,1.4006411674927222e-07,2.357981809808507e-09
1862,1.396057740521428e-07,5.421583626485926e-09
1863,1.423466926553374e-07,4.994620717013731e-09
1864,1.5918496387712366e-07,9.589455896019672e-10
1865,1.1814179146085735e-07,1.882737743486018e-09
