year,dix_DET heures_NOUN
1800,7.020919341016452e-06
1801,6.1005898395194436e-06
1802,5.675162668694611e-06
1803,4.7568772352235555e-06
1804,6.028844321548377e-06
1805,5.137079863715144e-06
1806,7.01974587613563e-06
1807,7.866137025303033e-06
1808,5.463504267666508e-06
1809,7.4593187662230775e-06
1810,5.262945158790444e-06
1811,5.866559732226051e-06
1812,5.48378026365981e-06
1813,8.43455065080434e-06
1814,1.2262600620260855e-05
1815,1.0144257387878497e-05
1816,8.195047442427494e-06
1817,7.093115268475003e-06
1818,8.663119224650018e-06
1819,5.613374533197657e-06
1820,8.299416492718592e-06
1821,7.0016568471942264e-06
1822,6.6128960440892115e-06
1823,8.929995928497192e-06
1824,7.694370836475173e-06
1825,8.97450753711837e-06
1826,9.519669113444706e-06
1827,8.412605019714192e-06
1828,6.895736063938784e-06
1829,6.691363779509629e-06
1830,8.780510412975673e-06
1831,7.808075977777662e-06
1832,8.18563168536457e-06
1833,9.378105929158664e-06
1834,9.144106321912204e-06
1835,7.841409939146615e-06
1836,7.088375241437461e-06
1837,7.583405462696646e-06
1838,6.994506790647392e-06
1839,6.688744427663096e-06
1840,7.849367364087811e-06
1841,8.352491960295083e-06
1842,8.346423172156392e-06
1843,6.54013207679327e-06
1844,6.259704179001346e-06
1845,6.6945992500677676e-06
1846,7.501957796307579e-06
1847,8.178284232940314e-06
1848,9.80551656937223e-06
1849,9.356454881981335e-06
1850,8.51543735791438e-06
1851,8.19078712765986e-06
1852,7.506007875690557e-06
1853,8.083607276887506e-06
1854,7.865196735679092e-06
1855,8.107407666102517e-06
1856,8.133882246852409e-06
1857,9.604857041267678e-06
1858,8.368675182168772e-06
1859,7.72228095513583e-06
1860,9.306788470553329e-06
1861,8.88676160570867e-06
1862,9.66397284685172e-06
1863,8.517327017898424e-06
1864,7.642796518325667e-06
1865,8.035053809862802e-06
1866,8.103191461827919e-06
1867,7.810114965423054e-06
1868,1.0060053526217416e-05
1869,9.033045657247385e-06
1870,8.150950570495752e-06
1871,1.3619535309317143e-05
1872,1.0924518790034199e-05
1873,9.39443576442045e-06
1874,1.0553549472547274e-05
1875,9.085785407592084e-06
1876,8.111938385013673e-06
1877,7.59309870090874e-06
1878,7.2698547839422645e-06
1879,8.28668910912711e-06
1880,7.994069449068775e-06
1881,8.476477461272225e-06
1882,8.639355669970428e-06
1883,8.716263977248673e-06
1884,8.64162169023075e-06
1885,9.400959555705413e-06
1886,8.17589304347166e-06
1887,8.565295843254717e-06
1888,8.679667118371981e-06
1889,8.459814580419334e-06
1890,8.974266194172742e-06
1891,9.403887062831018e-06
1892,9.748163421363643e-06
1893,9.060878383593263e-06
1894,9.32627835936728e-06
1895,9.819369893193652e-06
1896,9.478884223312889e-06
1897,9.206207096212893e-06
1898,8.622767339261372e-06
1899,8.7645279620574e-06
1900,9.125351951411176e-06
1901,8.165147249883375e-06
1902,7.990013656922201e-06
1903,8.23425628482255e-06
1904,8.174805344651759e-06
1905,8.746970209472238e-06
1906,8.247157069263267e-06
1907,8.197692665135037e-06
1908,8.053204737734632e-06
1909,7.86860712764792e-06
1910,7.908808186130045e-06
1911,8.301912117758548e-06
1912,9.464997773989126e-06
1913,8.118346954688604e-06
1914,7.259940076664861e-06
1915,7.833028575987555e-06
1916,6.839695004146051e-06
1917,7.060183875751136e-06
1918,6.563315338325992e-06
1919,7.449149464378024e-06
1920,5.954046002898394e-06
1921,6.294467809198068e-06
1922,6.0956503773468285e-06
1923,6.171050600300987e-06
1924,7.196104647277934e-06
1925,6.693491087617076e-06
1926,6.203940856153167e-06
1927,6.608145582731595e-06
1928,6.0500889986769835e-06
1929,6.1573024652261665e-06
1930,4.995513677386043e-06
1931,4.7503309303920105e-06
1932,5.75046907158594e-06
1933,4.990885202005302e-06
1934,5.142494359233751e-06
1935,5.230140345702239e-06
1936,5.435509336848554e-06
1937,5.922862158058706e-06
1938,5.691729114687405e-06
1939,5.498210953192029e-06
1940,4.4249411814689665e-06
1941,5.4130556605969105e-06
1942,4.53614671869218e-06
1943,4.293885027095712e-06
1944,5.276051666669446e-06
1945,5.237123815504674e-06
1946,6.054288405721309e-06
1947,6.234615369749008e-06
1948,5.53813976011952e-06
1949,5.204977810535638e-06
1950,5.09965596506845e-06
1951,5.326436109953647e-06
1952,5.911416906201339e-06
1953,5.631479439216491e-06
1954,5.239056406480813e-06
1955,5.597576659965853e-06
