year,vos_DET ans_NOUN,vos_DET camps_NOUN
1800,4.4018303668735825e-08,6.288328791015374e-08
1801,1.1905912700171939e-08,1.904946111963568e-08
1802,2.6854081625060644e-08,2.6854081625060644e-08
1803,3.315576790896557e-08,2.9255089017965474e-08
1804,4.69651695311768e-08,1.0134589123467208e-07
1805,3.4114531644036106e-08,3.695740957709859e-08
1806,8.35684019762084e-08,7.204172902675055e-08
1807,3.4163463169534225e-08,2.8469550272802735e-08
1808,3.3991110370834576e-08,2.7192887941396293e-08
1809,1.129515236897305e-08,9.487928309681593e-08
1810,3.7442028144596406e-08,7.488405628919281e-08
1811,9.27618373225414e-08,0.0
1812,1.3336041604361526e-08,6.401299401659344e-08
1813,2.5881675469463516e-08,2.5881675469463516e-08
1814,5.349351184236184e-08,1.8880061958270744e-08
1815,1.8880564667256294e-08,4.8550024445148665e-08
1816,2.7811246638975717e-08,1.1588019432906549e-08
1817,2.3353100786493997e-08,4.981994905506326e-08
1818,2.741870730460505e-08,5.48374146092101e-08
1819,3.8298885840504227e-08,6.003609342997152e-08
1820,1.1510486785937246e-07,5.458581142647745e-08
1821,1.2819934447350079e-08,6.903042049088981e-08
1822,5.413832582235045e-08,6.115625694746996e-08
1823,6.324919610278812e-08,4.348382276475604e-08
1824,2.86317822784099e-08,5.810567671460376e-08
1825,3.9624492131906663e-08,4.226612659863349e-08
1826,2.290075862276808e-08,3.8755132436563144e-08
1827,4.147772969531616e-08,6.267745789045875e-08
1828,1.3758452155343548e-08,4.1275356466030644e-08
1829,1.971830521085849e-08,3.6864655328372464e-08
1830,3.652892388572582e-08,4.800944353178238e-08
1831,7.795603274018958e-09,4.2096257146795324e-08
1832,2.8412935559885e-08,5.547287429408243e-08
1833,9.266902800675325e-09,1.9692169006546578e-08
1834,9.334531370086552e-09,4.0138484536100805e-08
1835,1.663879345414898e-08,3.479020449503878e-08
1836,2.2178475223011418e-08,5.443807538085821e-08
1837,1.7394727436226276e-08,6.122944284925325e-08
1838,1.8936486156917454e-08,9.468243078458727e-09
1839,1.6080392128969834e-08,3.076248944466897e-08
1840,1.52872523528913e-08,2.7389660761656387e-08
1841,1.733548060656176e-08,3.146068650039524e-08
1842,1.60998356868447e-08,3.890793820460203e-08
1843,1.1813821920725331e-08,5.729703644874462e-08
1844,8.781698090931656e-09,5.2690189988879865e-08
1845,6.69627359117797e-09,2.3436957263811564e-08
1846,8.781752436348711e-09,1.9319854160926297e-08
1847,3.775256551818984e-09,3.343798571364687e-08
1848,7.24069959545659e-09,3.459445302445019e-08
1849,8.379414495607307e-09,4.608678239037545e-08
1850,1.9009188889640427e-08,3.326607966869233e-08
1851,6.449438760824933e-09,1.4188765717904062e-08
1852,2.6042181744401205e-09,2.148479971708639e-08
1853,3.5831591027601917e-09,2.6276499198729653e-08
1854,1.8184825201217336e-08,2.286092382064453e-08
1855,4.6701046585440054e-08,3.1841622671890946e-08
1856,4.0899795550330964e-08,2.485050742961903e-08
1857,1.2203773103180993e-08,4.735063896532665e-08
1858,1.4681027837859517e-08,3.1319527193929275e-08
1859,1.1202780925145817e-08,2.953460587207246e-08
1860,6.408057640072684e-09,2.1512764097897374e-08
1861,2.6409397335669382e-08,3.6312922446768425e-08
1862,3.5692092836825395e-08,2.710791768834042e-08
1863,1.9479021062807078e-08,7.142308106056205e-08
1864,2.3014694150447212e-08,4.6029388300894425e-08
1865,7.0602665935837194e-09,3.247722446531043e-08
1866,1.8489328568183083e-08,4.038458811805867e-08
1867,2.6690463172940326e-08,2.135237053835226e-08
1868,1.1361710683388537e-08,1.531360993567432e-08
1869,1.3673853160867111e-08,2.9789466893248573e-08
1870,2.0069171213776826e-08,2.695002976338401e-08
1871,7.434824311758348e-09,3.080141297573391e-08
1872,1.2094679036067646e-08,2.2979889990892843e-08
1873,2.095101514498765e-08,2.095101514498765e-08
1874,3.2262889249068394e-08,2.5093358502203955e-08
1875,2.2313955128083762e-08,2.689117728493784e-08
1876,9.069021977836655e-09,2.2370254981751714e-08
1877,3.958282235316801e-08,1.793596560162314e-08
1878,1.8117266742390115e-08,1.6305540029293297e-08
1879,1.221865097988939e-08,2.3215436684154156e-08
1880,1.8611753915820373e-08,2.3746030919369332e-08
1881,1.8825771164188154e-08,1.1853263259808955e-08
1882,1.0648616211028639e-08,1.9300616216355593e-08
1883,1.9589950994713945e-08,1.8958017378167824e-09
1884,2.3766109080725073e-08,1.1222884843675729e-08
1885,9.023890079618013e-09,1.6758653131887513e-08
1886,1.355227396970804e-08,1.613365974151293e-08
1887,1.3710741875172516e-08,9.140494583448344e-09
1888,1.7119660356001987e-08,1.1413106904001324e-08
1889,2.192797943223468e-08,1.3783300722991498e-08
1890,1.3108772733971819e-08,1.2453334363726754e-08
1891,5.736798147637501e-09,1.1473596295275001e-08
1892,1.8178685001757344e-08,5.014809900671935e-09
1893,4.926733243593162e-09,1.2932674486876294e-08
1894,1.1342770278588432e-08,1.5753848003896564e-08
1895,2.2268873856035043e-08,2.9491211250842753e-08
1896,1.4152869098893461e-08,1.6511680911435178e-08
1897,2.4472196713531957e-08,9.322741689743452e-09
1898,1.3014216371232123e-08,9.05336783318944e-09
1899,3.8693048765026106e-09,1.6029977345510815e-08
1900,6.22926377147337e-09,1.349673794948103e-08
1901,1.0618603774048552e-08,3.353243460679778e-09
1902,4.419255628107521e-09,1.1293653123800595e-08
1903,1.83607493653426e-08,7.020286574288548e-09
1904,9.674325340824907e-09,1.7198800605910947e-08
1905,1.754658074393234e-08,1.186974607492175e-08
1906,1.4403716441790948e-08,1.4403716441790948e-08
1907,7.199980611716228e-09,1.491424583832668e-08
1908,1.9154416719402434e-08,2.6521501439447093e-08
1909,1.430255680556769e-08,8.801573692096554e-09
1910,6.412980813053082e-09,9.085056262847502e-09
1911,1.4365010514438836e-08,4.788336838146279e-09
1912,1.66701485393439e-08,2.500522222614876e-08
1913,9.545381374209683e-09,6.893886794756554e-09
1914,4.68772043404897e-09,1.2054139020278853e-08
1915,1.1780762143587253e-08,1.8849219074468238e-08
1916,3.2962386153911893e-09,1.0987462051303964e-09
1917,1.7546279096336548e-08,1.0966424435210342e-09
1918,9.189101035644853e-09,1.722956533001252e-08
1919,1.5653341733923298e-08,3.4069039145379065e-08
1920,4.543339038320937e-09,3.028892692213958e-09
1921,2.2718242842501013e-09,7.572747762196741e-09
1922,2.0658220023506146e-08,5.164555005876537e-09
1923,1.2739137744688378e-08,1.2739137744688378e-08
1924,1.804827398643738e-08,7.734974438733389e-09
1925,5.499089184013428e-09,6.598906754362588e-09
1926,1.114613823460786e-08,1.2260752413340015e-08
1927,5.574612438330462e-09,1.0034302277972529e-08
1928,5.713020723163709e-09,1.0283437212876834e-08
1929,1.3368487650211591e-08,6.684243825105796e-09
1930,2.100720708497761e-09,7.352522590764465e-09
1931,1.0264820993199919e-08,6.843213995466613e-09
1932,1.0959536389520963e-08,1.0959536611565568e-09
1933,3.4411986593596566e-09,9.176529758292418e-09
1934,2.3963160344919743e-09,8.38710612072191e-09
1935,1.0771455727365264e-08,7.180970484910176e-09
1936,1.2124714565686645e-09,7.274828739411987e-09
1937,1.510934133364117e-08,5.0364472592434595e-09
1938,3.8895642262559704e-09,3.8895642262559704e-09
1939,1.6823455517567254e-08,1.5294050470515685e-09
1940,0.0,5.0715658339584024e-09
1941,2.9515025978810172e-09,2.066051862925633e-08
1942,6.068423541449874e-09,2.730790527039062e-08
1943,1.7419411690866582e-08,1.4516175816936538e-08
1944,1.6065930807940276e-08,6.4263723231761105e-09
1945,4.357008087652048e-09,1.089252021913012e-08
1946,5.568441707737293e-09,8.352662561605939e-09
1947,1.0728784083369192e-08,1.1920871401116528e-08
1948,2.174377566888097e-09,1.0871888278529696e-08
1949,6.8719057111366055e-09,1.276211036849162e-08
1950,4.2541445921528975e-09,3.190608444114673e-09
1951,1.0661401539380222e-08,6.396841278899501e-09
1952,4.2179215675730575e-09,5.272402070488624e-09
1953,7.54167928107563e-09,1.2928593307037772e-08
1954,3.224936762080688e-08,6.840775057526116e-09
1955,2.815682353940474e-09,5.631364707880948e-09
1956,6.976913269340912e-09,1.657016923672927e-08
1957,7.068030161150318e-09,5.301022731885041e-09
1958,1.5717262158432277e-08,8.272243334772611e-09
