year,chariots_NOUN ouverts_ADJ,chariots_NOUN couverts_ADJ
1800,0.0,2.829747991484055e-08
1801,0.0,4.7623650800687756e-08
1802,0.0,9.398928568771225e-08
1803,0.0,8.971560561121805e-08
1804,0.0,1.0628959046243835e-07
1805,0.0,3.980028751016107e-08
1806,0.0,1.0085842205853623e-07
1807,0.0,3.4163463169534225e-08
1808,0.0,8.837688625362716e-08
1809,0.0,1.4457795316502597e-07
1810,2.3401267590372754e-09,6.552355102940055e-08
1811,0.0,5.515568801683912e-08
1812,0.0,4.267533171287141e-08
1813,0.0,9.489947672136623e-08
1814,0.0,1.0384034254684593e-07
1815,0.0,6.47333635583891e-08
1816,0.0,5.5622493277951435e-08
1817,9.341240669868967e-09,4.3592454090912724e-08
1818,0.0,2.98029441125891e-08
1819,0.0,6.83169290027763e-08
1820,1.1866481131050932e-09,8.306536614099969e-08
1821,0.0,4.2404398215012407e-08
1822,0.0,8.72228582693424e-08
1823,0.0,8.20263039713609e-08
1824,0.0,6.568468080558887e-08
1825,0.0,8.629334047327575e-08
1826,0.0,5.549030035467695e-08
1827,0.0,5.530363722527909e-08
1828,0.0,3.485474309172787e-08
1829,0.0,6.601345603485242e-08
1830,8.349468672008697e-09,5.9489963177838945e-08
1831,0.0,3.274153215215847e-08
1832,0.0,8.117981842303834e-09
1833,0.0,7.41352224054026e-08
1834,0.0,7.094243414940138e-08
1835,0.0,4.689114518896531e-08
1836,0.0,6.04867480547e-08
1837,0.0,7.931995327226105e-08
1838,7.574594285131298e-09,9.72072911054056e-08
1839,5.5931801412612e-09,4.47454411300896e-08
1840,0.0,5.86011346115356e-08
1841,0.0,6.292137300079048e-08
1842,0.0,4.092041550052272e-08
1843,0.0,5.434358030242947e-08
1844,0.0,3.2931367854871496e-08
1845,0.0,1.0658235538585359e-07
1846,0.0,5.034871009002018e-08
1847,0.0,5.123562374365065e-08
1848,4.82713291560799e-09,3.781254065415851e-08
1849,0.0,4.1059134758825167e-08
1850,0.0,5.634866795389826e-08
1851,0.0,1.2898877521649865e-08
1852,0.0,5.859491025717034e-08
1853,2.388772735173461e-09,3.702597695109944e-08
1854,5.195664343204953e-09,3.636965217879151e-08
1855,0.0,4.988520885262915e-08
1856,0.0,4.659470320689252e-08
1857,3.4170564155999728e-09,4.246912865824015e-08
1858,0.0,2.8872689128434104e-08
1859,0.0,7.536416291031856e-08
1860,0.0,5.950339243554481e-08
1861,0.0,6.602348889828136e-08
1862,0.0,5.3764036778147783e-08
1863,0.0,1.8480097452311384e-08
1864,0.0,3.308362295229017e-08
1865,0.0,1.553258677233771e-08
1866,2.919367858567057e-09,2.919367680931373e-08
1867,1.94112459439566e-09,2.0867089389753346e-08
1868,0.0,3.062721987134864e-08
1869,0.0,3.2231227464762924e-08
1870,1.7202146374017957e-09,2.0069171213776826e-08
1871,0.0,2.3366590440332402e-08
1872,0.0,3.5679303067581714e-08
1873,0.0,2.7535620006347017e-08
1874,1.7923826867161097e-09,3.4652732239237594e-08
1875,1.716458086775674e-09,4.062284375550007e-08
1876,0.0,1.3301232115736639e-08
1877,0.0,3.710889728836264e-08
1878,0.0,2.6571990829893366e-08
1879,6.10932526790009e-10,1.7717043832021773e-08
1880,0.0,2.1178893305773272e-08
1881,2.091752326904839e-09,3.2770785196589713e-08
1882,0.0,1.8635077481121698e-08
1883,0.0,1.1374810426900694e-08
1884,0.0,3.1027976632458376e-08
1885,0.0,2.1915161241281567e-08
1886,1.2906927748801422e-09,1.355227396970804e-08
