year,mêmes_ADJ carrières_NOUN
1800,3.772997558826319e-08
1801,4.286128785224719e-08
1802,5.147032311469957e-08
1803,7.996391104825307e-08
1804,2.2246657849223084e-08
1805,7.960057502032214e-08
1806,6.051504897186533e-08
1807,5.693910232196231e-09
1808,4.078933102391602e-08
1809,3.388545621874073e-08
1810,4.680253518074551e-09
1811,3.5099073869560016e-08
1812,8.001624962616916e-08
1813,2.300593315851529e-08
1814,7.552024783308298e-08
1815,5.933891955578474e-08
1816,2.5493642752394408e-08
1817,3.7364962679475866e-08
1818,2.2650237241350624e-08
1819,6.417651121637391e-08
1820,2.7292905713238724e-08
1821,4.437669787193954e-08
1822,4.8122956286533736e-08
1823,3.9530746676064155e-08
1824,3.621078548121659e-08
1825,6.60408261410339e-08
1826,2.4662355713189754e-08
1827,3.502563927781921e-08
1828,4.1275356466030644e-08
1829,6.258418494553553e-08
1830,1.982998831806526e-08
1831,3.274153215215847e-08
1832,5.276687886635045e-08
1833,4.170106393530659e-08
1834,3.267085801894609e-08
1835,3.857174846189082e-08
1836,7.19120265557649e-08
1837,3.826840000442644e-08
1838,5.049729523420865e-08
1839,4.1249702320556025e-08
1840,1.7198159341091923e-08
1841,1.5409316489467528e-08
1842,1.6770663080478698e-08
1843,2.9534556134080958e-08
1844,3.2931367854871496e-08
1845,1.2834524554250493e-08
1846,2.2247105491146613e-08
1847,3.5055954583640414e-08
1848,2.172209789819135e-08
1849,3.5193544078993e-08
1850,1.968808760466345e-08
1851,3.5471913406581734e-08
1852,2.929745512858517e-08
1853,1.1346670270029335e-08
1854,2.961528799971802e-08
1855,2.0166361025530932e-08
1856,1.4496129630003907e-08
1857,1.9526035899275485e-08
1858,1.8595969208945462e-08
1859,2.189634606963864e-08
1860,3.020941363729435e-08
1861,6.6023493339173456e-09
1862,2.5752521892741242e-08
1863,2.6471489888990618e-08
1864,2.445311331200628e-08
1865,2.118079933666195e-08
1866,2.77339928800302e-08
1867,3.202855580752839e-08
1868,2.0253484223076157e-08
1869,2.24641887314192e-08
1870,3.096386436141074e-08
1871,9.559059321873065e-09
1872,7.256807155187062e-09
1873,3.292302608315367e-08
1874,2.8080663128093875e-08
1875,2.5174719198162165e-08
1876,1.874264654588842e-08
1877,4.08197848855707e-08
1878,1.6305540029293297e-08
1879,1.710611030603104e-08
1880,2.631317030932223e-08
1881,1.045876096839038e-08
1882,4.6587693702804245e-09
1883,8.847074184359371e-09
1884,8.582206056928499e-09
1885,2.3848851782304337e-08
1886,3.1621972595985426e-08
1887,8.48760173255414e-09
1888,1.521747527988282e-08
1889,1.628935564212952e-08
1890,2.3595791986963377e-08
1891,1.0836173736095134e-08
1892,1.6298132621272998e-08
1893,9.23762488724833e-09
1894,3.0877544077156927e-08
1895,2.8287487907618925e-08
1896,1.4152869098893461e-08
1897,1.8645483379486905e-08
1898,1.7540900287826844e-08
1899,6.964748422433331e-08
1900,2.6474371139784125e-08
1901,4.63865319488832e-08
1902,3.093478895266344e-08
1903,3.0241231741001684e-08
1904,1.4511488011237361e-08
