year,serions_VERB assez_ADV
1800,6.288328791015374e-08
1801,1.1905912700171939e-08
1802,1.3427040812530322e-08
1803,3.90067853572873e-08
1804,3.213406074564773e-08
1805,2.55858996212055e-08
1806,2.881669125542885e-09
1807,3.131650672116848e-08
1808,2.2660739062985158e-08
1809,4.51806094758922e-08
1810,4.680253340438867e-08
1811,4.512738271955641e-08
1812,4.800974906515876e-08
1813,6.039057609541487e-08
1814,2.8320094713762956e-08
1815,5.664169577812572e-08
1816,2.5493642752394408e-08
1817,4.0478710161551135e-08
1818,6.437435473571895e-08
1819,8.9019032145643e-08
1820,4.865257352548724e-08
1821,7.987805616949117e-08
1822,5.213320264374488e-08
1823,4.249555374258307e-08
1824,3.621078548121659e-08
1825,4.842993561737785e-08
1826,5.19671061738336e-08
1827,5.346018383534101e-08
1828,6.787502826455238e-08
1829,6.258418494553553e-08
1830,5.740259823028282e-08
1831,9.822459645647541e-08
1832,1.0147476814381662e-07
1833,6.950177322551099e-08
1834,4.667265329771908e-08
1835,6.277362984974388e-08
1836,5.2421849972006385e-08
1837,5.4967337348443834e-08
1838,7.132742751991827e-08
1839,7.341049013120937e-08
1840,6.942960339983983e-08
1841,6.035315891494974e-08
1842,7.982835370512475e-08
1843,8.624090241937665e-08
1844,6.641159444598088e-08
1845,7.700714377278928e-08
1846,7.669396495657566e-08
1847,6.47186837454683e-08
1848,6.838438793010937e-08
1849,7.792856138166826e-08
1850,9.844044512874461e-08
1851,9.738652551050109e-08
1852,8.398603768000612e-08
1853,9.017617230711039e-08
1854,8.416976271519161e-08
1855,8.915654348129465e-08
1856,1.113095677851561e-07
1857,6.882928005325084e-08
1858,1.0766087399360913e-07
1859,6.823512421760825e-08
1860,9.154367575092692e-08
1861,6.838147470489275e-08
1862,8.403454643257646e-08
1863,6.1433837572622e-08
1864,6.520829742839851e-08
1865,5.9306238142653456e-08
1866,5.887391552050758e-08
1867,6.79393608038481e-08
1868,9.484558205485882e-08
1869,9.620532637200085e-08
1870,5.791389412479475e-08
1871,8.921789174110017e-08
1872,6.410179764770874e-08
1873,6.165584665041024e-08
1874,1.057505798485181e-07
1875,1.1328624083262184e-07
1876,6.469235813710839e-08
1877,8.225805459005642e-08
1878,9.541760448428249e-08
1879,8.430868803088742e-08
1880,4.8775632421893533e-08
1881,8.645909588267386e-08
1882,9.517200538766701e-08
1883,8.404720830412771e-08
1884,1.023263038746336e-07
1885,9.861822292123179e-08
1886,6.711602651421344e-08
1887,8.74875922818319e-08
1888,7.164894810784972e-08
1889,7.016953418315097e-08
1890,1.1142456912693888e-07
1891,8.477712754029199e-08
1892,6.456567547274972e-08
1893,8.067525669730458e-08
1894,7.120739553556632e-08
1895,9.268666190109798e-08
1896,6.132910357337096e-08
1897,8.040864685199267e-08
1898,8.770449966277738e-08
1899,8.844125432005967e-08
1900,7.578937299967947e-08
1901,7.097698073721403e-08
1902,6.088752257937813e-08
1903,7.614310248982292e-08
1904,9.083116481178877e-08
1905,5.3671893596174414e-08
1906,6.635998062165527e-08
1907,5.1942716794428634e-08
1908,7.317969874520713e-08
1909,5.555993354278144e-08
1910,8.01622590529405e-08
1911,7.022893555586052e-08
1912,5.730363383804615e-08
1913,7.052976513932663e-08
1914,5.6252648761301316e-08
1915,5.301343009023185e-08
1916,3.84561182897869e-08
1917,4.605898240583883e-08
1918,2.986458014220261e-08
1919,5.248473655683483e-08
1920,4.921950491620919e-08
1921,5.14946840723951e-08
1922,4.0578644444622114e-08
1923,3.290944050604594e-08
1924,8.637388049237416e-08
1925,5.27912540349007e-08
1926,7.022067194384363e-08
1927,5.351628118432927e-08
1928,6.969884935870141e-08
1929,6.127223173280072e-08
1930,6.722306267192835e-08
1931,5.930785462737731e-08
1932,3.9454331357546835e-08
1933,5.1617981000617874e-08
1934,3.354842448288764e-08
1935,4.547948151412129e-08
1936,4.364897421282876e-08
1937,3.777335422228134e-08
1938,2.3337385357535823e-08
1939,4.129393715857077e-08
1940,1.5214697057785997e-08
1941,5.017554371988808e-08
1942,5.461581054078124e-08
1943,6.387117679196308e-08
1944,7.069009200222354e-08
1945,2.832055301382752e-08
1946,4.454753366189834e-08
1947,4.7683485604466114e-08
1948,3.152847583010043e-08
1949,1.7670615193310368e-08
1950,3.509669355139522e-08
1951,3.0918066329377325e-08
1952,4.323369751091377e-08
1953,5.0636987936059086e-08
1954,4.593092128857279e-08
1955,5.7252208307545516e-08
1956,2.0930739808022736e-08
1957,4.50586910005768e-08
1958,4.053399393910695e-08
1959,3.4878365084978213e-08
1960,2.5607082676515347e-08
1961,4.029932298976746e-08
1962,4.756467220090599e-08
1963,3.879631904624148e-08
1964,2.798625509115027e-08
1965,4.2134733035936733e-08
1966,3.9881339120029224e-08
1967,3.3526280418527676e-08
1968,4.087188543167031e-08
1969,5.5409444144061126e-08
1970,3.357069289222636e-08
1971,3.494110245583215e-08
1972,3.745007148836521e-08
1973,2.866866033457427e-08
1974,4.050411561706824e-08
1975,2.6843956391076063e-08
1976,3.25671045686704e-08
1977,2.7620874476497193e-08
1978,3.9207904478644195e-08
1979,2.3993090181306798e-08
1980,3.013130012163856e-08
1981,1.771153890217647e-08
1982,1.9864007327896616e-08
1983,1.7682884490000106e-08
1984,1.8556827185989277e-08
1985,1.9249785765396155e-08
1986,1.558566253834215e-08
1987,1.7721369260925712e-08
1988,1.3792074149421296e-08
1989,2.250130037850795e-08
1990,1.4166492867673242e-08
1991,1.2309077312977479e-08
1992,9.91789939064347e-09
1993,2.6588196533339215e-08
