year,serez_VERB en_ADP
1800,2.5467733166806283e-07
1801,3.3336556271024165e-07
1802,2.1259481286506343e-07
1803,3.0620324764640827e-07
1804,4.770672603626736e-07
1805,3.411453235457884e-07
1806,3.803803281243745e-07
1807,3.1031811431603273e-07
1808,3.376450194991776e-07
1809,2.0557178004310117e-07
1810,4.2590306748024886e-07
1811,2.5321475050077424e-07
1812,2.827240734859515e-07
1813,2.5594101771275746e-07
1814,3.3354777428939997e-07
1815,2.1577788800186681e-07
1816,3.221469455638726e-07
1817,4.5305014850782754e-07
1818,2.2650236530807888e-07
1819,4.0265584289045364e-07
1820,3.8328732898662565e-07
1821,3.757226920697576e-07
1822,4.922577545585227e-07
1823,4.091432401764905e-07
1824,2.896862838497327e-07
1825,4.244223532623437e-07
1826,3.6465056041379285e-07
1827,3.41039111617647e-07
1828,3.8798833656983334e-07
1829,2.872014022159419e-07
1830,2.692703731099755e-07
1831,3.3365179774591525e-07
1832,2.63834408542607e-07
1833,2.6758181093100575e-07
1834,2.7630210297502344e-07
1835,4.31095998010278e-07
1836,4.308000711716886e-07
1837,3.485903334876639e-07
1838,3.869355111874029e-07
1839,4.369672126358637e-07
1840,3.8791404222138226e-07
1841,3.0947043683227093e-07
1842,3.4614646438058116e-07
1843,3.4732636322587496e-07
1844,3.595007740386791e-07
1845,3.197470732629881e-07
1846,3.00921357165862e-07
1847,2.006279231636654e-07
1848,2.0998028560370585e-07
1849,1.952403749783116e-07
1850,2.912479430960957e-07
1851,2.321798007187681e-07
1852,2.552133935296297e-07
1853,2.669453635917307e-07
1854,3.29405139609662e-07
1855,3.2425384688394843e-07
1856,3.3392871046089567e-07
1857,2.9728388994954e-07
1858,3.910047041699727e-07
1859,3.228437890356872e-07
1860,2.860739982679661e-07
1861,3.895385987107147e-07
1862,3.243914079575916e-07
1863,2.9218531949481985e-07
1864,3.4186410857728333e-07
1865,4.1514365989314683e-07
1866,2.885308560962585e-07
1867,2.824336320372822e-07
1868,3.1466998962059733e-07
1869,2.710353044221847e-07
1870,2.781013677122246e-07
1871,2.74026376700931e-07
1872,2.9934329859315767e-07
1873,3.01694626614335e-07
1874,2.395818228251301e-07
1875,2.969472632230463e-07
1876,2.6300165245629614e-07
1877,2.758427797289187e-07
1878,2.331088211349197e-07
1879,2.9935694101368426e-07
1880,2.4259458086817176e-07
1881,2.7890030196431326e-07
1882,2.562323402344191e-07
1883,2.2686427314511093e-07
1884,1.9937124307034537e-07
1885,2.0174839221454022e-07
1886,1.7811559871461213e-07
1887,2.115371557920298e-07
1888,1.610516164873843e-07
1889,2.0800254674213647e-07
1890,1.9204352952328918e-07
1891,1.778407323627107e-07
1892,1.5295169930595875e-07
1893,1.7428318699330703e-07
1894,1.9030647990803118e-07
1895,1.8838262860754185e-07
1896,1.627579990781669e-07
1897,1.9402956752401224e-07
1898,1.5277558418347326e-07
1899,1.9788730298841983e-07
1900,1.73381181411969e-07
