year,aurions_VERB omis_VERB,aurions_VERB commis_VERB
1800,0.0,9.432493897065797e-09
1801,0.0,2.3811825844433088e-09
1802,4.475680270843441e-09,0.0
1803,0.0,3.900678446910888e-09
1804,0.0,9.887403784603066e-09
1805,0.0,8.528632911009026e-09
1806,0.0,0.0
1807,4.27043254092041e-08,1.4234775136401367e-08
1808,6.798221985349073e-09,0.0
1809,2.259030518203531e-09,0.0
1810,9.360507036149102e-09,2.3401267590372754e-09
1811,0.0,0.0
1812,0.0,1.3336041604361526e-08
1813,0.0,0.0
1814,1.8880061958270744e-08,0.0
1815,0.0,1.0788894222457657e-08
1816,2.5493642752394408e-08,3.7081662185300956e-08
1817,1.556873407970727e-09,0.0
1818,0.0,2.384235475716423e-09
1819,2.070210003424222e-09,1.035105001712111e-09
1820,0.0,1.1866481131050932e-09
1821,9.86148829262845e-10,2.9584463767662328e-09
1822,1.0025615893027862e-09,8.02049271442229e-09
1823,0.0,7.906149512848515e-09
1824,2.5263338088166165e-09,0.0
1825,0.0,8.805443041381977e-10
1826,5.284790383086602e-09,3.5231937367541377e-09
1827,6.452091305675367e-09,0.0
1828,9.172301251858528e-10,1.6510142586412258e-08
1829,0.0,3.429270423183084e-09
1830,6.262101504006523e-09,1.878630406793036e-08
1831,1.5591206103948707e-09,0.0
1832,1.3529969367098715e-09,0.0
1833,0.0,1.0425265983826648e-08
1834,0.0,1.8669061851994684e-09
1835,3.025235173481633e-09,1.285724948729694e-08
1836,8.064899859050456e-09,5.376600054063374e-09
1837,2.7831563720326358e-09,0.0
1838,2.5248647617104325e-09,1.1361890983607736e-08
1839,1.4682098203877558e-08,7.341049013120937e-08
1840,0.0,7.0066574764382494e-09
1841,2.5682194149112547e-09,1.5409316489467528e-08
1842,5.366612043644636e-09,1.341653010911159e-09
1843,0.0,9.451057714215949e-09
1844,1.097712254427563e-09,9.879410178825765e-09
1845,1.1160455892778032e-09,6.138250796539069e-09
1846,2.3418005312692003e-09,5.854501328173001e-10
1847,4.853901280910122e-09,8.629157832729106e-09
1848,0.0,1.930853166243196e-08
1849,0.0,5.865590679832167e-09
1850,2.0366988096043315e-09,1.968808760466345e-08
1851,7.739326512989919e-09,8.384270167027807e-09
1852,7.161600201754936e-09,2.6042181744401205e-09
1853,1.7915795513800958e-09,1.7915795513800958e-09
1854,5.195664454227256e-10,4.1565315633818045e-09
1855,1.1144567935161831e-08,9.552486801567284e-09
1856,8.801221973442352e-09,1.5531567143511893e-08
1857,4.881509085841174e-10,7.810414537345878e-09
1858,6.361778659424999e-09,4.404308473482388e-09
