year,des_DET anneaux_NOUN,des_DET canaux_NOUN
1800,1.3425581997239533e-06,4.1943153519241605e-06
1801,1.4501401572886152e-06,3.505100856671106e-06
1802,1.1457741493359208e-06,3.699149687008685e-06
1803,1.612930532246537e-06,3.6919920987088517e-06
1804,1.1766010892255707e-06,4.058779310867067e-06
1805,1.0234359555383321e-06,3.124322603298424e-06
1806,1.3198045154538818e-06,2.648253847326032e-06
1807,8.683213170712634e-07,3.390723527729733e-06
1808,1.010668958301153e-06,3.129448138849966e-06
1809,1.2198765304560766e-06,4.063996129843872e-06
1810,1.0062545463540573e-06,2.4618132883347243e-06
1811,1.469147008492655e-06,3.1513955036643893e-06
1812,1.0162062835661345e-06,3.971473155672811e-06
1813,1.0669001540009049e-06,2.685942789071305e-06
1814,1.2177640016375335e-06,3.4298780207109303e-06
1815,7.660115102225973e-07,2.7673513187664867e-06
1816,3.7035310924693476e-06,2.8205238464806826e-06
1817,1.5817834118081464e-06,2.291717702718188e-06
1818,9.012410373543389e-07,2.8360481110212277e-06
1819,1.087895352469559e-06,3.1218767517771084e-06
1820,1.0988361740515984e-06,2.796929592818742e-06
1821,8.421710866457488e-07,2.4633998236822663e-06
1822,7.830005870346213e-07,2.8783543513100085e-06
1823,8.479345154910334e-07,2.447941625405292e-06
1824,9.886386305169026e-07,2.6181240073697154e-06
1825,1.0839500923509604e-06,3.5283410113606806e-06
1826,9.829710592157426e-07,2.763945481376595e-06
1827,9.420053170838827e-07,3.1301858456345144e-06
1828,1.0612352845384976e-06,2.6737258238540562e-06
1829,1.040783574879356e-06,3.624738866392363e-06
1830,1.1428334936169904e-06,2.9494497368887096e-06
1831,8.74666685746206e-07,2.6583007048941454e-06
1832,1.1189284840895652e-06,3.0198891778354664e-06
1833,1.2857827798029575e-06,3.617567131186661e-06
1834,9.773253815126282e-07,3.1457368905307703e-06
1835,1.2312707369233067e-06,3.063806843783823e-06
1836,1.008112549882867e-06,2.554557092082632e-06
1837,1.1605762084698767e-06,3.1922804737405386e-06
1838,1.2131974784779231e-06,3.058873673467133e-06
1839,8.620488758381839e-07,3.0727533726349066e-06
1840,1.170111755044445e-06,3.1937618132360512e-06
1841,1.0105943104576909e-06,3.017657704162957e-06
1842,9.726984551150508e-07,2.8047255185015274e-06
1843,7.525404654984413e-07,2.959362547017008e-06
1844,1.0131883776409722e-06,2.4155157802852045e-06
1845,8.86698236612915e-07,2.9960244845028683e-06
1846,1.059664727520726e-06,2.7680081302605686e-06
1847,1.0301056878603276e-06,2.6825894323678767e-06
1848,9.364638318132279e-07,2.7957144510537546e-06
1849,9.125183062508313e-07,2.885870593161144e-06
1850,9.280557726754068e-07,2.475946764946002e-06
1851,9.113056869125558e-07,2.5559124736673766e-06
1852,9.661649649217452e-07,2.6953657439321432e-06
1853,9.680501698028365e-07,2.418035165874244e-06
1854,1.018869767221986e-06,2.3515578106980684e-06
1855,9.679853079092027e-07,2.2480185180029366e-06
1856,8.925474137555511e-07,2.2028940875884473e-06
