year,belles_ADJ ouvertures_NOUN,belles_ADJ couvertures_NOUN
1800,0.0,6.288328968651058e-09
1801,2.3811825844433088e-09,1.6668277424969347e-08
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,7.4155526164076946e-09
1805,2.2743021688143017e-08,0.0
1806,5.76333825108577e-09,2.881669125542885e-09
1807,0.0,1.9928686256776018e-08
1808,0.0,0.0
1809,4.518061036407062e-09,2.259030518203531e-09
1810,0.0,0.0
1811,1.7549536934780008e-08,2.0056614147279106e-08
1812,0.0,2.6672082320544632e-09
1813,8.627225156487839e-09,1.4378708002027452e-08
1814,1.2586708564299443e-08,0.0
1815,5.394447111228828e-09,0.0
1816,0.0,4.6352077731626196e-09
1817,4.670620334934483e-09,6.227493631882908e-09
1818,1.668964877410417e-08,4.768470951432846e-09
1819,3.1053151161586356e-09,0.0
1820,1.1273156985680544e-07,1.779972080839798e-08
1821,1.4792232327920374e-08,9.86148829262845e-10
1822,5.012807946513931e-09,0.0
1823,3.9530747564242574e-09,7.906149512848515e-09
1824,1.0105335235266466e-08,5.052667617633233e-09
1825,7.924898959288385e-09,1.7610886082763955e-09
1826,1.9377566218281572e-08,1.2331177856594877e-08
1827,9.217273055917019e-10,0.0
1828,1.3758452155343548e-08,1.2841221419535032e-08
1829,0.0,0.0
1830,5.218417697960831e-09,5.218417697960831e-09
1831,6.236482441579483e-09,1.4032085715598441e-08
1832,1.0823975493678972e-08,1.2176972319366541e-08
1833,1.2741991461950875e-08,1.3900354645102198e-08
1834,6.534171426153534e-09,1.7735608537350345e-08
1835,1.4369867074037757e-08,4.235329242874286e-08
1836,2.8899226123257904e-08,1.4785650037651976e-08
1837,2.2265250976261086e-08,1.1132625488130543e-08
1838,5.680945491803868e-09,1.2624323808552163e-08
1839,5.5931801412612e-09,1.3982949909063791e-08
1840,1.0191501864653674e-08,1.9109066329292546e-08
1841,5.778493683550323e-09,1.2841097074556274e-08
1842,6.708265054555795e-10,1.475818312002275e-08
1843,8.860366662588604e-09,4.134837805480629e-09
1844,1.2623690537338916e-08,5.488561161115513e-09
1845,1.0602432709561072e-08,5.022205318283568e-09
1846,2.3418005312692003e-09,5.854501328173001e-09
1847,3.775256551818984e-09,6.47186837454683e-09
1848,4.82713291560799e-09,4.82713291560799e-09
1849,2.513824481908955e-09,1.3407063903514427e-08
1850,8.146795238417326e-09,7.467895635215882e-09
1851,1.483370937194195e-08,1.0319102017319892e-08
1852,1.7578472011337e-08,1.2370036550635177e-08
1853,7.166318205520383e-09,1.6721408258035808e-08
1854,1.558699302961486e-08,1.454786069388092e-08
1855,8.491099379170919e-09,5.306937111981824e-09
1856,2.0708757375587084e-08,1.1389816201301528e-08
1857,4.393358121745905e-09,1.757343248698362e-08
1858,1.8106600663259087e-08,2.2510910469009104e-08
1859,2.3933214521321133e-08,2.953460587207246e-08
1860,1.0985241161165504e-08,4.119465657481669e-09
1861,9.431927239234028e-09,1.4147890858851042e-08
1862,1.581295272501393e-08,1.1746764450037972e-08
1863,1.4983863039219614e-08,1.4484400345793347e-08
1864,9.109982990196386e-09,1.821996598039277e-08
1865,7.0602665935837194e-09,3.294791106611683e-09
1866,7.298419202328432e-09,1.8489329178805747e-08
1867,3.88224918879132e-09,9.7056229719783e-09
1868,5.9278488784286765e-09,1.1361710683388537e-08
1869,3.906815315701806e-09,5.860222973552709e-09
1870,0.0,4.587239033071455e-09
1871,1.0621177271019633e-09,7.434824311758348e-09
1872,6.047339295989218e-10,1.3304146229131675e-08
1873,5.9860045809045914e-09,8.380406590902112e-09
1874,1.7923827755339516e-08,6.572069999322139e-09
1875,1.1443054281912168e-09,5.149374260327022e-09
1876,5.441413541973361e-09,3.02300739996042e-09
1877,6.80329748092845e-09,8.040260901509555e-09
1878,1.509772218355465e-08,4.831270938865373e-09
1879,7.331190321480108e-09,2.443730107160036e-09
1880,6.417846254436199e-10,7.059631101924424e-09
1881,1.673401861523871e-08,6.2752567586699115e-09
1882,1.9966155395678697e-09,2.2628309892525067e-08
1883,2.5277355764075082e-09,2.211768546089843e-08
1884,1.3203393933736152e-09,1.386356363042296e-08
1885,0.0,7.090199094506033e-09
1886,1.936039106809062e-09,9.680196200179125e-09
1887,7.1818169189441505e-09,0.0
1888,0.0,4.4384300679212174e-09
1889,7.51816386923565e-09,6.891650361495749e-09
1890,7.209825181320184e-09,7.209825181320184e-09
1891,7.649063604731055e-09,1.7210394887001712e-08
1892,6.268512375839919e-10,1.8805536683430546e-08
1893,0.0,1.970693297437265e-08
1894,1.2603078580752936e-09,1.5123694296903523e-08
1895,3.611168697403855e-09,1.8055843487019274e-09
1896,1.0024948871034667e-08,4.1279202278587945e-09
1897,9.322741689743452e-09,4.078699600285063e-09
1898,6.224190496340043e-09,2.26334195829736e-09
1899,1.2713430308508578e-08,3.3165470370022376e-09
1900,5.19105292084987e-09,8.824790675987515e-09
1901,5.58873880507349e-09,1.1736351446245408e-08
1902,4.910283846193408e-10,4.419255628107521e-09
1903,5.400220270956879e-09,8.100330184390714e-09
1904,0.0,1.0749250378694342e-09
1905,4.1286072338664326e-09,1.0321518084666081e-09
1906,5.658602919567102e-09,1.0802787109298606e-08
1907,7.71426478252124e-09,8.228549397415463e-09
1908,5.40252820258047e-09,6.875944702500192e-09
1909,3.300590023513905e-09,8.251475058784763e-09
1910,6.412980813053082e-09,4.275320542035388e-09
1911,1.5961122423746588e-09,7.448523575703803e-09
1912,5.209421227725386e-10,7.814131564032323e-09
1913,3.181793939432964e-09,6.893886794756554e-09
1914,7.366418142140674e-09,9.37544086809794e-09
1915,0.0,8.246533234057551e-09
1916,0.0,3.2962386153911893e-09
1917,0.0,1.0966424435210342e-09
1918,0.0,3.44591288836682e-09
1919,1.8415696745321952e-09,5.524709134618888e-09
1920,9.086678076641874e-09,3.786115865267448e-09
1921,9.087297137000405e-09,7.572747429129834e-10
1922,1.4755870969551665e-09,9.591316185719734e-09
