year,trois_DET ans_NOUN,trois_DET camps_NOUN
1800,1.93460442687865e-05,5.0306630416940834e-08
1801,1.921852387454237e-05,1.619204113012529e-07
1802,1.812650532428961e-05,6.265952379180817e-08
1803,1.9860304064422962e-05,8.776526527753958e-08
1804,1.925324747276136e-05,1.730295728918918e-08
1805,1.8291075008392e-05,6.538618890772341e-08
1806,1.8307243692561315e-05,6.627838899930794e-08
1807,2.1013375345546592e-05,7.686778502602465e-08
1808,2.1681795999484166e-05,1.5182696078142044e-07
1809,2.4754456489972654e-05,1.8749953323293767e-07
1810,1.842849906097399e-05,3.978215534772289e-08
1811,2.4130613496708975e-05,1.0279014883707305e-07
1812,1.9804021121672122e-05,2.400487453257938e-08
1813,2.2189222022461763e-05,6.326631307729258e-08
1814,1.9811480115095037e-05,5.034683425719777e-08
1815,1.827638595841563e-05,1.8880564667256294e-08
1816,1.7952158827938547e-05,2.7811246638975717e-08
1817,1.7735900939896965e-05,9.341240314597599e-08
1818,2.3205764250633365e-05,1.7404919638863703e-07
1819,2.2830276066088118e-05,1.1386155307491208e-07
1820,2.1085551111355016e-05,2.1596996191419748e-07
1821,2.109963963903283e-05,8.678109963966563e-08
1822,1.938653258548584e-05,1.2632276025215106e-07
1823,1.908445744902565e-05,1.294631918336009e-07
1824,1.858034329416114e-05,6.231623661534513e-08
1825,2.2171224827616243e-05,1.0302368158576769e-07
1826,2.0900465926843026e-05,1.1186140191909999e-07
1827,2.194909291119984e-05,9.401618805693346e-08
1828,1.975897180273023e-05,9.630916242286958e-08
1829,2.0981134241537802e-05,7.887322084343396e-08
1830,1.92455246406098e-05,6.888311365749189e-08
1831,2.031845974670432e-05,6.080570447153377e-08
1832,2.134758483407495e-05,9.06507948705837e-08
1833,2.0980268345738295e-05,4.749287763061716e-08
1834,2.182319985877257e-05,4.760610883280947e-08
1835,1.990907207982673e-05,1.406734426723233e-07
1836,2.112533366016578e-05,9.476257645246733e-08
1837,2.2794051346863853e-05,9.323574090558395e-08
1838,2.111228877765825e-05,1.0983161402577934e-07
1839,2.050669559139351e-05,7.480878494448007e-08
1840,2.202765739411916e-05,1.2675680682860957e-07
1841,2.1867745886083867e-05,7.76886395215115e-08
1842,2.238548006516794e-05,1.18065464960182e-07
1843,2.2683129827782977e-05,3.721354113750408e-08
1844,2.318697545433679e-05,5.762989330193591e-08
1845,2.1413566400951822e-05,5.859239493588575e-08
1846,2.2437375776007684e-05,5.034871009002018e-08
1847,2.2942233385947475e-05,5.716817064183033e-08
1848,2.399246011464129e-05,5.1489420505035355e-08
1849,2.2808766573234607e-05,7.038708660367377e-08
1850,2.3167448205185792e-05,7.603675911127539e-08
1851,2.4214417294388113e-05,6.191461054960712e-08
1852,2.2298618773675116e-05,3.711011054008395e-08
1853,2.2237085147480684e-05,6.62884460655988e-08
1854,2.141912614206376e-05,6.338710778486245e-08
1855,2.3691758997301804e-05,5.73149208094037e-08
1856,2.2106079882178165e-05,6.005539421316541e-08
1857,2.161092913866014e-05,1.1178655867638554e-07
1858,2.193443492615188e-05,1.1646948783194944e-07
1859,2.1087199911562493e-05,8.860381717212817e-08
1860,2.104177292494569e-05,1.125987254546601e-07
1861,2.051019737336901e-05,5.894954679952491e-08
1862,2.2135422227620438e-05,7.861296347222435e-08
1863,2.3288418901756813e-05,4.2454275650527507e-08
1864,2.312832930329023e-05,9.34971948751695e-08
1865,2.2560845991392853e-05,5.177528716870938e-08
1866,2.119947566825431e-05,1.5278024467768603e-07
1867,2.270048128139024e-05,8.54094803770522e-08
1868,2.237170212993078e-05,8.200191170537607e-08
1869,2.2142363320654113e-05,7.42294901101559e-08
1870,2.3080692812982306e-05,6.995539836296416e-08
1871,2.110427908519341e-05,2.6552942955504477e-08
1872,2.2592858954340045e-05,4.656451269013928e-08
1873,2.293477791681653e-05,4.1902030456508754e-08
1874,2.4774911025815527e-05,5.377148282192934e-08
1875,2.381757360581105e-05,4.291145483392711e-08
1876,2.354560041339937e-05,5.199572883363146e-08
1877,2.3249342348208302e-05,3.710889728836264e-08
1878,2.304455892954138e-05,3.442280499532657e-08
1879,2.5270002311117423e-05,5.0707401499927585e-08
1880,2.438589001485525e-05,3.401458670282409e-08
1881,2.4694529884072836e-05,4.6018548971460405e-08
1882,2.5368331648678577e-05,2.4624925432092937e-08
1883,2.5234384679606592e-05,4.9922777911604044e-08
1884,2.6099149067704275e-05,6.66771411417244e-08
1885,2.59469069305851e-05,4.44748864403266e-08
1886,2.535694977723324e-05,4.38835527916126e-08
1887,2.574420284418011e-05,6.398345991920351e-08
1888,2.613855019717448e-05,2.282621336391344e-08
1889,2.535500766498444e-05,4.385595886446936e-08
1890,2.684217861315119e-05,4.91578968642159e-08
1891,2.418952783500572e-05,4.844407097692738e-08
1892,2.4509883246537356e-05,4.7013843929022414e-08
1893,2.524519766211597e-05,3.2639608404938514e-08
1894,2.5070673700611223e-05,2.898708162391017e-08
1895,2.583430057256919e-05,4.4537748156159296e-08
1896,2.653898934568133e-05,3.3023361822870356e-08
1897,2.5237243789888453e-05,3.204692466951542e-08
1898,2.6292112238479604e-05,2.998928083641772e-08
1899,2.762849510418164e-05,4.753717242067523e-08
1900,2.6809194423549343e-05,2.4397949105470218e-08
1901,2.6167034434365632e-05,4.806315367922309e-08
1902,2.3879693230810517e-05,3.1425816615637814e-08
1903,2.6142466367673478e-05,4.1581695420234155e-08
1904,2.649851501246303e-05,3.547252624969133e-08
1905,2.6482950715944753e-05,3.302885753786455e-08
1906,2.6181327143603994e-05,3.343719967574543e-08
1907,2.5561474330970668e-05,4.6285588695127444e-08
1908,2.555199364451255e-05,2.3083529088196997e-08
1909,2.5955841465474805e-05,2.970531171042623e-08
1910,2.5955471642191696e-05,1.870452770447173e-08
1911,2.5373928224325937e-05,3.032613227205161e-08
1912,2.6378425786788284e-05,2.7088989495993587e-08
1913,3.145574316931743e-05,3.075734117397033e-08
1914,3.0512372518387565e-05,3.1474695405542263e-08
1915,2.3767686400333332e-05,3.416420912838447e-08
1916,2.2189180413079157e-05,2.5271162940043723e-08
1917,3.0912156830709137e-05,3.3995915083018247e-08
1918,2.9761200266875676e-05,2.756730310693456e-08
1919,2.5794866019168694e-05,2.6702760891339494e-08
1920,2.347846157135791e-05,1.2115570768855832e-08
1921,2.324984893675719e-05,2.3475516253146367e-08
1922,2.4451953322568443e-05,3.91030597901576e-08
1923,2.3331730176323617e-05,1.6985516548828627e-08
1924,2.347435952287924e-05,2.3204924093356283e-08
1925,2.392103704096371e-05,3.629398692694963e-08
1926,2.3410234689436038e-05,3.455302821642192e-08
1927,2.3821433273951698e-05,2.2298449531277242e-08
1928,2.3230283773045812e-05,3.3135519106330946e-08
1929,2.4733930899856205e-05,4.233354333749162e-08
1930,2.3167798985923582e-05,1.995684684175103e-08
1931,2.3871410689935146e-05,3.193499953368928e-08
1932,2.4644709128551767e-05,2.6302887090601246e-08
1933,2.4466921672683384e-05,4.5882648125328274e-08
1934,2.255652350413584e-05,3.354842448288764e-08
1935,2.3047324020808446e-05,1.795242710045386e-08
1936,2.2615017769567203e-05,1.33371855781661e-08
1937,2.2642607177658647e-05,4.029157973928221e-08
1938,2.1637645772898395e-05,3.3709559033034964e-08
