year,voudrais_VERB analyser_VERB
1926,8.916910765321973e-09
1927,6.689535148041159e-09
1928,9.14083297942625e-09
1929,1.4482528065684619e-08
1930,5.2518016602221e-09
1931,7.983749661377715e-09
1932,8.767629289252454e-09
1933,1.3764794637438627e-08
1934,2.3963160344919743e-09
1935,4.787313656606784e-09
1936,4.849885826274658e-09
1937,6.295559185076627e-09
1938,7.779128452511941e-09
1939,1.070583532936098e-08
1940,2.5357829169792012e-09
1941,8.854508237732261e-09
1942,3.034211770724937e-09
1943,2.0322646676618206e-08
1944,0.0
1945,6.535512131478072e-09
1946,4.1763312808029696e-09
1947,1.3112957830685446e-08
1948,7.610321262063735e-09
1949,1.0798709482173763e-08
1950,1.595304155443955e-08
1951,2.4521224162299404e-08
1952,1.1599284199803606e-08
1953,5.386913581872932e-09
1954,8.795282724349818e-09
1955,4.6928039232341234e-09
1956,2.8779767902165077e-08
1957,7.068030161150318e-09
1958,4.9633461784992505e-09
1959,1.705164542897819e-08
1960,2.07624992754063e-08
1961,1.667558180429296e-08
1962,1.3952304200870458e-08
1963,1.681173777967615e-08
1964,1.5818317322668918e-08
1965,1.4774516721161035e-08
1966,1.273987226824147e-08
1967,1.3311906243984595e-08
1968,1.4821671889819754e-08
1969,1.1354394757745467e-08
1970,1.0117195081704722e-08
1971,2.003974941544584e-08
1972,1.6929485369132635e-08
1973,1.7642252103655665e-08
1974,7.313243344242437e-09
1975,1.8276736568623164e-08
1976,1.199840671262109e-08
1977,2.6445517775641747e-08
1978,1.6633656230169436e-08
1979,1.521513048885481e-08
1980,1.4781392110307934e-08
1981,6.325549417596221e-09
1982,2.1726258125909226e-08
1983,1.1999100379966876e-08
1984,1.0438215625185876e-08
1985,2.1054452403745927e-08
1986,2.2779044428489215e-08
1987,1.7721369260925712e-08
1988,2.0987938498251424e-08
1989,1.2622680678475717e-08
1990,2.3429199913493903e-08
1991,1.992898113201136e-08
1992,1.4876849085965205e-08
1993,3.157348160698348e-08
1994,2.162719958676007e-08
1995,1.4640617607142303e-08
1996,2.1886178203089912e-08
1997,2.6371919759071716e-08
1998,2.3840646790063147e-08
1999,1.4624643718263997e-08
2000,2.474097726690161e-08
2001,1.445799924226776e-08
2002,1.445803121669087e-08
2003,2.375146124222738e-08
2004,2.7750184372621334e-08
2005,1.7564623533417034e-08
2006,2.182481573242967e-08
2007,2.3567428897308673e-08
2008,1.3198063086861112e-08
2009,1.3350939020995156e-08
2010,4.723792912386671e-09
2011,8.795135286732148e-09
2012,7.829781267787439e-09
2013,5.29933741333366e-09
2014,4.547434873103384e-09
2015,5.984753581600444e-09
2016,7.2496901815100045e-09
2017,7.043711836018929e-09
2018,5.421080029321956e-09
2019,5.101975730781305e-09
