year,avons_VERB en_PRON
1800,7.545995117652637e-08
1801,7.381666233818862e-08
1802,4.0281122437590966e-08
1803,4.4857802805609026e-08
1804,2.7190360185613827e-08
1805,3.695740957709859e-08
1806,7.204172902675055e-08
1807,5.693910054560547e-08
1808,6.345007363961486e-08
1809,3.388545621874073e-08
1810,9.126494404654295e-08
1811,1.0529722516139373e-07
1812,1.8670457180292033e-08
1813,6.901780125190271e-08
1814,5.034683425719777e-08
1815,6.203614333344376e-08
1816,4.6352077731626196e-08
1817,4.514932783195036e-08
1818,4.172412104708201e-08
1819,4.5544620519422097e-08
1820,1.59010852485153e-07
1821,5.818278125957477e-08
1822,4.511527151862538e-08
1823,5.830785099192326e-08
1824,7.073734753504368e-08
1825,9.15766094067294e-08
1826,8.455664612938563e-08
1827,6.083400450052068e-08
1828,1.449223532290489e-07
1829,3.5150023003360786e-08
1830,5.9489963177838945e-08
1831,4.2096257146795324e-08
1832,3.111892965534935e-08
1833,4.749287541017111e-08
1834,4.667265329771908e-08
1835,1.104210838320796e-07
1836,7.930485423912614e-08
1837,6.262101548415444e-08
1838,6.943377983681387e-08
1839,1.0557127438914904e-07
1840,9.108654808187566e-08
1841,5.5858772718409e-08
1842,7.580339200785602e-08
1843,7.915260896718124e-08
1844,7.793757295093684e-08
1845,8.147132746216812e-08
1846,9.659927258098833e-08
1847,9.653870503001372e-08
1848,8.045221733254948e-08
1849,7.876649732452279e-08
1850,1.0455053711666551e-07
1851,1.0061124555704737e-07
1852,1.0547083917344935e-07
1853,1.1227231766497425e-07
1854,9.404152817582556e-08
1855,8.331890910540096e-08
1856,9.47425620179132e-08
1857,1.127628569408401e-07
1858,1.0423529772651818e-07
1859,7.536416268827395e-08
1860,9.337455447733234e-08
1861,1.188422891762464e-07
1862,1.0526908059138584e-07
1863,9.040263648785185e-08
1864,1.0116876003607445e-07
1865,9.743168050135864e-08
1866,1.1190909576797026e-07
1867,9.657094501847041e-08
1868,1.205329311915193e-07
1869,1.1183258707969657e-07
1870,1.238554543370185e-07
1871,1.635661277532563e-07
1872,1.457408700389351e-07
1873,1.891577420809476e-07
1874,1.451829987342279e-07
1875,1.5734199132477755e-07
1876,1.2212949429546427e-07
1877,1.0823428264750135e-07
1878,1.5580848339302733e-07
1879,1.5090033400610992e-07
1880,1.4568510664503265e-07
1881,1.4781715634848425e-07
1882,1.4175969909047126e-07
1883,1.8073309560051598e-07
1884,1.5513988493864872e-07
1885,1.6629740273721438e-07
1886,1.239065058888933e-07
1887,1.6257021684396022e-07
1888,1.2934853543811187e-07
1889,1.1527851739856487e-07
1890,1.5664983266105992e-07
1891,1.7274136610012647e-07
1892,1.2725079545639062e-07
1893,1.4718615665154644e-07
1894,1.228800150521181e-07
1895,1.7273423225105944e-07
1896,1.374007745358341e-07
1897,1.3110105856473098e-07
