year,pas_ADV ouvert_VERB,pas_ADV couvert_VERB
1800,3.364255860560661e-07,1.2891074163690064e-07
1801,3.047913708087435e-07,1.1905913055443307e-07
1802,3.6924362234458386e-07,1.3427040812530322e-07
1803,2.3209037181004533e-07,1.0336798084153997e-07
1804,4.202146612897195e-07,4.2021465418429216e-08
1805,2.4733034820201283e-07,6.538618890772341e-08
1806,2.0171684411707247e-07,9.221341201737232e-08
1807,3.4448157748556696e-07,2.0782772480743006e-07
1808,2.0621273222332093e-07,9.517511045942229e-08
1809,4.4954705913369253e-07,1.1521055398588942e-07
1810,4.844062573283736e-07,8.190443878675069e-08
1811,2.356652117896374e-07,1.4541045345595194e-07
1812,4.2942053823935566e-07,1.600324992523383e-07
1813,2.530652523091703e-07,3.738464116054274e-08
1814,3.838946156520251e-07,1.9824065589091333e-07
1815,3.45244615118645e-07,1.6992508733437717e-07
1816,2.549364239712304e-07,1.62232268507978e-07
1817,2.9736281703662826e-07,1.4478922594207688e-07
1818,3.528668628405285e-07,1.3828565670337412e-07
1819,3.053559680665785e-07,8.591371170041384e-08
1820,3.6904756939293293e-07,1.4002448267547152e-07
1821,2.9091390274516016e-07,8.875339574387908e-08
1822,3.5089655625597516e-07,1.965020715033461e-07
1823,3.4391749181850173e-07,2.0259507493847195e-07
1824,2.8715993494188297e-07,8.168479581627253e-08
1825,2.985045171044476e-07,1.259178361578961e-07
1826,3.4086900768670603e-07,1.0217262058631604e-07
1827,3.41039111617647e-07,1.382590966159114e-07
1828,3.797332794874819e-07,2.054595427125605e-07
1829,4.1751366097741993e-07,9.001834655464336e-08
1830,3.6215820387042186e-07,1.2211097555336892e-07
1831,5.129506917000981e-07,1.3564348932959547e-07
1832,3.20660262786987e-07,1.4747666909897816e-07
1833,4.3206935629314103e-07,9.846084481068829e-08
1834,3.3791002351790667e-07,1.110809151327885e-07
1835,3.963058077260939e-07,1.2176570862720837e-07
1836,3.629205025390547e-07,7.863277318165274e-08
