year,nouveaux_ADJ anneaux_NOUN,nouveaux_ADJ canots_NOUN
1800,1.8864987794131594e-08,0.0
1801,0.0,0.0
1802,2.0140561218795483e-08,1.5664880947952042e-08
1803,0.0,0.0
1804,2.2246657849223084e-08,2.4718509461507665e-09
1805,0.0,0.0
1806,0.0,0.0
1807,2.8469551160981155e-09,5.693910232196231e-09
1808,0.0,2.2660739951163578e-09
1809,0.0,0.0
1810,1.4040760554223652e-08,1.8721014072298203e-08
1811,0.0,0.0
1812,8.00162425207418e-09,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,1.8880564667256294e-08
1816,1.9467873357825738e-07,2.3176038865813098e-09
1817,3.113746771532533e-08,4.670620334934483e-09
1818,1.668964877410417e-08,0.0
1819,2.070209959015301e-08,1.035105001712111e-09
1820,0.0,0.0
1821,4.930744257336528e-09,2.9584463767662328e-09
1822,1.0025615893027862e-09,3.0076847679083585e-09
1823,7.906149512848515e-09,1.087095569118901e-08
1824,4.210556348027694e-09,8.421112696055388e-10
1825,2.641632912414593e-09,0.0
1826,1.6735169694470642e-08,0.0
1827,3.6869092667757286e-08,0.0
1828,1.1006761724274838e-08,0.0
1829,8.573175946935407e-09,1.0287811491593857e-08
1830,1.461157062010443e-08,3.1310507520032616e-09
1831,0.0,9.354723218280014e-09
1832,2.705993873419743e-09,0.0
1833,1.0425265983826648e-08,4.6334514003376626e-09
1834,2.240287422239362e-08,1.3068342852307069e-08
1835,1.285724948729694e-08,2.2689263801112247e-09
1836,1.3441500135158435e-09,7.392825018825988e-09
1837,1.2524203896191466e-08,2.7831563720326358e-09
1838,1.0730675015224733e-08,0.0
1839,1.5381244722334486e-08,4.894032734625853e-09
1840,1.9109065441114126e-09,6.369688665408546e-10
1841,1.733548060656176e-08,5.778493683550323e-09
1842,4.024959032733477e-09,0.0
1843,1.4767278067040479e-08,1.7720733769266417e-09
1844,3.2931367854871496e-08,0.0
1845,7.14269177137794e-08,0.0
1846,4.27378594736183e-08,5.854501328173001e-10
1847,2.7505439703645607e-08,0.0
1848,1.045878850192139e-08,2.413566457803995e-09
1849,5.9493846293889874e-08,8.379414939696517e-10
1850,3.93761752093269e-08,0.0
1851,4.063146263888484e-08,6.449438760824933e-10
1852,2.0833745395520964e-08,3.906327261660181e-09
1853,4.120633079196523e-08,0.0
1854,3.792835201466005e-08,6.234797567117312e-09
1855,2.2289135870323662e-08,1.0613874223963649e-09
1856,2.329735160344626e-08,5.694908100650764e-09
1857,1.610898081594314e-08,4.881509085841174e-10
1858,7.53626139271546e-08,0.0
1859,1.782260738991681e-08,0.0
1860,4.7602711106264906e-08,4.577183909670879e-10
1861,1.650587222457034e-08,1.4147891747029462e-09
1862,3.4788495639759276e-08,0.0
1863,1.4983863039219614e-08,2.4973103585068657e-09
1864,1.8699438775193755e-08,1.4384183844029508e-09
1865,1.9768746861714703e-08,9.41368871743009e-10
1866,2.140869637123899e-08,4.865612912574591e-10
1867,3.785192959071537e-08,4.85281148598915e-10
1868,3.655506863875502e-08,2.9639244392143382e-09
1869,3.1742874995188686e-08,9.767038289254515e-10
1870,3.268407766654491e-08,1.7202146374017957e-09
1871,1.274541272522356e-08,3.18635318130589e-09
1872,3.023669647994609e-08,1.8142017887967654e-09
