year,derniers_ADJ arts_NOUN,derniers_ADJ quarts_NOUN
1800,2.515331631869344e-08,6.288328968651058e-09
1801,2.6193008650921e-08,7.143547975374531e-09
1802,1.1189200677108602e-08,0.0
1803,0.0,1.950339223455444e-09
1804,4.943701892301533e-09,7.4155526164076946e-09
1805,0.0,0.0
1806,5.76333825108577e-09,3.458002950651462e-08
1807,5.4092147649953404e-08,8.540865792383556e-09
1808,0.0,4.5321479902327155e-09
1809,2.0331274441787173e-08,6.7770917766551975e-09
1810,0.0,3.7442028144596406e-08
1811,2.2563690915688994e-08,3.008491944456182e-08
1812,5.601137331723294e-08,1.3336041604361526e-08
1813,2.8757416448144113e-09,0.0
1814,2.2026739543434815e-08,3.1466771410748606e-09
1815,5.394447111228828e-09,5.394447111228828e-09
1816,4.6352077731626196e-09,6.952811659743929e-09
1817,1.0898113522728181e-08,4.670620334934483e-09
1818,1.0729059418679299e-08,1.7881765401739358e-08
1819,8.280840013696888e-09,1.8631890696951814e-08
1820,1.3053129244156025e-08,2.7292905713238724e-08
1821,2.9584463767662328e-09,2.9584463767662328e-09
1822,4.010246357211145e-09,3.0076847679083585e-09
1823,9.882686891060644e-10,0.0
1824,5.052667617633233e-09,8.421112696055388e-09
1825,7.044354211060977e-09,7.924898959288385e-09
1826,9.688783109140786e-09,3.963592831723872e-08
1827,3.133872894522938e-08,2.7651818612639545e-09
1828,1.1923991571904935e-08,9.172301251858528e-10
1829,7.715858174606183e-09,1.2859763920403111e-08
1830,1.0436835840010872e-09,1.3567886369969528e-08
1831,4.677361831184612e-09,1.5591206103948707e-09
1832,1.894195655882669e-08,1.488296597074168e-08
1833,1.0425265983826648e-08,2.3167256557599103e-08
1834,7.467624740797874e-09,1.0267983796552471e-08
1835,3.932805725526123e-08,3.781543966852041e-09
1836,2.688300027031687e-09,2.9571300075303952e-08
1837,2.2265250976261086e-08,2.5048407792382932e-08
1838,8.2058102535143e-09,8.2058102535143e-09
1839,8.38977065598101e-09,1.8876983531868063e-08
1840,1.1465439264668476e-08,7.0066574764382494e-09
1841,1.926164561183441e-09,1.0914932957462042e-08
1842,7.379091560011375e-09,8.049918065466954e-09
1843,8.860366662588604e-09,7.678984559333912e-09
1844,7.1351298203126134e-09,4.390849017710252e-09
1845,3.348136878855712e-09,1.1160455892778032e-09
1846,2.9272506640865004e-09,1.1123552745573306e-08
1847,1.6179670936367074e-09,4.314578916364553e-09
1848,8.04522137798358e-09,1.126331028444838e-08
1849,0.0,7.54147322368226e-09
1850,1.3577992064028876e-09,3.326607966869233e-08
1851,2.257303499675345e-08,1.2898877521649865e-08
1852,3.906327261660181e-09,1.4974254725075298e-08
1853,3.5831591027601917e-09,1.791579506971175e-08
1854,7.27393034694046e-09,6.234797567117312e-09
1855,3.714855978387277e-09,1.6451505047143655e-08
1856,9.836659486950339e-09,5.694908100650764e-09
1857,3.905207268672939e-09,4.881508974818871e-09
1858,1.9574704079872163e-09,9.297984604472731e-09
1859,9.675129142294736e-09,2.5460866748261424e-09
1860,4.577183909670879e-10,8.238931314963338e-09
1861,2.357981809808507e-09,1.3204698667834691e-08
1862,3.162590411776023e-09,2.2589932147099034e-09
1863,7.491931519609807e-09,1.4983863039219614e-09
1864,4.794727948009836e-10,8.63051052846231e-09
1865,1.2237795665726026e-08,1.3179164426446732e-08
1866,9.731225825149181e-10,4.379051787850585e-09
1867,9.7056229719783e-10,1.649955905236311e-08
1868,1.3831646938911035e-08,7.409810987013543e-09
1869,1.12320943657096e-08,1.7580669364747337e-08
1870,6.880858549607183e-09,1.548193218070537e-08
1871,0.0,2.3366590440332402e-08
1872,6.652073114565837e-09,2.116568786902917e-08
1873,4.788803575905831e-09,2.2746817762708815e-08
1874,1.0754296120296658e-08,7.169530746864439e-09
1875,3.432916173551348e-09,2.689117728493784e-08
1876,3.627608879952504e-09,1.6928840551599933e-08
1877,1.2369631985365004e-09,1.4225077116236662e-08
1878,1.0870359723469392e-08,9.662541877730746e-09
1879,6.10932526790009e-10,7.94212251520321e-09
1880,3.2089231272180996e-09,1.4761046607247863e-08
1881,1.3945015142624584e-09,7.669758161910067e-09
1882,2.6621540527571597e-09,1.5972924316542958e-08
1883,9.479008689083912e-09,2.9700892412165558e-08
1884,1.3203393933736152e-09,2.3766109080725073e-08
1885,1.2891271383708158e-09,3.4161868001092444e-08
1886,6.453463874400711e-10,2.8395241713496944e-08
1887,2.6115698492645834e-09,2.285123557044244e-08
1888,4.4384300679212174e-09,4.628648753168818e-08
1889,1.8795410228200637e-09,1.8795409673089125e-08
1890,5.898947996740844e-09,2.0318598359381213e-08
1891,7.0116419337296065e-09,2.039750413018737e-08
1892,0.0,9.402768341715273e-09
1893,1.847525021858587e-09,2.155445777418663e-08
1894,2.520615716150587e-09,1.0082462864602348e-08
1895,4.213029924926559e-09,2.166701307260155e-08
1896,1.179405795248556e-09,2.240870955461105e-08
1897,2.330685422435863e-09,2.855089675790623e-08
1898,4.52668391659472e-09,2.9423445013776472e-08
1899,2.7637891975018647e-09,2.819064981451902e-08
1900,4.671947717582725e-09,3.3741844873702576e-08
1901,0.0,1.956058603980182e-08
1902,4.910283846193408e-10,2.9461702411026636e-08
1903,2.1600881083827517e-09,1.3500550899436803e-08
1904,2.6873125946735854e-09,1.8811189050893518e-08
1905,1.0321518084666081e-09,2.838417501038748e-08
1906,2.0576738091193647e-09,1.6461390472954918e-08
1907,3.0857059130084963e-09,3.7028470956101955e-08
1908,6.875944702500192e-09,2.2592390180875555e-08
1909,4.400786846048277e-09,2.475442606453271e-08
1910,2.6720753387721174e-09,2.7255168788542505e-08
1911,1.5961122423746588e-09,3.032613093978398e-08
1912,2.6047106693738442e-09,2.6568049094066737e-08
1913,2.6514948014977335e-09,4.613600879110891e-08
1914,1.3393487430235496e-09,3.8171439342704616e-08
1915,0.0,6.832841847881355e-08
1916,0.0,1.3404704191088967e-07
1917,0.0,1.0637431557825039e-07
1918,0.0,4.479686666059024e-08
1919,0.0,8.65537757022139e-08
1920,7.572231730534895e-10,1.7946189245776623e-07
1921,1.5145494858259667e-09,7.19411019645122e-08
1922,0.0,1.0476668421688373e-07
1923,3.1847844361720945e-09,6.157249998750558e-08
1924,5.156649773851996e-09,9.153053071031536e-08
1925,0.0,7.808706214973427e-08
1926,1.1146138456652466e-09,5.461607699430715e-08
1927,2.2298449753321847e-09,3.2332753363562006e-08
1928,4.570416489713125e-09,3.999114284169991e-08
1929,4.4561625500705304e-09,1.0694790120169273e-07
1930,1.0503603542488804e-09,5.2518018378577835e-08
1931,0.0,3.5356606531422585e-08
1932,5.4797681947604815e-09,5.4797684612140074e-08
1933,0.0,4.12943848004943e-08
1934,1.1981580172459871e-09,3.714289675826876e-08
1935,0.0,2.992070946561398e-08
1936,2.424942913137329e-09,3.273672888326473e-08
1937,0.0,2.0145789036973838e-08
1938,3.889564337278273e-09,1.8151300906765755e-08
1939,0.0,2.5999884911698246e-08
1940,0.0,5.5787225505810056e-08
1941,0.0,1.4757512545315876e-08
1942,3.034211770724937e-09,4.247896612241675e-08
1943,5.806470415592457e-09,3.4838823381733164e-08
1944,0.0,3.534504600111177e-08
1945,2.178504043826024e-09,1.089252066321933e-08
1946,4.1763312808029696e-09,3.480275978517966e-08
1947,0.0,8.344609447874518e-09
1948,3.2615663503321457e-09,1.7395020535104777e-08
1949,3.926803215925645e-09,4.712163814701853e-08
1950,4.2541445921528975e-09,3.084254984742074e-08
1951,3.1984206394497505e-09,3.5182626589858046e-08
1952,9.490323416017077e-09,1.370824520563474e-08
1953,1.0773827385790469e-09,2.9089333608567358e-08
1954,1.9545072227344917e-09,2.052232517257835e-08
1955,0.0,4.223523575319632e-08
1956,2.616342476002842e-09,2.703553825256222e-08
1957,8.835037701437898e-10,1.8553580005686854e-08
1958,0.0,2.0680609225109947e-08
1959,1.5501495642666896e-09,3.2553142403912716e-08
1960,1.3841666701708277e-09,2.9759583242139342e-08
1961,2.779263708063695e-09,3.126671543896009e-08
